name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions,clearances,headed clearance
 Alexis Sánchez,13.0,0.43,2.0,10.0,1.0,0.0,1.0,107.0,38.0,0.36,5.0,11.0,4.0,1434.0,47.8,13.0,64.0,1.0,0.0,32.0,13.0,47.0,36.0,24.0,6.0,3.0
 Christian Benteke,9.0,0.31,3.0,6.0,0.0,1.0,0.0,61.0,20.0,0.33,1.0,9.0,3.0,516.0,17.79,3.0,1.0,2.0,0.0,29.0,17.0,8.0,16.0,0.0,13.0,10.0
 Memphis Depay,2.0,0.07,0.0,1.0,1.0,0.0,0.0,57.0,17.0,0.3,2.0,5.0,0.0,642.0,22.14,1.0,89.0,2.0,0.0,20.0,8.0,13.0,18.0,10.0,8.0,5.0
 Dieudonne Mbokani Bezua,7.0,0.24,1.0,5.0,1.0,0.0,0.0,37.0,20.0,0.54,1.0,6.0,1.0,484.0,16.69,1.0,8.0,0.0,0.0,17.0,29.0,11.0,5.0,3.0,22.0,11.0
 Pedro,7.0,0.24,0.0,2.0,5.0,0.0,0.0,57.0,16.0,0.28,1.0,4.0,2.0,971.0,33.48,5.0,83.0,3.0,0.0,23.0,5.0,37.0,20.0,23.0,5.0,2.0
 Leonardo Ulloa,6.0,0.21,2.0,3.0,1.0,1.0,0.0,33.0,10.0,0.3,0.0,5.0,2.0,399.0,13.76,2.0,9.0,0.0,0.0,20.0,6.0,27.0,5.0,7.0,21.0,12.0
 Diego Costa,12.0,0.43,0.0,9.0,3.0,0.0,0.0,68.0,28.0,0.41,1.0,9.0,6.0,824.0,29.43,4.0,12.0,8.0,0.0,43.0,33.0,21.0,15.0,6.0,25.0,17.0
 Shane Long,10.0,0.36,5.0,4.0,1.0,0.0,0.0,63.0,22.0,0.35,3.0,12.0,4.0,595.0,21.25,3.0,51.0,2.0,0.0,43.0,25.0,15.0,9.0,20.0,21.0,11.0
 Wayne Rooney,8.0,0.29,0.0,7.0,1.0,1.0,0.0,72.0,25.0,0.35,0.0,3.0,6.0,1144.0,40.86,6.0,51.0,4.0,0.0,28.0,15.0,29.0,19.0,9.0,15.0,7.0
 Son Heung-Min,4.0,0.14,0.0,2.0,2.0,0.0,0.0,38.0,13.0,0.34,1.0,3.0,1.0,447.0,15.96,0.0,14.0,0.0,0.0,12.0,9.0,27.0,13.0,12.0,7.0,3.0
 Theo Walcott,5.0,0.18,0.0,3.0,2.0,0.0,0.0,45.0,22.0,0.49,0.0,11.0,2.0,310.0,11.07,2.0,20.0,0.0,0.0,3.0,13.0,11.0,8.0,14.0,8.0,1.0
 Andy Carroll,9.0,0.33,5.0,0.0,4.0,1.0,0.0,56.0,25.0,0.45,1.0,5.0,2.0,435.0,16.11,4.0,8.0,2.0,0.0,38.0,7.0,9.0,12.0,7.0,28.0,17.0
 Bojan,7.0,0.26,1.0,4.0,2.0,2.0,0.0,36.0,15.0,0.42,0.0,1.0,1.0,728.0,26.96,2.0,32.0,2.0,0.0,9.0,3.0,18.0,7.0,15.0,1.0,0.0
 Xherdan Shaqiri,3.0,0.11,0.0,1.0,2.0,0.0,0.0,40.0,11.0,0.28,0.0,3.0,6.0,639.0,23.67,10.0,170.0,3.0,0.0,25.0,8.0,19.0,6.0,12.0,3.0,2.0
 Jonathan Walters,5.0,0.19,1.0,4.0,0.0,0.0,0.0,32.0,13.0,0.41,0.0,4.0,3.0,492.0,18.22,4.0,36.0,1.0,0.0,14.0,25.0,8.0,4.0,5.0,26.0,15.0
 Yannick Bolasie,5.0,0.19,1.0,2.0,2.0,0.0,0.0,57.0,26.0,0.46,1.0,4.0,3.0,506.0,19.46,7.0,138.0,2.0,0.0,25.0,17.0,26.0,13.0,10.0,27.0,15.0
 Wilfried Bony,4.0,0.15,2.0,0.0,2.0,0.0,0.0,60.0,17.0,0.28,1.0,4.0,3.0,408.0,15.69,3.0,1.0,1.0,0.0,17.0,7.0,9.0,20.0,2.0,8.0,4.0
 Fabio Borini,5.0,0.19,0.0,4.0,1.0,1.0,0.0,48.0,18.0,0.38,0.0,3.0,2.0,550.0,21.15,3.0,29.0,6.0,0.0,31.0,2.0,24.0,8.0,22.0,30.0,5.0
 Gerard Deulofeu,2.0,0.08,0.0,1.0,1.0,0.0,0.0,9.0,6.0,0.67,0.0,1.0,8.0,523.0,20.12,9.0,141.0,2.0,0.0,3.0,2.0,16.0,2.0,14.0,5.0,0.0
 Kelechi Iheanacho,8.0,0.31,1.0,1.0,5.0,0.0,0.0,28.0,12.0,0.43,0.0,1.0,1.0,346.0,13.31,2.0,10.0,1.0,0.0,17.0,3.0,14.0,7.0,3.0,6.0,2.0
 Arouna Koné,5.0,0.2,1.0,2.0,2.0,0.0,0.0,36.0,14.0,0.39,0.0,6.0,4.0,580.0,23.2,5.0,9.0,1.0,0.0,15.0,4.0,25.0,9.0,9.0,7.0,4.0
 Kevin Mirallas,4.0,0.17,0.0,3.0,1.0,0.0,0.0,41.0,16.0,0.39,0.0,3.0,2.0,329.0,14.3,3.0,45.0,0.0,2.0,14.0,7.0,14.0,16.0,9.0,6.0,1.0
 Steven Naismith,4.0,0.17,1.0,2.0,1.0,0.0,0.0,25.0,9.0,0.36,0.0,2.0,1.0,501.0,21.78,3.0,13.0,3.0,0.0,30.0,9.0,23.0,8.0,7.0,8.0,7.0
 Duncan Watmore,3.0,0.13,0.0,2.0,1.0,0.0,0.0,14.0,8.0,0.57,0.0,2.0,1.0,156.0,6.78,1.0,23.0,0.0,0.0,5.0,9.0,7.0,2.0,2.0,4.0,3.0
 Modou Barrow,1.0,0.05,0.0,0.0,1.0,0.0,0.0,11.0,4.0,0.36,0.0,0.0,2.0,206.0,9.36,1.0,28.0,0.0,0.0,3.0,3.0,18.0,2.0,8.0,5.0,1.0
 Joselu,4.0,0.18,1.0,3.0,0.0,0.0,0.0,29.0,16.0,0.55,0.0,6.0,1.0,379.0,17.23,1.0,14.0,0.0,0.0,19.0,8.0,14.0,4.0,6.0,11.0,3.0
 Papiss Demba Cissé,3.0,0.14,2.0,0.0,0.0,0.0,0.0,23.0,9.0,0.39,0.0,1.0,0.0,405.0,19.29,0.0,8.0,1.0,0.0,13.0,19.0,10.0,2.0,3.0,10.0,7.0
 Lewis Grabban,1.0,0.05,0.0,1.0,0.0,0.0,0.0,19.0,9.0,0.47,0.0,2.0,0.0,309.0,14.71,0.0,13.0,2.0,0.0,9.0,6.0,11.0,3.0,2.0,1.0,1.0
 Glenn Murray,3.0,0.14,2.0,1.0,0.0,0.0,0.0,25.0,14.0,0.56,0.0,4.0,0.0,203.0,9.67,2.0,6.0,2.0,0.0,26.0,13.0,7.0,2.0,3.0,9.0,4.0
 Diafra Sakho,5.0,0.24,1.0,2.0,2.0,0.0,0.0,48.0,18.0,0.38,1.0,8.0,1.0,344.0,16.38,3.0,24.0,3.0,0.0,19.0,12.0,15.0,10.0,9.0,19.0,14.0
 Connor Wickham,5.0,0.24,0.0,2.0,3.0,1.0,0.0,34.0,9.0,0.26,2.0,4.0,3.0,387.0,18.43,1.0,11.0,1.0,0.0,32.0,2.0,13.0,6.0,4.0,20.0,15.0
 Joel Campbell,3.0,0.16,0.0,0.0,3.0,0.0,0.0,19.0,7.0,0.37,0.0,2.0,2.0,342.0,18.0,4.0,11.0,0.0,0.0,9.0,3.0,26.0,2.0,10.0,3.0,1.0
 Rickie Lambert,1.0,0.05,0.0,1.0,0.0,1.0,0.0,14.0,4.0,0.29,0.0,0.0,1.0,272.0,14.32,1.0,4.0,2.0,0.0,6.0,2.0,0.0,3.0,0.0,6.0,5.0
 Enner Valencia,4.0,0.21,0.0,4.0,0.0,0.0,1.0,34.0,12.0,0.35,1.0,4.0,2.0,248.0,13.05,2.0,24.0,1.0,0.0,11.0,9.0,19.0,9.0,10.0,16.0,15.0
 Steven Fletcher,4.0,0.25,2.0,0.0,2.0,0.0,0.0,25.0,10.0,0.4,0.0,1.0,0.0,290.0,18.13,1.0,8.0,0.0,0.0,19.0,8.0,11.0,7.0,3.0,6.0,4.0
 Dwight Gayle,3.0,0.19,0.0,3.0,0.0,0.0,1.0,22.0,9.0,0.41,1.0,5.0,0.0,144.0,9.0,1.0,9.0,1.0,1.0,20.0,2.0,11.0,4.0,3.0,3.0,1.0
 Divock Origi,5.0,0.31,2.0,3.0,0.0,0.0,0.0,24.0,12.0,0.5,1.0,3.0,1.0,164.0,10.25,0.0,14.0,0.0,0.0,11.0,10.0,5.0,7.0,0.0,1.0,0.0
 Benik Afobe,4.0,0.27,3.0,1.0,0.0,0.0,0.0,14.0,5.0,0.36,0.0,4.0,0.0,224.0,14.93,0.0,4.0,0.0,0.0,15.0,9.0,5.0,2.0,2.0,9.0,6.0
 Gabriel Agbonlahor,1.0,0.07,0.0,0.0,1.0,0.0,0.0,10.0,6.0,0.6,0.0,1.0,2.0,223.0,14.87,2.0,12.0,0.0,0.0,21.0,3.0,6.0,2.0,2.0,9.0,1.0
 Mauro Zárate,3.0,0.2,0.0,3.0,0.0,0.0,1.0,29.0,11.0,0.38,2.0,1.0,0.0,263.0,17.53,1.0,61.0,1.0,0.0,12.0,0.0,25.0,7.0,7.0,8.0,0.0
 Max Gradel,1.0,0.07,0.0,1.0,0.0,0.0,0.0,18.0,6.0,0.33,0.0,2.0,2.0,286.0,20.43,0.0,46.0,1.0,0.0,11.0,3.0,23.0,7.0,13.0,5.0,2.0
 Daniel Sturridge,8.0,0.57,3.0,1.0,4.0,0.0,0.0,48.0,23.0,0.48,2.0,5.0,1.0,317.0,22.64,0.0,11.0,0.0,0.0,2.0,7.0,3.0,6.0,3.0,4.0,3.0
 Patrick Bamford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.4,1.0,1.0,0.0,90.0,6.92,0.0,4.0,0.0,0.0,8.0,3.0,5.0,2.0,2.0,3.0,1.0
 Emmanuel Emenike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.2,0.0,2.0,0.0,142.0,10.92,0.0,6.0,0.0,0.0,5.0,7.0,5.0,3.0,1.0,4.0,3.0
 Nikica Jelavic,1.0,0.08,0.0,0.0,1.0,0.0,0.0,11.0,1.0,0.09,0.0,1.0,2.0,74.0,5.69,1.0,4.0,1.0,0.0,7.0,6.0,3.0,1.0,3.0,4.0,3.0
 Éder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.0,0.0,0.0,86.0,6.62,0.0,2.0,0.0,0.0,11.0,1.0,4.0,0.0,1.0,7.0,4.0
 Loïc Remy,1.0,0.08,1.0,0.0,0.0,0.0,0.0,13.0,5.0,0.38,0.0,1.0,0.0,101.0,7.77,0.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,4.0,4.0
 Callum Wilson,5.0,0.38,0.0,5.0,0.0,1.0,0.0,17.0,8.0,0.47,1.0,0.0,0.0,131.0,10.08,2.0,5.0,0.0,0.0,12.0,4.0,5.0,6.0,1.0,1.0,1.0
 Emmanuel Adebayor,1.0,0.08,1.0,0.0,0.0,0.0,0.0,12.0,4.0,0.33,1.0,2.0,1.0,230.0,19.17,0.0,6.0,1.0,0.0,10.0,11.0,2.0,2.0,1.0,7.0,4.0
 Nordin Amrabat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.43,0.0,1.0,0.0,156.0,13.0,1.0,38.0,2.0,1.0,15.0,2.0,5.0,3.0,4.0,1.0,1.0
 Juanmi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.0,0.0,0.0,48.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
 Jay Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,0.35,0.0,2.0,0.0,94.0,7.83,0.0,4.0,1.0,0.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0
 Fraizer Campbell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,0.0,2.0,0.0,76.0,6.91,0.0,3.0,1.0,0.0,8.0,6.0,3.0,0.0,4.0,2.0,2.0
 Peter Crouch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.43,0.0,0.0,1.0,152.0,13.82,1.0,1.0,0.0,0.0,13.0,9.0,3.0,3.0,4.0,9.0,6.0
 Dame N'Doye,1.0,0.09,0.0,1.0,0.0,0.0,0.0,9.0,4.0,0.44,0.0,0.0,0.0,187.0,17.0,0.0,7.0,2.0,0.0,20.0,5.0,12.0,3.0,7.0,6.0,5.0
 Marcus Rashford,5.0,0.45,1.0,4.0,0.0,0.0,0.0,16.0,8.0,0.5,0.0,3.0,2.0,199.0,18.09,1.0,6.0,0.0,0.0,5.0,4.0,7.0,7.0,2.0,9.0,3.0
 Danny Welbeck,4.0,0.36,2.0,2.0,0.0,0.0,0.0,20.0,11.0,0.55,1.0,3.0,2.0,148.0,13.45,1.0,2.0,1.0,0.0,6.0,0.0,11.0,4.0,2.0,6.0,6.0
 Rolando Aarons,1.0,0.1,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,1.0,119.0,11.9,1.0,12.0,1.0,0.0,9.0,0.0,13.0,0.0,6.0,10.0,5.0
 Victor Anichebe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.31,2.0,1.0,0.0,108.0,10.8,1.0,2.0,0.0,0.0,2.0,4.0,2.0,6.0,2.0,8.0,6.0
 Marouane Chamakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,1.0,0.0,93.0,9.3,0.0,1.0,1.0,0.0,7.0,4.0,7.0,0.0,1.0,3.0,3.0
 Radamel Falcao,1.0,0.1,1.0,0.0,0.0,0.0,0.0,11.0,5.0,0.45,0.0,0.0,0.0,84.0,8.4,0.0,0.0,1.0,0.0,7.0,2.0,2.0,2.0,3.0,1.0,1.0
 Danny Graham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.5,0.0,1.0,0.0,88.0,8.8,0.0,3.0,0.0,0.0,8.0,1.0,1.0,0.0,5.0,6.0,3.0
 Alberto Paloschi,2.0,0.2,0.0,2.0,0.0,0.0,0.0,15.0,7.0,0.47,1.0,3.0,0.0,199.0,19.9,1.0,5.0,2.0,0.0,17.0,6.0,7.0,5.0,7.0,4.0,3.0
 Adama Traoré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,30.0,3.0,0.0,21.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
 Bertrand Traoré,2.0,0.2,0.0,0.0,2.0,0.0,0.0,17.0,6.0,0.35,0.0,0.0,1.0,136.0,13.6,1.0,3.0,0.0,0.0,3.0,5.0,9.0,7.0,2.0,3.0,1.0
 Steven Berghuis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.5,0.0,1.0,2.0,86.0,9.56,1.0,18.0,2.0,0.0,7.0,0.0,6.0,1.0,2.0,1.0,1.0
 Clinton N'Jie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.33,0.0,0.0,1.0,72.0,9.0,1.0,4.0,0.0,0.0,4.0,2.0,7.0,2.0,0.0,0.0,0.0
 Sheyi Ojo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.0,0.0,3.0,140.0,17.5,2.0,19.0,0.0,0.0,3.0,0.0,9.0,3.0,2.0,1.0,0.0
 Charlie Austin,1.0,0.14,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.25,0.0,1.0,0.0,50.0,7.14,0.0,3.0,0.0,0.0,3.0,2.0,5.0,3.0,0.0,7.0,2.0
 Yann Kermorgant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,8.43,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
 Danny Ings,2.0,0.33,1.0,0.0,1.0,0.0,0.0,10.0,5.0,0.5,0.0,1.0,0.0,80.0,13.33,0.0,3.0,1.0,0.0,7.0,2.0,1.0,3.0,1.0,2.0,1.0
 Lee Tomlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.6,0.0,0.0,0.0,116.0,19.33,1.0,2.0,1.0,0.0,2.0,0.0,6.0,1.0,2.0,1.0,0.0
 Jonathan Leko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,9.8,1.0,2.0,0.0,0.0,7.0,1.0,9.0,0.0,4.0,3.0,0.0
 Oumar Niasse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,1.0,0.0,43.0,8.6,1.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0
 Peter Odemwingie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,9.8,0.0,7.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0
 Víctor Ibarbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.25,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0
 Libor Kozák,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.33,0.0,1.0,0.0,76.0,19.0,0.0,1.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,5.0,5.0
 Alessandro Diamanti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,17.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0
 Seydou Doumbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Modibo Maiga,1.0,0.33,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,10.0,3.33,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
 Tokelo Rantie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.67,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0
 Emmanuel Rivière,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,6.33,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0
 Tammy Abraham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0
 Alexandre Pato,1.0,0.5,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.5,0.0,2.0,0.0,27.0,13.5,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0
 Marvin Emnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
 Gary Hooper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Juan Iturbe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23.0,11.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
 Andrej Kramaric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,11.0,5.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
 Obbi Oularé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ivan Toney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Sergi Canos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
