name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Danny Simpson,9.0,50.0,50.0,0.8,1.0,2.0,68.0,142.0,74.0,1.0,175.0,119.0,122.0,6.0,52.0,66.0,0.0,0.0,2.0,1092.0,31.2,1.0,26.0,0.42,0.0,64.0,12.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0
 Charlie Daniels,25.0,170.0,192.0,0.74,1.0,17.0,138.0,259.0,112.0,1.0,607.0,466.0,338.0,105.0,114.0,113.0,0.0,1.0,11.0,5090.0,45.86,10.0,330.0,0.21,6.0,195.0,4.0,0.0,31.0,2.0,8.0,0.0,0.0,8.0,1.0
 Simon Francis,10.0,53.0,62.0,0.81,0.0,3.0,53.0,219.0,132.0,0.0,206.0,208.0,150.0,17.0,115.0,80.0,0.0,3.0,1.0,1656.0,48.71,2.0,66.0,0.2,0.0,143.0,4.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ben Mee,9.0,49.0,47.0,0.68,2.0,2.0,72.0,300.0,171.0,3.0,163.0,195.0,117.0,1.0,126.0,77.0,2.0,1.0,0.0,1146.0,33.71,1.0,4.0,0.25,0.0,140.0,5.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,1.0
 Héctor Bellerín,10.0,34.0,24.0,0.79,1.0,6.0,36.0,46.0,24.0,0.0,146.0,113.0,133.0,45.0,31.0,43.0,0.0,0.0,4.0,1392.0,42.18,3.0,69.0,0.16,8.0,21.0,4.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0
 José Fonte,11.0,42.0,47.0,0.68,0.0,4.0,70.0,187.0,94.0,1.0,154.0,144.0,86.0,5.0,79.0,45.0,0.0,1.0,0.0,1604.0,48.61,0.0,5.0,0.2,0.0,106.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ahmed El Mohamady,3.0,59.0,42.0,0.81,0.0,2.0,49.0,90.0,50.0,1.0,186.0,125.0,105.0,11.0,59.0,38.0,1.0,0.0,2.0,1371.0,41.55,2.0,123.0,0.15,1.0,70.0,3.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
 José Holebas,6.0,61.0,62.0,0.68,0.0,11.0,55.0,114.0,59.0,1.0,225.0,176.0,162.0,43.0,47.0,28.0,0.0,2.0,4.0,1158.0,35.09,3.0,164.0,0.21,0.0,46.0,14.0,0.0,43.0,1.0,2.0,0.0,0.0,2.0,0.0
 Robert Huth,9.0,49.0,28.0,0.79,1.0,10.0,45.0,220.0,112.0,0.0,138.0,135.0,124.0,0.0,94.0,80.0,2.0,0.0,2.0,701.0,21.24,3.0,0.0,0.0,0.0,33.0,9.0,0.0,45.0,0.0,2.0,2.0,0.0,0.0,1.0
 Laurent Koscielny,10.0,36.0,48.0,0.88,1.0,3.0,90.0,202.0,119.0,0.0,209.0,192.0,115.0,4.0,116.0,78.0,0.0,0.0,0.0,1667.0,50.52,0.0,3.0,0.0,0.0,74.0,4.0,1.0,19.0,2.0,2.0,0.0,2.0,0.0,0.0
 David Luiz,13.0,26.0,42.0,0.67,0.0,10.0,64.0,171.0,100.0,0.0,196.0,141.0,89.0,14.0,60.0,39.0,0.0,0.0,0.0,1570.0,47.58,3.0,6.0,0.33,7.0,158.0,6.0,0.0,29.0,3.0,1.0,0.0,1.0,0.0,1.0
 Sebastian Prödl,4.0,49.0,36.0,0.75,0.0,4.0,52.0,183.0,90.0,0.0,115.0,121.0,90.0,2.0,62.0,36.0,0.0,2.0,1.0,1070.0,32.42,1.0,3.0,0.0,0.0,111.0,10.0,1.0,44.0,0.0,1.0,1.0,0.0,0.0,1.0
 Andrew Robertson,5.0,59.0,53.0,0.68,3.0,3.0,55.0,75.0,26.0,2.0,182.0,98.0,90.0,26.0,9.0,13.0,0.0,0.0,2.0,1229.0,37.24,1.0,119.0,0.18,1.0,80.0,5.0,0.0,18.0,1.0,1.0,0.0,0.0,1.0,1.0
 Jan Vertonghen,13.0,21.0,43.0,0.79,0.0,5.0,42.0,230.0,124.0,0.0,188.0,196.0,70.0,26.0,106.0,34.0,0.0,2.0,0.0,2051.0,62.15,0.0,9.0,0.11,1.0,167.0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0
 Kyle Walker,14.0,21.0,72.0,0.71,0.0,5.0,38.0,94.0,45.0,1.0,159.0,197.0,138.0,35.0,60.0,28.0,0.0,0.0,5.0,1464.0,44.36,4.0,96.0,0.14,1.0,111.0,8.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0
 Leighton Baines,11.0,34.0,63.0,0.7,2.0,3.0,45.0,65.0,39.0,1.0,161.0,129.0,117.0,12.0,27.0,34.0,0.0,0.0,3.0,1309.0,40.91,1.0,112.0,0.29,1.0,76.0,4.0,0.0,35.0,0.0,2.0,0.0,0.0,2.0,1.0
 Allan Nyom,4.0,39.0,72.0,0.74,0.0,3.0,60.0,101.0,55.0,0.0,151.0,139.0,120.0,30.0,21.0,19.0,0.0,0.0,2.0,735.0,22.97,1.0,78.0,0.21,0.0,41.0,8.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0
 Patrick van Aanholt,3.0,53.0,43.0,0.72,0.0,7.0,58.0,65.0,31.0,2.0,167.0,105.0,84.0,36.0,10.0,17.0,0.0,0.0,1.0,1001.0,31.28,1.0,78.0,0.28,2.0,59.0,3.0,0.0,15.0,6.0,5.0,0.0,1.0,4.0,0.0
 Marcos Alonso,15.0,19.0,56.0,0.68,0.0,10.0,44.0,76.0,39.0,0.0,146.0,170.0,132.0,21.0,73.0,41.0,0.0,0.0,3.0,1250.0,40.32,4.0,102.0,0.17,2.0,52.0,2.0,0.0,25.0,3.0,6.0,1.0,1.0,4.0,4.0
 Jonny Evans,4.0,39.0,42.0,0.6,0.0,2.0,74.0,151.0,89.0,0.0,201.0,136.0,87.0,23.0,45.0,29.0,0.0,1.0,1.0,942.0,30.39,0.0,9.0,0.22,0.0,79.0,8.0,0.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0
 Kyle Naughton,7.0,48.0,76.0,0.71,0.0,9.0,41.0,115.0,50.0,1.0,146.0,186.0,151.0,26.0,65.0,38.0,1.0,0.0,0.0,1392.0,44.9,1.0,79.0,0.27,0.0,88.0,5.0,0.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0
 Toby Alderweireld,14.0,17.0,41.0,0.85,0.0,5.0,26.0,162.0,84.0,0.0,130.0,92.0,75.0,4.0,42.0,45.0,0.0,1.0,0.0,1522.0,50.73,0.0,6.0,0.17,1.0,212.0,1.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0
 Cédric Soares,9.0,36.0,83.0,0.77,0.0,4.0,33.0,76.0,37.0,1.0,150.0,140.0,125.0,12.0,27.0,52.0,0.0,0.0,3.0,1256.0,41.87,4.0,144.0,0.3,1.0,79.0,7.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0
 Damien Delaney,2.0,39.0,25.0,0.8,2.0,1.0,35.0,150.0,82.0,1.0,85.0,96.0,91.0,0.0,59.0,55.0,0.0,0.0,2.0,889.0,29.63,3.0,5.0,0.4,1.0,108.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
 Lamine Koné,5.0,46.0,30.0,0.93,0.0,5.0,44.0,199.0,109.0,0.0,133.0,127.0,76.0,14.0,77.0,44.0,0.0,0.0,0.0,787.0,26.23,1.0,3.0,0.0,1.0,52.0,4.0,0.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0
 Nicolás Otamendi,9.0,28.0,69.0,0.75,0.0,4.0,84.0,190.0,138.0,2.0,173.0,222.0,118.0,11.0,117.0,67.0,0.0,0.0,1.0,1945.0,64.83,2.0,3.0,0.33,5.0,82.0,9.0,0.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0
 Winston Reid,9.0,48.0,32.0,0.84,0.0,2.0,82.0,244.0,140.0,1.0,164.0,132.0,84.0,10.0,55.0,38.0,0.0,0.0,2.0,983.0,32.77,1.0,3.0,0.33,1.0,106.0,8.0,1.0,31.0,1.0,2.0,1.0,0.0,1.0,0.0
 Martin Kelly,2.0,44.0,46.0,0.74,0.0,2.0,25.0,131.0,70.0,0.0,79.0,113.0,85.0,3.0,56.0,39.0,0.0,2.0,2.0,626.0,21.59,0.0,36.0,0.14,0.0,47.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
 Aleksandar Kolarov,8.0,27.0,47.0,0.7,0.0,7.0,46.0,155.0,101.0,0.0,166.0,188.0,102.0,22.0,84.0,41.0,1.0,0.0,1.0,1859.0,64.1,1.0,27.0,0.44,6.0,121.0,6.0,0.0,34.0,0.0,1.0,0.0,0.0,1.0,0.0
 Dejan Lovren,11.0,31.0,41.0,0.76,1.0,3.0,45.0,182.0,107.0,0.0,130.0,164.0,102.0,1.0,103.0,57.0,0.0,1.0,1.0,2001.0,69.0,0.0,7.0,0.14,1.0,140.0,6.0,0.0,25.0,1.0,2.0,1.0,1.0,0.0,1.0
 Harry Maguire,4.0,53.0,54.0,0.72,0.0,5.0,63.0,141.0,101.0,0.0,148.0,188.0,87.0,29.0,69.0,29.0,0.0,0.0,2.0,1182.0,40.76,1.0,15.0,0.2,1.0,102.0,5.0,0.0,24.0,3.0,2.0,1.0,1.0,0.0,1.0
 Joel Matip,9.0,25.0,47.0,0.74,0.0,8.0,47.0,153.0,79.0,0.0,150.0,131.0,67.0,10.0,63.0,40.0,0.0,1.0,0.0,1699.0,58.59,0.0,5.0,0.0,1.0,94.0,3.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,3.0
 Ryan Bertrand,12.0,36.0,37.0,0.62,0.0,6.0,45.0,46.0,30.0,0.0,140.0,126.0,119.0,14.0,42.0,44.0,0.0,0.0,4.0,1307.0,46.68,3.0,99.0,0.15,2.0,35.0,3.0,0.0,24.0,2.0,2.0,1.0,0.0,1.0,0.0
 John O'Shea,3.0,42.0,29.0,0.62,0.0,0.0,39.0,150.0,94.0,0.0,92.0,95.0,81.0,0.0,58.0,47.0,0.0,0.0,1.0,686.0,24.5,1.0,0.0,0.0,1.0,53.0,5.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
 Antonio Valencia,12.0,20.0,67.0,0.63,1.0,4.0,43.0,58.0,26.0,0.0,180.0,143.0,100.0,37.0,22.0,25.0,0.0,0.0,3.0,1370.0,48.93,3.0,142.0,0.29,0.0,49.0,5.0,0.0,33.0,7.0,1.0,0.0,1.0,0.0,0.0
 Miguel Britos,4.0,36.0,34.0,0.91,0.0,5.0,49.0,144.0,84.0,0.0,140.0,143.0,106.0,4.0,86.0,45.0,0.0,0.0,2.0,1025.0,37.96,2.0,12.0,0.17,1.0,94.0,6.0,2.0,36.0,2.0,1.0,1.0,0.0,0.0,0.0
 Federico Fernández,6.0,41.0,44.0,0.73,0.0,3.0,50.0,187.0,117.0,0.0,112.0,132.0,91.0,3.0,69.0,36.0,0.0,1.0,2.0,1133.0,41.96,1.0,5.0,0.2,0.0,99.0,7.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
 Phil Jagielka,6.0,32.0,43.0,0.74,2.0,2.0,41.0,208.0,123.0,2.0,110.0,161.0,78.0,2.0,90.0,54.0,0.0,0.0,2.0,1216.0,45.04,1.0,1.0,1.0,0.0,146.0,4.0,1.0,13.0,0.0,3.0,2.0,1.0,0.0,0.0
 Daryl Janmaat,1.0,33.0,45.0,0.69,0.0,7.0,20.0,35.0,18.0,0.0,102.0,85.0,89.0,16.0,21.0,21.0,0.0,0.0,1.0,604.0,22.37,2.0,52.0,0.25,1.0,43.0,2.0,0.0,17.0,5.0,2.0,0.0,1.0,1.0,1.0
 Billy Jones,5.0,49.0,55.0,0.71,0.0,3.0,46.0,94.0,64.0,0.0,83.0,172.0,140.0,10.0,95.0,64.0,0.0,0.0,0.0,701.0,25.96,2.0,42.0,0.24,0.0,33.0,8.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0
 Alfie Mawson,7.0,45.0,29.0,0.79,1.0,4.0,30.0,169.0,95.0,0.0,137.0,148.0,82.0,19.0,84.0,52.0,2.0,1.0,0.0,1218.0,45.11,1.0,1.0,0.0,1.0,163.0,1.0,0.0,10.0,0.0,4.0,3.0,1.0,0.0,2.0
 Wes Morgan,5.0,45.0,27.0,0.52,0.0,5.0,52.0,141.0,83.0,0.0,93.0,104.0,78.0,4.0,65.0,45.0,0.0,0.0,0.0,653.0,24.19,0.0,0.0,0.0,0.0,33.0,3.0,0.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0
 John Stones,4.0,29.0,26.0,0.81,0.0,2.0,39.0,115.0,59.0,1.0,114.0,105.0,46.0,21.0,49.0,27.0,0.0,3.0,0.0,1464.0,54.22,0.0,0.0,0.0,0.0,60.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
 Antonio Barragán,7.0,32.0,72.0,0.74,0.0,1.0,59.0,70.0,33.0,1.0,131.0,129.0,86.0,16.0,21.0,22.0,0.0,0.0,0.0,1027.0,39.5,1.0,71.0,0.24,1.0,62.0,5.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0
 Seamus Coleman,10.0,28.0,53.0,0.79,1.0,2.0,29.0,68.0,40.0,1.0,135.0,130.0,116.0,31.0,20.0,22.0,0.0,0.0,3.0,920.0,35.38,7.0,92.0,0.18,1.0,51.0,3.0,0.0,18.0,4.0,4.0,2.0,1.0,2.0,2.0
 Aaron Cresswell,4.0,35.0,21.0,0.71,0.0,4.0,25.0,61.0,27.0,0.0,101.0,74.0,88.0,9.0,36.0,33.0,0.0,1.0,2.0,758.0,29.15,4.0,97.0,0.18,0.0,57.0,2.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
 Curtis Davies,1.0,53.0,40.0,0.57,0.0,0.0,92.0,173.0,96.0,2.0,73.0,132.0,77.0,4.0,74.0,52.0,1.0,2.0,2.0,857.0,32.96,1.0,4.0,0.0,0.0,33.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
 Shkodran Mustafi,8.0,30.0,54.0,0.78,1.0,8.0,62.0,129.0,83.0,1.0,139.0,184.0,126.0,14.0,103.0,61.0,0.0,0.0,2.0,1564.0,60.15,1.0,20.0,0.2,4.0,54.0,11.0,0.0,35.0,1.0,2.0,2.0,0.0,0.0,2.0
 Eric Bailly,12.0,15.0,60.0,0.72,1.0,2.0,60.0,126.0,60.0,0.0,172.0,136.0,77.0,14.0,37.0,30.0,0.0,0.0,0.0,876.0,35.04,0.0,2.0,0.0,0.0,59.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0
 Calum Chambers,20.0,113.0,175.0,0.79,1.0,8.0,176.0,424.0,240.0,1.0,468.0,496.0,426.0,63.0,212.0,170.0,1.0,0.0,2.0,3879.0,38.41,4.0,162.0,0.2,2.0,199.0,16.0,1.0,96.0,2.0,3.0,1.0,1.0,1.0,0.0
 Gaël Clichy,8.0,24.0,44.0,0.73,0.0,0.0,53.0,86.0,43.0,0.0,132.0,91.0,85.0,9.0,30.0,40.0,0.0,0.0,0.0,1454.0,58.16,1.0,26.0,0.27,3.0,44.0,2.0,0.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0
 Fabio,4.0,30.0,63.0,0.78,1.0,1.0,35.0,66.0,42.0,0.0,102.0,143.0,111.0,18.0,42.0,39.0,0.0,0.0,0.0,709.0,29.54,0.0,70.0,0.2,2.0,24.0,8.0,0.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0
 Jason Denayer,5.0,30.0,35.0,0.66,0.0,2.0,34.0,80.0,42.0,1.0,97.0,74.0,80.0,5.0,27.0,35.0,1.0,0.0,0.0,586.0,24.42,0.0,10.0,0.1,0.0,41.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
 George Friend,4.0,35.0,62.0,0.76,0.0,7.0,56.0,80.0,47.0,0.0,116.0,165.0,129.0,36.0,47.0,38.0,0.0,1.0,2.0,780.0,32.5,1.0,37.0,0.14,0.0,45.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
 James Tomkins,3.0,36.0,28.0,0.64,1.0,1.0,37.0,124.0,65.0,0.0,93.0,96.0,69.0,2.0,58.0,40.0,0.0,0.0,0.0,728.0,30.33,0.0,3.0,0.67,0.0,76.0,4.0,0.0,10.0,0.0,3.0,0.0,2.0,1.0,0.0
 Daley Blind,8.0,17.0,45.0,0.73,0.0,5.0,44.0,108.0,49.0,0.0,120.0,90.0,58.0,7.0,25.0,22.0,0.0,0.0,2.0,1040.0,45.22,3.0,87.0,0.28,1.0,66.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0
 Scott Dann,2.0,36.0,17.0,0.59,0.0,3.0,32.0,102.0,62.0,1.0,93.0,99.0,76.0,2.0,68.0,52.0,0.0,0.0,1.0,608.0,26.43,1.0,3.0,0.33,0.0,63.0,2.0,0.0,14.0,0.0,3.0,2.0,1.0,0.0,0.0
 Ben Davies,8.0,13.0,39.0,0.72,0.0,7.0,12.0,78.0,41.0,0.0,61.0,121.0,81.0,8.0,48.0,43.0,0.0,0.0,3.0,1052.0,45.74,4.0,75.0,0.25,1.0,45.0,1.0,0.0,13.0,2.0,1.0,0.0,0.0,1.0,0.0
 Ramiro Funes Mori,7.0,19.0,26.0,0.62,0.0,2.0,31.0,111.0,68.0,2.0,108.0,93.0,65.0,7.0,46.0,27.0,0.0,0.0,1.0,794.0,34.52,2.0,5.0,0.0,0.0,89.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
 Glen Johnson,6.0,34.0,49.0,0.71,0.0,4.0,38.0,65.0,24.0,1.0,116.0,116.0,89.0,27.0,22.0,12.0,0.0,1.0,0.0,740.0,32.17,3.0,32.0,0.19,1.0,58.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
 Younes Kaboul,3.0,36.0,37.0,0.54,0.0,3.0,47.0,136.0,62.0,0.0,138.0,118.0,86.0,11.0,65.0,35.0,0.0,1.0,0.0,701.0,30.48,0.0,13.0,0.0,0.0,80.0,2.0,0.0,19.0,0.0,2.0,0.0,2.0,0.0,1.0
 Maya Yoshida,7.0,32.0,30.0,0.7,0.0,2.0,47.0,144.0,80.0,0.0,143.0,125.0,80.0,1.0,75.0,56.0,0.0,0.0,0.0,1126.0,48.96,0.0,8.0,0.13,0.0,44.0,2.0,0.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0
 James Collins,6.0,28.0,21.0,0.81,1.0,1.0,38.0,147.0,95.0,0.0,60.0,86.0,49.0,1.0,59.0,28.0,0.0,1.0,0.0,580.0,26.36,0.0,0.0,0.0,0.0,50.0,3.0,0.0,7.0,1.0,2.0,1.0,0.0,1.0,0.0
 Michael Dawson,1.0,44.0,15.0,0.73,0.0,1.0,30.0,129.0,77.0,0.0,73.0,68.0,50.0,3.0,46.0,33.0,1.0,0.0,0.0,656.0,29.82,0.0,0.0,0.0,0.0,51.0,4.0,0.0,13.0,1.0,3.0,1.0,2.0,0.0,0.0
 Marcos Rojo,8.0,13.0,29.0,0.76,0.0,3.0,33.0,143.0,83.0,0.0,98.0,94.0,65.0,10.0,46.0,28.0,0.0,0.0,0.0,951.0,45.29,0.0,10.0,0.2,0.0,67.0,5.0,0.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0
 Virgil van Dijk,7.0,23.0,39.0,0.77,0.0,5.0,54.0,142.0,85.0,1.0,109.0,159.0,58.0,8.0,98.0,32.0,0.0,0.0,0.0,980.0,46.67,1.0,0.0,0.0,1.0,97.0,3.0,1.0,18.0,0.0,1.0,1.0,0.0,0.0,2.0
 Juan Camilo Zuñiga,0.0,15.0,19.0,0.84,0.0,3.0,18.0,22.0,6.0,0.0,44.0,54.0,34.0,3.0,10.0,7.0,0.0,0.0,0.0,358.0,17.05,0.0,11.0,0.09,2.0,19.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0
 Ragnar Klavan,3.0,19.0,25.0,0.72,0.0,1.0,14.0,92.0,47.0,0.0,86.0,76.0,57.0,6.0,38.0,33.0,0.0,1.0,0.0,938.0,46.9,0.0,1.0,1.0,1.0,50.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
 Javier Manquillo,2.0,28.0,30.0,0.7,0.0,1.0,24.0,49.0,21.0,0.0,58.0,73.0,61.0,15.0,17.0,14.0,0.0,0.0,0.0,425.0,21.25,0.0,34.0,0.15,0.0,9.0,2.0,0.0,14.0,5.0,1.0,0.0,1.0,0.0,0.0
 Angelo Ogbonna,4.0,31.0,27.0,0.81,0.0,2.0,37.0,96.0,55.0,0.0,91.0,79.0,39.0,4.0,44.0,18.0,0.0,1.0,0.0,805.0,40.25,0.0,4.0,0.25,0.0,51.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
 Pablo Zabaleta,2.0,18.0,41.0,0.63,0.0,3.0,24.0,42.0,29.0,0.0,54.0,88.0,51.0,8.0,24.0,16.0,0.0,0.0,1.0,573.0,28.65,0.0,15.0,0.13,0.0,16.0,2.0,0.0,14.0,5.0,1.0,0.0,1.0,0.0,0.0
 Geoff Cameron,6.0,25.0,48.0,0.77,0.0,4.0,32.0,47.0,26.0,0.0,121.0,146.0,103.0,26.0,55.0,43.0,0.0,0.0,1.0,787.0,41.42,1.0,14.0,0.29,1.0,45.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
