,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions_y,clearances,headed clearance
10,Lucas Perez,Arsenal,81,ST,77.0,76,78,81.5,81,85,82,79,83,79,76.33333333,74,83,78,70,77,76,81,74,75,82,81,0,36.0,68,38,24,24,26,70.25,69,65,74,73,1.0,0.09,0.0,0.0,1.0,0.0,0.0,9.0,4.0,0.44,1.0,1.0,0.0,116.0,10.55,0.0,9.0,0.0,0.0,2.0,0.0,3.0,4.0,2.0,1.0,0.0
11,Michy Batshuayi,Chelsea,81,ST,82.5,81,84,77.66666667,83,83,76,67,83,74,55.83333333,65,61,46,36,64,63,78,84,78,79,79,0,32.0,73,23,16,26,22,71.75,59,81,65,82,5.0,0.25,0.0,2.0,3.0,0.0,0.0,17.0,8.0,0.47,1.0,2.0,1.0,80.0,4.0,0.0,2.0,0.0,0.0,9.0,4.0,2.0,6.0,2.0,1.0,1.0
12,Wilfried Bony,Stoke City,81,ST,72.0,69,75,80.66666667,83,83,80,77,85,76,57.83333333,45,66,58,45,68,65,74,67,72,76,81,0,43.4,84,38,25,42,28,82.0,70,86,78,94,2.0,0.2,1.0,1.0,0.0,0.0,0.0,21.0,5.0,0.24,0.0,1.0,0.0,212.0,21.2,1.0,1.0,1.0,0.0,11.0,2.0,5.0,7.0,3.0,10.0,8.0
13,Loic Remy,Crystal Palace,81,ST,88.0,89,87,77.5,81,80,77,78,78,71,64.0,61,66,51,60,75,71,75,77,65,76,77,0,39.2,80,48,23,24,21,73.25,57,89,73,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.5,0.0,0.0,0.0,45.0,9.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
14,Christian Benteke,Crystal Palace,81,ST,77.0,75,79,77.83333333,76,79,76,77,85,74,63.0,58,60,67,48,72,73,72,74,48,81,71,0,37.6,86,29,25,30,18,81.25,76,82,77,90,15.0,0.42,7.0,6.0,2.0,2.0,0.0,105.0,40.0,0.38,4.0,12.0,2.0,920.0,25.56,1.0,0.0,10.0,0.0,81.0,36.0,9.0,17.0,6.0,48.0,39.0
15,Christian Benteke,Crystal Palace,81,ST,77.0,75,79,77.83333333,76,79,76,77,85,74,63.0,58,60,67,48,72,73,72,74,48,81,71,0,37.6,86,29,25,30,18,81.25,76,82,77,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,Salomon Rondon,West Bromwich Albion,81,ST,76.5,76,77,75.5,82,81,70,62,85,73,52.5,48,53,52,40,69,53,75,72,48,78,73,0,36.4,88,33,25,23,13,75.75,72,72,68,91,8.0,0.21,5.0,3.0,0.0,0.0,0.0,94.0,26.0,0.28,2.0,8.0,2.0,722.0,19.0,4.0,9.0,2.0,0.0,41.0,29.0,18.0,28.0,7.0,41.0,29.0
17,Danny Welbeck,Arsenal,80,ST,86.0,87,85,75.16666667,81,77,70,70,77,76,67.5,69,61,62,64,77,72,81,85,64,78,78,0,38.2,75,22,23,38,33,79.75,77,80,84,78,2.0,0.13,1.0,0.0,1.0,0.0,0.0,19.0,8.0,0.42,1.0,5.0,2.0,192.0,12.0,2.0,1.0,0.0,0.0,7.0,2.0,8.0,3.0,6.0,10.0,7.0
18,Jamie Vardy,Leicester City,80,ST,93.0,94,92,78.0,82,82,68,76,85,75,59.33333333,63,59,48,48,66,72,75,77,79,76,83,0,52.8,64,49,48,52,51,80.25,92,70,90,69,13.0,0.37,1.0,9.0,3.0,0.0,0.0,53.0,26.0,0.49,1.0,6.0,5.0,529.0,15.11,6.0,47.0,2.0,1.0,26.0,25.0,15.0,11.0,8.0,9.0,4.0
19,Borja Baston,Swansea City,79,ST,62.5,58,67,78.66666667,88,78,73,72,81,80,56.66666667,51,68,46,44,66,65,69,61,41,80,78,0,34.0,77,23,14,32,24,66.5,61,56,60,89,1.0,0.06,0.0,1.0,0.0,0.0,0.0,15.0,3.0,0.2,1.0,3.0,0.0,180.0,10.0,0.0,6.0,0.0,0.0,3.0,4.0,5.0,5.0,3.0,6.0,3.0
20,Simone Zaza,West Ham United,79,ST,77.5,77,78,79.5,83,80,76,80,82,76,58.66666667,52,68,56,45,65,66,76,77,68,77,69,0,42.8,80,34,28,36,36,78.0,78,85,69,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.13,0.0,0.0,0.0,105.0,13.13,0.0,4.0,2.0,0.0,11.0,5.0,5.0,7.0,3.0,2.0,1.0
21,Divock Origi,Liverpool,79,ST,86.0,87,85,73.33333333,80,79,69,65,77,70,61.33333333,69,54,40,59,75,71,78,77,62,76,76,0,34.6,73,28,30,24,18,74.5,69,73,74,82,7.0,0.21,1.0,5.0,1.0,0.0,0.0,38.0,15.0,0.39,2.0,4.0,3.0,391.0,11.5,2.0,31.0,0.0,0.0,22.0,13.0,11.0,7.0,3.0,2.0,1.0
22,Llorente,Swansea City,79,ST,54.5,52,57,76.0,85,78,64,70,79,80,55.16666667,44,57,40,49,71,70,67,40,33,77,80,0,34.0,90,25,15,25,15,70.25,71,56,63,91,15.0,0.45,8.0,4.0,3.0,0.0,0.0,52.0,26.0,0.5,2.0,5.0,1.0,900.0,27.27,2.0,8.0,2.0,0.0,51.0,12.0,18.0,7.0,2.0,36.0,26.0
23,Gabriel Fernando de Jesus,Manchester City,78,ST,86.5,88,85,74.0,79,80,72,73,73,67,68.0,66,76,54,66,74,72,85,92,91,83,82,0,29.8,61,32,20,17,19,66.0,56,63,84,61,7.0,0.7,1.0,4.0,2.0,1.0,0.0,24.0,13.0,0.54,0.0,3.0,4.0,242.0,24.2,3.0,2.0,2.0,0.0,11.0,9.0,5.0,3.0,2.0,1.0,0.0
24,Charlie Austin,Southampton,78,ST,70.0,66,74,78.0,83,82,71,77,83,72,54.0,56,59,43,46,59,61,66,65,55,74,78,0,43.6,81,47,31,37,22,76.0,67,82,74,81,6.0,0.4,1.0,4.0,1.0,2.0,0.0,37.0,17.0,0.46,2.0,3.0,1.0,255.0,17.0,2.0,9.0,1.0,0.0,14.0,8.0,14.0,5.0,4.0,13.0,10.0
25,Andy Carroll,West Ham United,78,ST,67.0,69,65,76.83333333,75,76,78,73,85,74,57.5,64,53,42,56,65,65,67,62,50,74,77,0,53.4,91,45,42,46,43,84.0,85,84,75,92,7.0,0.39,2.0,1.0,4.0,0.0,0.0,39.0,14.0,0.36,0.0,1.0,1.0,435.0,24.17,3.0,10.0,3.0,0.0,24.0,4.0,5.0,10.0,6.0,38.0,34.0
26,Troy Deeney,Watford,78,ST,69.0,69,69,79.16666667,77,80,78,80,86,74,59.83333333,55,68,36,60,73,67,65,65,74,75,74,0,39.6,82,29,33,29,25,84.25,80,86,79,92,10.0,0.27,2.0,7.0,1.0,3.0,0.0,42.0,18.0,0.43,0.0,7.0,4.0,841.0,22.73,2.0,16.0,7.0,0.0,43.0,19.0,20.0,8.0,14.0,50.0,36.0
27,Stefano Okaka,Watford,77,ST,75.5,73,78,72.83333333,78,74,69,68,81,67,53.0,50,58,48,29,71,62,75,58,48,75,71,0,32.2,80,21,15,25,20,80.25,73,76,79,93,4.0,0.21,1.0,3.0,0.0,0.0,0.0,27.0,12.0,0.44,1.0,1.0,0.0,230.0,12.11,2.0,5.0,5.0,0.0,30.0,11.0,12.0,6.0,1.0,10.0,5.0
28,Odion Ighalo,Watford,77,ST,80.5,80,81,71.33333333,84,76,62,63,73,70,55.66666667,49,64,53,47,61,60,80,75,69,76,78,0,43.6,71,30,31,45,41,74.25,66,80,70,81,1.0,0.06,0.0,1.0,0.0,0.0,0.0,37.0,10.0,0.27,0.0,4.0,1.0,296.0,16.44,0.0,5.0,1.0,0.0,17.0,9.0,10.0,11.0,3.0,3.0,1.0
29,Ahmed Musa,Leicester City,77,ST,93.5,95,92,75.33333333,79,78,73,69,78,75,60.16666667,65,60,48,53,69,66,81,88,86,79,80,0,32.0,64,24,20,28,24,62.25,33,80,91,45,2.0,0.1,0.0,1.0,1.0,0.0,0.0,17.0,6.0,0.35,0.0,1.0,0.0,214.0,10.19,2.0,26.0,1.0,0.0,13.0,1.0,13.0,4.0,10.0,2.0,2.0
30,Vincent Janssen,Tottenham Hotspur,77,ST,74.0,72,76,76.33333333,79,81,68,81,83,66,46.83333333,33,54,39,31,74,50,68,64,70,75,75,0,29.2,73,13,19,19,22,78.25,77,75,81,80,2.0,0.07,0.0,1.0,1.0,1.0,0.0,30.0,14.0,0.47,1.0,5.0,2.0,225.0,8.33,2.0,10.0,0.0,0.0,31.0,8.0,15.0,5.0,2.0,2.0,2.0
31,Shane Long,Southampton,77,ST,84.0,84,84,73.83333333,77,75,67,78,76,70,55.83333333,70,54,37,49,62,63,73,74,75,77,77,0,40.8,75,42,36,27,24,83.75,79,93,84,79,3.0,0.09,1.0,2.0,0.0,0.0,0.0,41.0,15.0,0.37,1.0,7.0,1.0,306.0,9.56,3.0,24.0,2.0,0.0,28.0,12.0,12.0,6.0,5.0,14.0,12.0
32,Marcus Rashford,Manchester United,77,ST,90.5,91,90,73.0,79,76,64,74,74,71,64.83333333,65,64,65,56,71,68,81,86,76,78,74,0,35.6,68,38,22,25,25,66.75,55,72,79,61,5.0,0.16,0.0,4.0,1.0,0.0,0.0,44.0,17.0,0.39,1.0,4.0,1.0,544.0,17.0,3.0,83.0,3.0,0.0,16.0,11.0,16.0,11.0,12.0,6.0,0.0
33,Shinji Okazaki,Leicester City,77,ST,76.0,79,73,75.33333333,83,75,68,74,77,75,61.0,66,53,50,59,72,66,76,85,75,76,84,0,45.8,74,45,33,44,33,80.25,80,90,82,69,3.0,0.1,0.0,1.0,2.0,0.0,0.0,29.0,9.0,0.31,1.0,2.0,1.0,438.0,14.6,1.0,4.0,1.0,0.0,28.0,4.0,30.0,8.0,12.0,5.0,5.0
34,Jonathan Calleri,West Ham United,76,ST,76.0,75,77,72.16666667,79,75,69,62,77,71,56.83333333,56,57,35,58,66,69,71,72,79,74,77,0,43.4,80,37,29,39,32,73.25,65,81,71,76,1.0,0.06,0.0,1.0,0.0,0.0,0.0,16.0,3.0,0.19,0.0,4.0,0.0,119.0,7.44,0.0,15.0,0.0,0.0,10.0,9.0,5.0,7.0,4.0,3.0,2.0
35,Enner Valencia,Everton,76,ST,85.5,86,85,72.83333333,73,75,74,70,84,61,66.5,70,71,65,63,68,62,75,76,74,72,72,0,47.0,74,42,37,40,42,73.25,50,90,85,68,3.0,0.13,0.0,2.0,1.0,0.0,0.0,31.0,12.0,0.39,0.0,3.0,1.0,228.0,9.5,1.0,23.0,1.0,0.0,26.0,6.0,16.0,11.0,11.0,12.0,6.0
36,Diafra Sakho,West Ham United,76,ST,78.5,78,79,72.83333333,80,78,64,73,72,70,57.16666667,58,53,62,52,62,56,72,73,62,75,74,0,36.6,77,37,24,23,22,74.0,67,80,70,79,1.0,0.25,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.33,0.0,0.0,0.0,32.0,8.0,0.0,2.0,0.0,0.0,3.0,6.0,1.0,1.0,0.0,4.0,4.0
37,Callum Wilson,Bournemouth,76,ST,91.5,93,90,71.5,77,79,64,75,69,65,60.0,52,62,45,60,70,71,73,81,79,75,70,0,37.2,62,40,20,39,25,74.25,73,66,77,81,6.0,0.3,2.0,4.0,0.0,3.0,0.0,31.0,12.0,0.39,2.0,2.0,0.0,191.0,9.55,0.0,9.0,0.0,0.0,30.0,18.0,6.0,7.0,5.0,1.0,1.0
38,Kelechi Iheanacho,Manchester City,76,ST,87.0,89,85,73.83333333,79,79,66,74,76,69,59.66666667,48,67,53,58,67,65,74,79,70,76,70,0,25.2,60,17,15,22,12,63.25,56,58,65,74,4.0,0.2,0.0,0.0,4.0,0.0,0.0,22.0,7.0,0.32,0.0,3.0,3.0,192.0,9.6,3.0,4.0,0.0,0.0,8.0,6.0,6.0,11.0,0.0,2.0,1.0
39,Andre Gray,Burnley,76,ST,91.0,91,91,73.5,79,77,64,74,80,67,55.0,59,48,39,51,66,67,70,72,76,69,72,0,27.8,65,24,20,13,17,72.25,61,70,79,79,9.0,0.28,0.0,6.0,3.0,2.0,1.0,47.0,19.0,0.4,0.0,6.0,3.0,371.0,11.59,2.0,26.0,2.0,0.0,17.0,35.0,10.0,10.0,4.0,1.0,0.0
40,Saido Berahino,West Bromwich Albion,76,ST,82.5,85,80,74.83333333,79,80,68,73,81,68,57.66666667,51,63,61,55,62,54,76,74,71,77,71,0,32.2,67,33,20,18,23,58.75,47,62,64,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,0.47,0.0,4.0,0.0,168.0,9.88,2.0,1.0,1.0,0.0,20.0,8.0,9.0,4.0,1.0,2.0,1.0
41,Jonathan Walters,Stoke City,75,ST,67.5,67,68,71.83333333,75,75,69,72,73,67,66.16666667,75,64,56,61,72,69,72,76,68,73,74,0,59.2,74,61,61,56,44,83.0,81,76,91,84,4.0,0.17,2.0,2.0,0.0,1.0,0.0,25.0,12.0,0.48,1.0,4.0,2.0,331.0,14.39,1.0,36.0,1.0,0.0,13.0,12.0,8.0,4.0,4.0,27.0,16.0
42,Oumar Niasse,Everton,75,ST,82.0,88,76,72.83333333,74,75,71,67,76,74,53.33333333,56,63,39,35,64,63,73,72,68,73,70,0,35.2,74,35,20,23,24,70.25,56,70,78,77,4.0,0.24,0.0,4.0,0.0,0.0,0.0,26.0,8.0,0.31,0.0,2.0,1.0,235.0,13.82,1.0,13.0,3.0,1.0,17.0,11.0,10.0,6.0,1.0,13.0,11.0
43,Arouna Kone,Everton,75,ST,76.5,75,78,72.33333333,73,73,70,67,80,71,59.33333333,61,57,56,49,67,66,75,75,61,75,71,0,38.2,72,28,22,43,26,70.5,47,78,73,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.67,0.0,0.0,0.0,32.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Peter Crouch,Stoke City,75,ST,48.0,47,49,76.0,80,77,70,74,75,80,63.16666667,59,57,50,63,76,74,62,56,29,77,78,0,36.6,83,23,31,26,20,62.0,70,34,70,74,7.0,0.26,3.0,3.0,0.0,0.0,0.0,37.0,16.0,0.43,0.0,5.0,2.0,496.0,18.37,5.0,0.0,3.0,0.0,26.0,7.0,4.0,5.0,3.0,26.0,21.0
45,Connor Wickham,Crystal Palace,74,ST,71.0,69,73,71.5,68,76,69,75,79,62,60.83333333,63,53,69,57,63,60,68,57,53,73,72,0,31.8,74,18,19,28,20,74.25,69,70,74,84,2.0,0.25,0.0,1.0,1.0,0.0,0.0,10.0,5.0,0.5,0.0,1.0,0.0,98.0,12.25,0.0,6.0,1.0,0.0,12.0,1.0,4.0,0.0,2.0,10.0,5.0
46,Isaac Success,Watford,74,ST,87.0,85,89,67.0,72,69,58,68,80,55,61.16666667,73,56,54,55,68,61,77,78,57,79,68,0,32.6,64,20,22,33,24,68.75,45,82,65,83,1.0,0.05,1.0,0.0,0.0,0.0,0.0,14.0,7.0,0.5,0.0,3.0,1.0,131.0,6.89,0.0,13.0,2.0,0.0,12.0,1.0,16.0,4.0,7.0,9.0,5.0
47,Benik Afobe,Bournemouth,74,ST,83.5,85,82,72.0,78,77,67,72,68,70,59.66666667,49,68,57,52,67,65,71,70,69,73,68,0,30.2,66,25,21,22,17,71.0,60,77,71,76,6.0,0.19,0.0,3.0,3.0,0.0,0.0,39.0,18.0,0.46,2.0,13.0,3.0,297.0,9.58,2.0,2.0,1.0,0.0,21.0,14.0,9.0,6.0,5.0,19.0,16.0
48,Leonardo Ulloa,Leicester City,74,ST,54.0,54,54,71.5,76,75,62,68,76,72,59.0,51,54,56,63,69,61,68,56,57,70,75,0,47.4,84,33,27,48,45,75.5,74,73,68,87,1.0,0.06,1.0,0.0,0.0,0.0,0.0,11.0,5.0,0.45,0.0,2.0,0.0,233.0,14.56,0.0,1.0,0.0,0.0,20.0,4.0,11.0,2.0,3.0,8.0,5.0
49,Joshua King,Bournemouth,73,ST,90.0,88,92,66.5,70,71,58,62,74,64,57.16666667,63,69,42,47,66,56,77,78,71,72,69,0,33.4,63,36,22,27,19,66.0,50,72,70,72,16.0,0.44,0.0,11.0,5.0,2.0,0.0,67.0,31.0,0.46,2.0,4.0,2.0,715.0,19.86,3.0,42.0,1.0,0.0,58.0,5.0,49.0,15.0,19.0,39.0,24.0
50,Sam Vokes,Burnley,73,ST,60.0,55,65,71.16666667,74,74,63,74,75,67,57.0,58,47,46,57,67,67,66,55,53,73,68,0,43.0,78,42,42,29,24,79.75,73,85,79,82,10.0,0.27,2.0,7.0,1.0,2.0,0.0,57.0,23.0,0.4,0.0,3.0,3.0,602.0,16.27,2.0,7.0,0.0,0.0,24.0,23.0,7.0,8.0,5.0,31.0,25.0
51,Ashley Barnes,Burnley,72,ST,68.5,68,69,69.83333333,72,72,65,72,73,65,59.0,65,59,56,54,64,56,69,70,56,73,68,0,45.0,72,35,33,46,39,79.25,83,81,78,75,6.0,0.21,0.0,4.0,2.0,2.0,0.0,45.0,19.0,0.42,0.0,2.0,2.0,448.0,16.0,3.0,7.0,6.0,1.0,53.0,21.0,21.0,8.0,4.0,25.0,15.0
52,Patrick Bamford,Burnley,71,ST,75.5,77,74,66.66666667,72,74,62,69,67,56,57.0,58,67,38,58,65,56,70,70,53,74,66,0,37.8,68,54,26,23,18,61.5,56,60,67,63,1.0,0.07,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.43,0.0,1.0,0.0,81.0,5.79,0.0,4.0,1.0,0.0,12.0,2.0,9.0,3.0,4.0,3.0,1.0
53,Fraizer Campbell,Crystal Palace,71,ST,78.0,80,76,68.5,72,73,62,68,70,66,55.16666667,64,43,58,41,64,61,71,76,79,69,68,0,37.0,68,22,32,35,28,68.0,66,72,71,63,1.0,0.08,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,0.0,0.0,0.0,46.0,3.83,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0
54,Lewis Grabban,Bournemouth,69,ST,78.5,79,78,70.0,66,71,65,79,72,67,57.16666667,62,64,60,43,63,51,68,77,64,64,65,0,31.2,65,22,18,27,24,65.75,55,62,75,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,19.0,6.33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,Lys Mousset,Bournemouth,68,ST,84.5,85,84,68.5,66,71,76,75,76,47,36.5,29,34,31,33,45,47,74,74,65,56,52,0,26.2,67,18,14,15,17,57.5,33,70,53,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.3,0.0,2.0,0.0,63.0,5.73,0.0,3.0,0.0,0.0,6.0,1.0,4.0,3.0,0.0,5.0,4.0
56,Ashley Fletcher,West Ham United,67,ST,75.5,75,76,60.16666667,64,66,63,52,67,49,36.5,23,44,23,35,46,48,66,74,56,67,67,0,29.4,68,22,16,22,19,67.25,55,73,64,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.56,0.0,1.0,0.0,91.0,5.69,0.0,6.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,3.0,3.0
57,Leandro Rodriguez,Everton,65,ST,69.5,69,70,65.5,65,69,67,74,69,49,47.33333333,42,47,45,50,50,50,68,63,70,60,53,0,33.8,73,20,25,28,23,51.25,33,65,60,47,5.0,0.21,0.0,4.0,1.0,0.0,0.0,33.0,15.0,0.45,0.0,4.0,2.0,234.0,9.75,0.0,8.0,0.0,0.0,15.0,9.0,6.0,8.0,2.0,15.0,13.0
58,Dominic Calvert-Lewin,Everton,63,ST,81.0,80,82,59.83333333,63,62,56,54,65,59,44.83333333,46,42,42,35,50,54,65,82,71,61,57,0,32.2,52,34,23,31,21,60.75,49,67,69,58,1.0,0.09,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.14,1.0,1.0,0.0,87.0,7.91,0.0,0.0,1.0,0.0,4.0,1.0,7.0,1.0,5.0,7.0,5.0
59,Oliver McBurnie,Swansea City,62,ST,70.0,71,69,59.16666667,61,65,54,59,66,50,41.0,36,42,31,37,52,48,50,59,62,54,61,0,25.6,62,21,12,19,14,57.5,27,66,72,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,33.0,6.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
60,Michael Folivi,Watford,61,ST,70.5,69,72,56.16666667,65,64,51,62,59,36,36.33333333,25,48,26,24,54,41,62,68,66,61,50,0,24.0,47,11,24,17,21,56.25,33,69,58,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Jerome Sinclair,Watford,59,ST,77.5,78,77,57.83333333,59,61,52,63,59,53,45.0,42,48,39,44,50,47,60,72,72,61,54,0,37.0,40,43,36,34,32,56.75,53,52,63,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,4.8,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
