,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
10,Lukasz Fabianski,Swansea City,78,GK,48.5,50,47,16.83333333,15,13,20,22,14,17,24.66666667,14,18,12,32,20,52,14,52,44,22,71,0,12.6,11,16,11,12,13,50.25,43,68,25,65,115.0,0.0,34.0,81.0,15.0,20.0,204.0,300.0,9.0,51.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1000.0,27.03,271.0
11,Kasper Schmeichel,Leicester City,78,GK,62.0,64,60,19.5,14,12,14,26,36,15,24.0,18,13,15,18,21,59,12,62,47,24,75,0,15.4,16,20,14,14,13,47.5,33,60,35,62,99.0,0.0,22.0,47.0,15.0,46.0,82.0,324.0,15.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1146.0,30.16,333.0
12,Simon Mignolet,Liverpool,78,GK,57.0,55,59,24.16666667,16,11,16,41,45,16,25.33333333,11,16,12,34,39,40,14,28,42,24,75,0,16.0,16,21,13,14,16,51.5,34,69,31,72,70.0,1.0,17.0,32.0,15.0,32.0,134.0,228.0,11.0,42.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,803.0,23.62,192.0
13,David Ospina,Arsenal,78,GK,34.0,34,34,18.5,16,10,12,26,35,12,23.66666667,11,10,13,32,36,40,12,44,50,32,70,0,15.0,15,25,10,13,12,40.5,20,75,29,38,17.0,0.0,1.0,3.0,2.0,3.0,16.0,29.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,27.5,35.0
14,Adrian,West Ham United,78,GK,45.0,46,44,24.0,12,16,20,44,40,12,21.0,12,12,17,32,21,32,15,47,48,23,75,0,17.4,15,25,14,19,14,54.75,38,69,38,74,99.0,2.0,19.0,40.0,11.0,31.0,155.0,288.0,9.0,39.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,853.0,26.66,275.0
15,Willy Caballero,Manchester City,77,GK,51.5,49,54,14.0,7,11,14,16,23,13,27.5,12,23,11,48,33,38,12,39,55,30,75,0,16.4,22,22,15,11,12,55.0,30,70,44,76,15.0,0.0,2.0,2.0,0.0,0.0,5.0,21.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,21.25,22.0
16,Artur Boruc,Bournemouth,76,GK,43.5,41,46,16.33333333,17,11,15,21,21,13,23.83333333,12,13,19,34,25,40,14,40,40,18,72,0,17.8,11,25,13,20,20,53.25,38,75,31,69,77.0,2.0,8.0,47.0,8.0,24.0,168.0,268.0,7.0,51.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,743.0,23.22,166.0
17,Maarten Stekelenburg,Southampton,76,GK,40.0,35,45,13.66666667,13,11,11,23,13,11,26.83333333,18,13,13,37,39,41,12,35,27,31,73,0,17.4,14,26,18,15,14,50.75,41,55,30,77,31.0,0.0,6.0,14.0,2.0,7.0,58.0,125.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,23.94,113.0
18,Julian Speroni,Crystal Palace,76,GK,42.5,42,43,15.16666667,8,13,12,22,24,12,23.5,13,15,12,23,24,54,14,48,57,20,75,0,13.4,11,17,12,12,15,42.75,21,74,33,43,10.0,0.0,1.0,1.0,0.0,1.0,4.0,25.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,32.0,21.0
19,Gomes,Watford,76,GK,51.0,50,52,20.83333333,12,15,14,41,30,13,20.33333333,15,12,13,19,23,40,15,56,53,25,74,0,15.4,14,20,14,14,15,51.75,40,76,27,64,121.0,3.0,66.0,62.0,18.0,24.0,178.0,378.0,11.0,49.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,957.0,25.18,345.0
20,Fraser Forster,Southampton,76,GK,33.5,32,35,19.16666667,13,13,12,22,36,19,23.0,19,10,19,19,27,44,20,32,42,33,67,0,14.6,13,22,13,13,12,51.5,43,59,29,75,51.0,0.0,5.0,16.0,4.0,3.0,25.0,144.0,6.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,25.5,170.0
21,Sergio Romero,Manchester United,76,GK,43.0,44,42,13.83333333,11,14,11,16,14,17,25.33333333,11,12,13,36,38,42,12,52,44,25,79,0,14.6,12,21,14,11,15,51.5,33,63,35,75,7.0,0.0,0.0,6.0,1.0,3.0,24.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,28.75,22.0
22,Costel Pantilimon,Watford,76,GK,45.0,48,42,14.33333333,12,11,15,21,14,13,26.33333333,19,15,12,36,38,38,15,33,22,22,69,0,18.6,16,27,14,19,17,45.75,40,34,31,78,71.0,0.0,6.0,23.0,7.0,22.0,60.0,152.0,3.0,33.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,497.0,29.24,148.0
23,Alex McCarthy,Crystal Palace,75,GK,57.0,58,56,20.0,16,17,14,41,20,12,27.0,11,15,18,35,33,50,17,35,43,17,69,0,15.2,16,22,13,13,12,50.25,35,68,35,63,32.0,0.0,1.0,8.0,3.0,2.0,10.0,71.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,29.14,63.0
24,Shay Given,Stoke City,74,GK,41.5,39,44,24.16666667,13,14,12,44,42,20,24.5,12,20,13,33,38,31,13,45,54,24,74,0,15.4,13,27,14,11,12,50.5,43,73,29,57,7.0,0.0,0.0,1.0,1.0,2.0,7.0,24.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,19.33,31.0
25,Joel Robles,Everton,74,GK,50.5,49,52,17.0,16,11,11,15,36,13,20.33333333,12,11,20,26,15,38,15,47,41,25,67,0,14.8,12,22,15,11,14,47.25,23,64,30,72,46.0,0.0,5.0,22.0,5.0,8.0,55.0,133.0,3.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,421.0,32.38,92.0
26,Wayne Hennessey,Crystal Palace,74,GK,45.5,50,41,18.83333333,14,19,14,17,34,15,21.16666667,11,12,14,13,12,65,11,50,51,19,64,0,16.4,14,22,15,18,13,39.75,21,41,29,68,80.0,0.0,3.0,32.0,7.0,17.0,107.0,247.0,8.0,36.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,758.0,26.14,221.0
27,Adam Bogdan,Liverpool,73,GK,54.0,52,56,13.83333333,13,11,14,18,16,11,18.5,15,18,12,12,16,38,11,35,41,18,67,0,15.4,11,24,15,11,16,47.5,20,63,33,74,2.0,0.0,1.0,2.0,0.0,1.0,9.0,17.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,19.5,11.0
28,Darren Randolph,West Ham United,73,GK,42.5,41,44,20.16666667,11,14,14,30,36,16,24.16666667,11,15,14,34,33,38,14,50,43,33,66,0,15.0,16,18,13,14,14,44.5,29,58,31,60,12.0,0.0,0.0,7.0,1.0,4.0,25.0,46.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,27.33,55.0
29,Adam Federici,Bournemouth,73,GK,48.0,47,49,23.0,16,18,14,41,17,32,30.5,19,27,21,25,28,63,19,50,42,27,72,0,17.8,18,22,20,11,18,57.5,44,73,41,72,13.0,0.0,4.0,3.0,2.0,2.0,22.0,31.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,18.0,36.0
30,Boaz Myhill,West Bromwich Albion,72,GK,43.5,41,46,19.33333333,13,11,12,42,27,11,24.5,11,13,12,32,39,40,15,51,48,35,66,0,15.6,13,25,13,11,16,46.25,21,72,29,63,65.0,0.0,12.0,30.0,11.0,12.0,57.0,206.0,7.0,31.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,604.0,26.26,205.0
31,Kristoffer Nordfeldt,Swansea City,72,GK,53.5,55,52,13.83333333,15,13,12,13,19,11,23.16666667,11,20,11,26,41,30,14,58,46,24,70,0,15.4,13,23,13,13,15,53.5,24,83,33,74,4.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,12.0
32,Kelvin Davis,Southampton,71,GK,48.5,51,46,21.16666667,15,12,16,41,28,15,16.16666667,11,12,11,21,13,29,14,51,60,27,70,0,16.6,20,25,12,14,12,57.25,44,77,40,68,5.0,0.0,1.0,2.0,0.0,0.0,4.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,3.0
33,Rob Elliot,Newcastle United,69,GK,47.5,47,48,17.0,12,11,12,43,11,13,23.0,16,16,12,31,28,35,15,54,42,22,67,0,15.4,13,22,15,12,15,41.75,12,52,32,71,59.0,0.0,18.0,38.0,5.0,10.0,81.0,200.0,4.0,37.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,603.0,28.71,233.0
34,Karl Darlow,Newcastle United,68,GK,55.5,59,52,15.0,18,14,11,19,13,15,23.83333333,12,19,16,28,32,36,12,63,64,27,65,0,15.0,12,25,15,11,12,45.5,13,67,44,58,23.0,1.0,9.0,20.0,2.0,8.0,29.0,76.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,23.89,76.0
35,Paulo Gazzaniga,Southampton,65,GK,59.0,56,62,22.33333333,13,12,14,41,40,14,27.5,11,11,20,38,33,52,18,58,34,22,59,0,17.4,14,24,18,20,11,54.25,32,75,43,67,7.0,0.0,0.0,1.0,0.0,2.0,9.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,27.0,20.0
36,Danny Ward,Liverpool,65,GK,43.0,44,42,17.33333333,19,11,16,20,25,13,22.66666667,13,15,14,26,30,38,19,32,60,23,61,0,18.4,13,22,19,20,18,41.0,25,55,22,62,9.0,0.0,0.0,2.0,3.0,2.0,8.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,24.5,8.0
37,Jakob Haugaard,Stoke City,62,GK,46.0,47,45,14.16666667,12,10,11,18,22,12,20.0,13,15,14,25,28,25,13,34,32,17,60,0,14.6,15,24,10,13,11,44.75,25,54,33,67,11.0,0.0,3.0,10.0,2.0,5.0,15.0,39.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,25.6,55.0
