name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
 Riyad Mahrez,17.0,0.46,1.0,2.0,13.0,4.0,0.0,86.0,39.0,0.45,2.0,5.0,11.0,1034.0,27.95,20.0,114.0,0.28,18.0,53.0,1.0,0.0,19.0,4.0,53.0,0.74,25.0,38.0,14.0,6.0,219.0,302.0,342.0,131.0,35.0,65.0,0.0
 Mark Noble,7.0,0.19,0.0,7.0,0.0,3.0,0.0,34.0,12.0,0.35,1.0,0.0,4.0,1923.0,51.97,3.0,29.0,0.24,2.0,152.0,8.0,1.0,36.0,6.0,103.0,0.72,7.0,83.0,19.0,7.0,236.0,202.0,171.0,29.0,17.0,17.0,1.0
 Matt Ritchie,7.0,0.08,1.0,1.0,5.0,0.0,0.0,153.0,36.0,0.24,4.0,3.0,12.0,2769.0,32.58,17.0,458.0,0.22,14.0,156.0,14.0,0.0,98.0,8.0,122.0,0.7,58.0,98.0,97.0,40.0,445.0,338.0,459.0,39.0,69.0,149.0,1.0
 Moussa Sissoko,1.0,0.03,0.0,1.0,0.0,0.0,0.0,38.0,12.0,0.32,0.0,3.0,7.0,1385.0,37.43,10.0,144.0,0.28,6.0,42.0,3.0,0.0,50.0,3.0,54.0,0.85,11.0,35.0,36.0,21.0,225.0,221.0,274.0,83.0,55.0,57.0,0.0
 Glenn Whelan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.27,0.0,0.0,1.0,2070.0,55.95,1.0,25.0,0.2,2.0,105.0,6.0,0.0,25.0,0.0,71.0,0.72,5.0,73.0,99.0,47.0,286.0,139.0,127.0,10.0,40.0,31.0,0.0
 Robbie Brady,3.0,0.08,0.0,1.0,2.0,0.0,0.0,53.0,19.0,0.36,2.0,0.0,2.0,1138.0,31.61,7.0,243.0,0.25,4.0,75.0,3.0,0.0,41.0,4.0,101.0,0.78,12.0,57.0,89.0,33.0,185.0,211.0,169.0,52.0,42.0,26.0,1.0
 Jonny Howson,3.0,0.08,1.0,1.0,1.0,0.0,0.0,35.0,9.0,0.26,0.0,0.0,4.0,1284.0,35.67,4.0,30.0,0.33,1.0,63.0,7.0,0.0,27.0,3.0,76.0,0.82,13.0,42.0,66.0,33.0,188.0,154.0,200.0,28.0,32.0,77.0,0.0
 Gylfi Sigurdsson,11.0,0.31,1.0,9.0,1.0,3.0,2.0,88.0,32.0,0.36,3.0,4.0,3.0,1193.0,33.14,7.0,167.0,0.23,13.0,22.0,6.0,0.0,26.0,4.0,42.0,0.74,32.0,27.0,15.0,4.0,132.0,93.0,163.0,24.0,5.0,27.0,0.0
 Jack Cork,1.0,0.03,0.0,1.0,0.0,0.0,0.0,19.0,6.0,0.32,0.0,1.0,2.0,1712.0,48.91,3.0,24.0,0.08,3.0,79.0,3.0,0.0,29.0,2.0,77.0,0.73,7.0,83.0,67.0,31.0,199.0,209.0,162.0,32.0,58.0,56.0,0.0
 Daniel Drinkwater,2.0,0.06,0.0,2.0,0.0,0.0,0.0,41.0,9.0,0.22,0.0,3.0,7.0,1984.0,56.69,10.0,47.0,0.23,11.0,137.0,3.0,1.0,54.0,0.0,106.0,0.7,11.0,55.0,68.0,41.0,342.0,191.0,203.0,31.0,29.0,44.0,0.0
 Christian Eriksen,6.0,0.17,0.0,5.0,1.0,0.0,2.0,100.0,42.0,0.42,4.0,2.0,13.0,1841.0,52.6,13.0,183.0,0.23,12.0,77.0,2.0,0.0,13.0,0.0,47.0,0.87,23.0,34.0,25.0,8.0,191.0,116.0,165.0,35.0,17.0,31.0,0.0
 Idrissa Gueye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.13,0.0,0.0,1.0,1869.0,53.4,0.0,15.0,0.2,3.0,94.0,10.0,0.0,68.0,1.0,144.0,0.75,10.0,141.0,30.0,11.0,344.0,295.0,199.0,69.0,31.0,27.0,1.0
 James McClean,2.0,0.06,1.0,1.0,0.0,0.0,0.0,31.0,9.0,0.29,0.0,0.0,2.0,598.0,17.09,3.0,208.0,0.23,2.0,23.0,7.0,1.0,36.0,6.0,70.0,0.69,8.0,32.0,53.0,23.0,122.0,203.0,217.0,38.0,58.0,60.0,0.0
 Mesut Özil,6.0,0.17,0.0,1.0,5.0,0.0,0.0,47.0,20.0,0.43,3.0,8.0,19.0,2276.0,65.03,28.0,228.0,0.41,42.0,53.0,4.0,0.0,20.0,15.0,35.0,0.77,17.0,22.0,10.0,4.0,147.0,127.0,171.0,46.0,4.0,15.0,0.0
 Nathan Redmond,6.0,0.17,0.0,6.0,0.0,0.0,0.0,54.0,17.0,0.31,5.0,3.0,3.0,974.0,27.83,4.0,123.0,0.19,3.0,27.0,0.0,0.0,29.0,6.0,31.0,0.81,16.0,15.0,10.0,5.0,114.0,126.0,182.0,59.0,7.0,32.0,0.0
 Ben Watson,2.0,0.06,0.0,2.0,0.0,0.0,0.0,17.0,4.0,0.24,2.0,0.0,0.0,1436.0,41.03,3.0,123.0,0.32,1.0,104.0,4.0,0.0,36.0,0.0,71.0,0.8,8.0,88.0,62.0,18.0,180.0,131.0,153.0,4.0,41.0,33.0,0.0
 Steven Davis,5.0,0.15,0.0,5.0,0.0,0.0,0.0,20.0,9.0,0.45,0.0,0.0,3.0,1505.0,44.26,5.0,122.0,0.3,6.0,82.0,4.0,0.0,19.0,5.0,56.0,0.8,5.0,42.0,38.0,17.0,216.0,106.0,148.0,20.0,12.0,38.0,0.0
 Craig Gardner,3.0,0.09,0.0,2.0,1.0,0.0,1.0,46.0,12.0,0.26,2.0,3.0,3.0,616.0,18.12,3.0,113.0,0.21,2.0,26.0,5.0,0.0,38.0,8.0,51.0,0.76,10.0,30.0,24.0,7.0,111.0,118.0,142.0,7.0,33.0,45.0,0.0
 Dan Gosling,3.0,0.09,1.0,2.0,0.0,0.0,0.0,40.0,11.0,0.28,1.0,4.0,1.0,1194.0,35.12,2.0,6.0,0.17,3.0,40.0,6.0,0.0,31.0,1.0,73.0,0.71,11.0,52.0,21.0,9.0,156.0,184.0,203.0,37.0,35.0,43.0,0.0
 Cheikhou Kouyaté,5.0,0.15,2.0,3.0,0.0,0.0,0.0,45.0,18.0,0.4,4.0,3.0,2.0,1234.0,36.29,1.0,19.0,0.11,1.0,41.0,5.0,1.0,36.0,2.0,95.0,0.77,10.0,77.0,57.0,29.0,227.0,248.0,186.0,29.0,88.0,55.0,0.0
 Erik Lamela,5.0,0.15,0.0,0.0,5.0,0.0,0.0,59.0,21.0,0.36,2.0,5.0,9.0,985.0,28.97,11.0,139.0,0.27,12.0,19.0,9.0,0.0,66.0,14.0,81.0,0.67,21.0,27.0,5.0,2.0,164.0,167.0,241.0,40.0,12.0,27.0,0.0
 Jesús Navas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8.0,0.26,0.0,4.0,7.0,1268.0,37.29,6.0,176.0,0.19,7.0,40.0,1.0,0.0,18.0,4.0,29.0,0.83,11.0,21.0,11.0,3.0,130.0,110.0,137.0,48.0,9.0,33.0,0.0
 Claudio Yacob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,1092.0,32.12,1.0,8.0,0.25,0.0,63.0,8.0,0.0,62.0,0.0,108.0,0.67,5.0,118.0,66.0,34.0,202.0,201.0,188.0,9.0,47.0,39.0,1.0
 Dele Alli,38.0,0.34,6.0,24.0,8.0,1.0,0.0,248.0,95.0,0.38,7.0,27.0,26.0,3939.0,34.86,33.0,63.0,0.11,48.0,133.0,18.0,0.0,149.0,24.0,181.0,0.7,70.0,100.0,71.0,40.0,556.0,624.0,834.0,130.0,85.0,126.0,1.0
 Gareth Barry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.27,0.0,1.0,1.0,2061.0,62.45,3.0,33.0,0.27,5.0,185.0,5.0,1.0,42.0,1.0,96.0,0.71,6.0,54.0,79.0,33.0,239.0,193.0,140.0,18.0,56.0,27.0,1.0
 Yohan Cabaye,5.0,0.15,0.0,5.0,0.0,3.0,0.0,67.0,21.0,0.31,2.0,3.0,1.0,1269.0,38.45,2.0,143.0,0.3,3.0,95.0,7.0,0.0,38.0,0.0,107.0,0.75,20.0,120.0,17.0,5.0,193.0,164.0,162.0,9.0,8.0,12.0,0.0
 Etienne Capoue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,0.23,0.0,5.0,1.0,1544.0,46.79,1.0,34.0,0.21,3.0,111.0,7.0,0.0,53.0,2.0,95.0,0.71,11.0,82.0,45.0,16.0,242.0,235.0,199.0,49.0,37.0,24.0,0.0
 Fernandinho,2.0,0.06,0.0,2.0,0.0,0.0,0.0,29.0,5.0,0.17,1.0,0.0,2.0,1872.0,56.73,5.0,11.0,0.27,5.0,83.0,8.0,0.0,55.0,0.0,105.0,0.7,8.0,56.0,44.0,23.0,189.0,210.0,201.0,30.0,43.0,45.0,0.0
 Nemanja Matic,2.0,0.06,0.0,0.0,2.0,0.0,0.0,34.0,8.0,0.24,1.0,3.0,2.0,1607.0,48.7,2.0,20.0,0.15,2.0,74.0,4.0,1.0,38.0,2.0,84.0,0.75,14.0,67.0,47.0,26.0,228.0,176.0,164.0,38.0,38.0,44.0,0.0
 James Ward-Prowse,2.0,0.06,0.0,2.0,0.0,1.0,1.0,28.0,7.0,0.25,1.0,1.0,4.0,699.0,21.18,6.0,93.0,0.27,3.0,28.0,5.0,0.0,21.0,1.0,14.0,0.79,9.0,22.0,37.0,22.0,89.0,37.0,78.0,6.0,10.0,18.0,0.0
 Almen Abdi,2.0,0.06,0.0,2.0,0.0,0.0,1.0,39.0,10.0,0.26,1.0,1.0,0.0,938.0,29.31,4.0,55.0,0.31,2.0,36.0,4.0,0.0,38.0,1.0,83.0,0.78,10.0,32.0,24.0,9.0,137.0,140.0,153.0,12.0,22.0,31.0,0.0
 Yaya Touré,6.0,0.19,0.0,3.0,3.0,1.0,0.0,77.0,23.0,0.3,1.0,5.0,5.0,1838.0,57.44,5.0,12.0,0.25,20.0,108.0,3.0,0.0,27.0,2.0,43.0,0.63,27.0,25.0,35.0,26.0,158.0,155.0,162.0,58.0,28.0,33.0,0.0
 Ashley Westwood,2.0,0.06,0.0,2.0,0.0,0.0,0.0,38.0,9.0,0.24,0.0,1.0,2.0,1512.0,47.25,4.0,94.0,0.36,1.0,115.0,6.0,0.0,30.0,0.0,62.0,0.69,11.0,58.0,23.0,7.0,207.0,87.0,122.0,8.0,6.0,20.0,0.0
 Ibrahim Afellay,2.0,0.06,1.0,1.0,0.0,0.0,0.0,39.0,8.0,0.21,0.0,1.0,2.0,1274.0,41.1,3.0,68.0,0.16,3.0,68.0,3.0,1.0,19.0,2.0,27.0,0.81,10.0,11.0,12.0,5.0,162.0,117.0,110.0,41.0,14.0,16.0,0.0
 Leandro Bacuna,1.0,0.03,0.0,1.0,0.0,0.0,0.0,32.0,9.0,0.28,1.0,1.0,0.0,1133.0,36.55,2.0,92.0,0.23,2.0,93.0,8.0,0.0,36.0,2.0,48.0,0.9,7.0,56.0,53.0,16.0,157.0,110.0,124.0,25.0,26.0,24.0,2.0
 Lee Cattermole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.09,0.0,1.0,0.0,929.0,29.97,1.0,7.0,0.29,8.0,66.0,8.0,0.0,40.0,0.0,57.0,0.77,4.0,52.0,31.0,21.0,142.0,111.0,140.0,13.0,26.0,25.0,1.0
 Jason Puncheon,2.0,0.06,0.0,0.0,2.0,0.0,0.0,54.0,14.0,0.26,0.0,4.0,3.0,1240.0,40.0,4.0,151.0,0.32,5.0,65.0,3.0,0.0,34.0,5.0,54.0,0.83,18.0,28.0,14.0,4.0,219.0,141.0,173.0,46.0,13.0,16.0,0.0
 Aaron Ramsey,5.0,0.16,0.0,5.0,0.0,0.0,0.0,69.0,21.0,0.3,2.0,9.0,4.0,2154.0,69.48,3.0,50.0,0.24,20.0,58.0,4.0,0.0,47.0,5.0,78.0,0.76,23.0,56.0,20.0,8.0,248.0,190.0,229.0,39.0,27.0,26.0,0.0
 Jonjo Shelvey,1.0,0.03,0.0,1.0,0.0,1.0,0.0,56.0,16.0,0.29,2.0,0.0,5.0,1473.0,47.52,9.0,116.0,0.25,11.0,167.0,8.0,0.0,21.0,1.0,37.0,0.76,20.0,45.0,25.0,11.0,181.0,81.0,93.0,25.0,12.0,16.0,0.0
 Emre Can,1.0,0.03,0.0,1.0,0.0,0.0,0.0,30.0,13.0,0.43,1.0,0.0,0.0,1793.0,59.77,6.0,9.0,0.0,6.0,111.0,9.0,0.0,36.0,5.0,79.0,0.87,8.0,62.0,43.0,16.0,204.0,191.0,172.0,39.0,45.0,40.0,2.0
 Wes Hoolahan,4.0,0.13,0.0,1.0,3.0,1.0,0.0,26.0,8.0,0.31,0.0,2.0,8.0,1113.0,37.1,6.0,54.0,0.26,6.0,36.0,1.0,0.0,19.0,5.0,27.0,0.7,9.0,15.0,1.0,0.0,169.0,105.0,169.0,35.0,3.0,14.0,0.0
 Adam Lallana,4.0,0.13,0.0,1.0,3.0,0.0,0.0,44.0,15.0,0.34,0.0,3.0,6.0,989.0,32.97,8.0,63.0,0.21,9.0,23.0,2.0,0.0,27.0,14.0,59.0,0.8,15.0,20.0,35.0,12.0,150.0,153.0,178.0,42.0,23.0,36.0,0.0
 Dimitri Payet,9.0,0.3,0.0,9.0,0.0,0.0,2.0,69.0,28.0,0.41,2.0,1.0,12.0,1269.0,42.3,16.0,290.0,0.32,19.0,76.0,3.0,0.0,13.0,3.0,24.0,0.67,18.0,23.0,2.0,2.0,150.0,132.0,148.0,67.0,2.0,10.0,1.0
 Victor Wanyama,1.0,0.03,0.0,1.0,0.0,0.0,0.0,31.0,5.0,0.16,0.0,0.0,1.0,1352.0,45.07,2.0,7.0,0.0,0.0,81.0,4.0,3.0,50.0,1.0,94.0,0.76,7.0,68.0,62.0,25.0,250.0,209.0,189.0,23.0,64.0,68.0,1.0
 Nacer Chadli,3.0,0.1,0.0,2.0,1.0,0.0,0.0,25.0,7.0,0.28,0.0,3.0,2.0,378.0,13.03,4.0,15.0,0.27,1.0,13.0,1.0,0.0,16.0,4.0,11.0,0.73,6.0,8.0,16.0,7.0,56.0,41.0,77.0,7.0,16.0,24.0,0.0
 Jack Colback,1.0,0.03,0.0,0.0,1.0,0.0,0.0,15.0,4.0,0.27,0.0,0.0,1.0,1066.0,36.76,1.0,59.0,0.29,0.0,76.0,11.0,0.0,49.0,0.0,81.0,0.79,3.0,63.0,39.0,11.0,168.0,156.0,125.0,7.0,25.0,20.0,0.0
 Mousa Dembélé,3.0,0.1,0.0,0.0,3.0,0.0,0.0,22.0,9.0,0.41,0.0,1.0,1.0,1378.0,47.52,0.0,4.0,0.25,3.0,40.0,3.0,0.0,48.0,2.0,104.0,0.81,6.0,56.0,33.0,14.0,223.0,249.0,156.0,83.0,31.0,28.0,0.0
 James McCarthy,2.0,0.07,0.0,1.0,1.0,0.0,0.0,16.0,7.0,0.44,0.0,0.0,2.0,1357.0,46.79,2.0,17.0,0.18,4.0,95.0,5.0,1.0,37.0,0.0,79.0,0.77,3.0,51.0,48.0,23.0,135.0,124.0,113.0,7.0,11.0,20.0,0.0
 Oriol Romeu,1.0,0.03,0.0,1.0,0.0,0.0,0.0,28.0,8.0,0.29,0.0,1.0,0.0,833.0,28.72,1.0,1.0,0.0,3.0,59.0,7.0,0.0,28.0,0.0,77.0,0.74,6.0,39.0,31.0,9.0,124.0,132.0,111.0,16.0,25.0,28.0,0.0
 Morgan Schneiderlin,1.0,0.03,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.09,0.0,0.0,0.0,1459.0,50.31,0.0,7.0,0.0,1.0,100.0,3.0,0.0,52.0,0.0,71.0,0.7,4.0,74.0,48.0,21.0,161.0,114.0,121.0,9.0,19.0,31.0,0.0
 Vurnon Anita,1.0,0.04,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.25,0.0,0.0,3.0,990.0,35.36,0.0,28.0,0.18,2.0,53.0,6.0,0.0,29.0,0.0,74.0,0.72,2.0,56.0,40.0,15.0,160.0,110.0,102.0,9.0,16.0,21.0,0.0
 Ikechi Anya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.1,0.0,1.0,1.0,660.0,23.57,2.0,71.0,0.1,0.0,28.0,0.0,0.0,1.0,1.0,16.0,0.75,5.0,45.0,33.0,12.0,102.0,61.0,52.0,14.0,14.0,21.0,0.0
 Michael Carrick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.14,1.0,0.0,0.0,1568.0,56.0,1.0,6.0,0.67,4.0,110.0,4.0,0.0,11.0,0.0,43.0,0.63,6.0,44.0,36.0,14.0,152.0,80.0,57.0,8.0,16.0,10.0,0.0
 Ki Sung-yueng,2.0,0.07,0.0,2.0,0.0,0.0,0.0,24.0,7.0,0.29,1.0,1.0,1.0,1170.0,41.79,1.0,11.0,0.36,5.0,99.0,4.0,0.0,19.0,1.0,32.0,0.72,7.0,28.0,18.0,7.0,151.0,84.0,84.0,11.0,17.0,17.0,0.0
 James McArthur,2.0,0.07,0.0,1.0,1.0,0.0,0.0,16.0,4.0,0.25,0.0,1.0,2.0,1058.0,37.79,1.0,8.0,0.13,1.0,66.0,5.0,0.0,41.0,1.0,55.0,0.76,5.0,66.0,20.0,9.0,167.0,117.0,166.0,10.0,32.0,42.0,0.0
 James Milner,5.0,0.18,0.0,3.0,2.0,1.0,1.0,39.0,11.0,0.28,0.0,1.0,11.0,1377.0,49.18,6.0,185.0,0.32,12.0,71.0,9.0,1.0,47.0,2.0,68.0,0.78,15.0,37.0,23.0,8.0,163.0,148.0,215.0,19.0,32.0,42.0,0.0
 Wayne Routledge,2.0,0.07,0.0,2.0,0.0,0.0,0.0,18.0,9.0,0.5,0.0,2.0,1.0,651.0,23.25,1.0,67.0,0.15,3.0,21.0,3.0,0.0,30.0,7.0,23.0,0.87,5.0,12.0,9.0,3.0,102.0,67.0,140.0,16.0,5.0,34.0,0.0
 Oscar,3.0,0.11,0.0,3.0,0.0,1.0,1.0,52.0,16.0,0.31,0.0,4.0,3.0,1040.0,38.52,3.0,38.0,0.26,6.0,63.0,4.0,0.0,18.0,2.0,62.0,0.84,20.0,13.0,21.0,5.0,102.0,134.0,138.0,25.0,12.0,22.0,0.0
 Ander Herrera,3.0,0.11,1.0,2.0,0.0,1.0,0.0,24.0,6.0,0.25,0.0,1.0,2.0,1097.0,40.63,4.0,34.0,0.18,7.0,46.0,4.0,0.0,28.0,1.0,56.0,0.8,11.0,24.0,17.0,5.0,118.0,103.0,110.0,19.0,7.0,7.0,0.0
 Jordon Ibe,1.0,0.04,0.0,0.0,1.0,0.0,0.0,29.0,6.0,0.21,2.0,1.0,2.0,481.0,17.81,1.0,59.0,0.2,3.0,10.0,0.0,0.0,10.0,1.0,10.0,0.9,11.0,1.0,0.0,0.0,75.0,86.0,95.0,60.0,2.0,6.0,0.0
 Mile Jedinak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.08,1.0,0.0,0.0,830.0,30.74,2.0,6.0,0.17,0.0,51.0,6.0,0.0,36.0,2.0,50.0,0.68,5.0,55.0,58.0,34.0,115.0,169.0,112.0,5.0,102.0,41.0,1.0
 José Manuel Jurado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.29,2.0,0.0,0.0,956.0,35.41,5.0,69.0,0.23,3.0,32.0,3.0,0.0,12.0,1.0,37.0,0.65,8.0,22.0,7.0,2.0,152.0,129.0,117.0,52.0,3.0,17.0,0.0
 Lucas Leiva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.33,0.0,1.0,1.0,1485.0,55.0,3.0,8.0,0.13,5.0,84.0,8.0,0.0,49.0,1.0,108.0,0.79,3.0,52.0,26.0,15.0,167.0,200.0,147.0,14.0,62.0,43.0,0.0
 Gary O'Neil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,943.0,34.93,1.0,44.0,0.18,0.0,90.0,7.0,1.0,40.0,0.0,41.0,0.68,5.0,36.0,30.0,14.0,140.0,91.0,122.0,12.0,24.0,25.0,0.0
 Scott Sinclair,2.0,0.07,0.0,2.0,0.0,1.0,0.0,17.0,7.0,0.41,1.0,2.0,0.0,345.0,12.78,1.0,24.0,0.08,1.0,9.0,0.0,0.0,5.0,9.0,13.0,1.0,4.0,9.0,4.0,2.0,61.0,66.0,109.0,26.0,7.0,22.0,0.0
 Michail Antonio,8.0,0.31,6.0,1.0,1.0,0.0,0.0,54.0,20.0,0.37,2.0,6.0,3.0,523.0,20.12,4.0,68.0,0.24,1.0,31.0,3.0,0.0,27.0,11.0,37.0,0.7,11.0,57.0,45.0,22.0,129.0,157.0,151.0,47.0,39.0,34.0,1.0
 Francis Coquelin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1116.0,42.92,0.0,2.0,1.0,3.0,56.0,5.0,1.0,24.0,0.0,72.0,0.79,3.0,76.0,22.0,12.0,188.0,145.0,85.0,30.0,19.0,17.0,0.0
 Coutinho,8.0,0.31,0.0,7.0,1.0,0.0,0.0,111.0,30.0,0.27,3.0,3.0,5.0,1092.0,42.0,9.0,57.0,0.18,15.0,58.0,2.0,1.0,10.0,5.0,35.0,0.83,43.0,17.0,7.0,1.0,127.0,116.0,155.0,49.0,5.0,23.0,0.0
 Mame Biram Diouf,5.0,0.19,5.0,0.0,0.0,0.0,0.0,31.0,16.0,0.52,0.0,7.0,1.0,264.0,10.15,1.0,8.0,0.13,1.0,4.0,3.0,0.0,21.0,8.0,18.0,0.89,6.0,5.0,18.0,5.0,49.0,88.0,102.0,12.0,34.0,53.0,0.0
 Manuel Lanzini,6.0,0.23,0.0,4.0,2.0,0.0,0.0,48.0,11.0,0.23,1.0,4.0,2.0,1093.0,42.04,3.0,44.0,0.27,2.0,26.0,3.0,0.0,9.0,6.0,33.0,0.79,16.0,24.0,5.0,1.0,161.0,124.0,101.0,57.0,4.0,11.0,0.0
 Marc Pugh,3.0,0.12,0.0,3.0,0.0,0.0,0.0,22.0,11.0,0.5,1.0,2.0,2.0,501.0,19.27,1.0,45.0,0.16,1.0,18.0,1.0,0.0,10.0,1.0,32.0,0.75,5.0,16.0,13.0,6.0,69.0,106.0,129.0,32.0,14.0,31.0,0.0
 Leon Britton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1000.0,40.0,0.0,2.0,0.0,1.0,16.0,4.0,0.0,14.0,0.0,41.0,0.63,2.0,62.0,17.0,9.0,138.0,84.0,80.0,16.0,9.0,12.0,0.0
 Kevin De Bruyne,7.0,0.28,0.0,7.0,0.0,0.0,0.0,49.0,25.0,0.51,1.0,3.0,9.0,1127.0,45.08,9.0,181.0,0.27,15.0,48.0,2.0,0.0,16.0,8.0,28.0,0.86,10.0,18.0,13.0,8.0,131.0,94.0,154.0,36.0,12.0,29.0,1.0
 Andy King,2.0,0.08,0.0,2.0,0.0,0.0,0.0,20.0,4.0,0.2,0.0,3.0,1.0,476.0,19.04,2.0,10.0,0.2,1.0,28.0,2.0,0.0,7.0,0.0,27.0,0.74,6.0,29.0,24.0,14.0,75.0,59.0,46.0,7.0,17.0,18.0,0.0
 Aaron Lennon,5.0,0.2,0.0,5.0,0.0,0.0,0.0,18.0,11.0,0.61,0.0,1.0,0.0,477.0,19.08,1.0,34.0,0.21,0.0,13.0,1.0,0.0,13.0,1.0,35.0,0.71,3.0,8.0,15.0,2.0,55.0,83.0,63.0,26.0,1.0,4.0,0.0
