name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions,clearances,headed clearance
 Roberto Firmino,11.0,0.31,3.0,5.0,3.0,0.0,0.0,100.0,45.0,0.45,0.0,9.0,7.0,1543.0,44.09,11.0,60.0,5.0,0.0,51.0,19.0,58.0,31.0,26.0,14.0,12.0
 Diego Costa,20.0,0.57,2.0,13.0,5.0,0.0,0.0,111.0,42.0,0.38,4.0,12.0,7.0,1034.0,29.54,6.0,9.0,10.0,0.0,43.0,26.0,18.0,32.0,7.0,39.0,29.0
 Kevin Mirallas,4.0,0.11,0.0,3.0,1.0,0.0,0.0,61.0,23.0,0.38,1.0,1.0,6.0,720.0,20.57,4.0,136.0,2.0,0.0,27.0,4.0,18.0,20.0,7.0,11.0,7.0
 Pedro,9.0,0.26,2.0,2.0,5.0,0.0,0.0,59.0,17.0,0.29,2.0,2.0,9.0,947.0,27.06,5.0,72.0,6.0,0.0,33.0,8.0,48.0,13.0,21.0,11.0,3.0
 Jamie Vardy,13.0,0.37,1.0,9.0,3.0,0.0,0.0,53.0,26.0,0.49,1.0,6.0,5.0,529.0,15.11,6.0,47.0,2.0,1.0,26.0,25.0,15.0,11.0,8.0,9.0,4.0
 Wilfried Zaha,7.0,0.2,0.0,5.0,2.0,0.0,0.0,49.0,18.0,0.37,2.0,6.0,9.0,696.0,19.89,8.0,105.0,8.0,0.0,55.0,6.0,76.0,15.0,34.0,11.0,1.0
 Willian,8.0,0.24,0.0,7.0,1.0,0.0,1.0,44.0,15.0,0.34,1.0,0.0,2.0,777.0,22.85,0.0,106.0,3.0,0.0,12.0,2.0,19.0,10.0,7.0,5.0,2.0
 Divock Origi,7.0,0.21,1.0,5.0,1.0,0.0,0.0,38.0,15.0,0.39,2.0,4.0,3.0,391.0,11.5,2.0,31.0,0.0,0.0,22.0,13.0,11.0,7.0,3.0,2.0,1.0
 Son Heung-Min,14.0,0.41,0.0,9.0,5.0,0.0,0.0,80.0,33.0,0.41,4.0,5.0,6.0,775.0,22.79,5.0,62.0,2.0,0.0,9.0,22.0,19.0,21.0,7.0,6.0,3.0
 Fernando Llorente,15.0,0.45,8.0,4.0,3.0,0.0,0.0,52.0,26.0,0.5,2.0,5.0,1.0,900.0,27.27,2.0,8.0,2.0,0.0,51.0,12.0,18.0,7.0,2.0,36.0,26.0
 Raheem Sterling,7.0,0.21,0.0,4.0,3.0,0.0,0.0,64.0,22.0,0.34,3.0,5.0,6.0,1033.0,31.3,7.0,84.0,7.0,0.0,36.0,16.0,24.0,22.0,16.0,3.0,0.0
 Dusan Tadic,3.0,0.09,0.0,0.0,3.0,1.0,0.0,63.0,21.0,0.33,2.0,6.0,5.0,1061.0,32.15,6.0,184.0,4.0,0.0,30.0,9.0,19.0,22.0,17.0,10.0,2.0
 Marko Arnautovic,6.0,0.19,0.0,5.0,1.0,0.0,0.0,60.0,19.0,0.32,2.0,12.0,5.0,861.0,26.91,8.0,110.0,9.0,1.0,41.0,32.0,32.0,17.0,25.0,20.0,4.0
 Andre Gray,9.0,0.28,0.0,6.0,3.0,2.0,1.0,47.0,19.0,0.4,0.0,6.0,3.0,371.0,11.59,2.0,26.0,2.0,0.0,17.0,35.0,10.0,10.0,4.0,1.0,0.0
 Shane Long,3.0,0.09,1.0,2.0,0.0,0.0,0.0,41.0,15.0,0.37,1.0,7.0,1.0,306.0,9.56,3.0,24.0,2.0,0.0,28.0,12.0,12.0,6.0,5.0,14.0,12.0
 Marcus Rashford,5.0,0.16,0.0,4.0,1.0,0.0,0.0,44.0,17.0,0.39,1.0,4.0,1.0,544.0,17.0,3.0,83.0,3.0,0.0,16.0,11.0,16.0,11.0,12.0,6.0,0.0
 Benik Afobe,6.0,0.19,0.0,3.0,3.0,0.0,0.0,39.0,18.0,0.46,2.0,13.0,3.0,297.0,9.58,2.0,2.0,1.0,0.0,21.0,14.0,9.0,6.0,5.0,19.0,16.0
 Sergio Agüero,20.0,0.65,2.0,15.0,3.0,4.0,0.0,139.0,53.0,0.38,2.0,13.0,3.0,771.0,24.87,6.0,17.0,4.0,1.0,23.0,23.0,18.0,37.0,3.0,1.0,1.0
 Harry Kane,29.0,0.97,2.0,20.0,7.0,5.0,0.0,110.0,58.0,0.53,3.0,11.0,7.0,597.0,19.9,7.0,29.0,3.0,0.0,23.0,17.0,22.0,21.0,4.0,21.0,15.0
 Shinji Okazaki,3.0,0.1,0.0,1.0,2.0,0.0,0.0,29.0,9.0,0.31,1.0,2.0,1.0,438.0,14.6,1.0,4.0,1.0,0.0,28.0,4.0,30.0,8.0,12.0,5.0,5.0
 Nordin Amrabat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,0.21,0.0,0.0,3.0,675.0,23.28,4.0,130.0,4.0,0.0,47.0,2.0,45.0,11.0,24.0,11.0,2.0
 Olivier Giroud,12.0,0.41,6.0,1.0,5.0,0.0,0.0,39.0,20.0,0.51,1.0,3.0,3.0,369.0,12.72,2.0,3.0,2.0,0.0,21.0,12.0,14.0,5.0,8.0,17.0,12.0
 Hal Robson-Kanu,3.0,0.1,0.0,1.0,2.0,0.0,0.0,16.0,6.0,0.38,0.0,2.0,2.0,166.0,5.72,1.0,12.0,3.0,0.0,28.0,5.0,5.0,5.0,4.0,8.0,8.0
 Ashley Barnes,6.0,0.21,0.0,4.0,2.0,2.0,0.0,45.0,19.0,0.42,0.0,2.0,2.0,448.0,16.0,3.0,7.0,6.0,1.0,53.0,21.0,21.0,8.0,4.0,25.0,15.0
 Zlatan Ibrahimovic,17.0,0.61,4.0,11.0,2.0,2.0,0.0,115.0,46.0,0.4,1.0,18.0,5.0,1041.0,37.18,8.0,18.0,7.0,0.0,54.0,37.0,10.0,32.0,10.0,22.0,18.0
 Theo Walcott,10.0,0.36,1.0,9.0,0.0,0.0,0.0,62.0,29.0,0.47,3.0,6.0,2.0,538.0,19.21,3.0,49.0,1.0,0.0,14.0,17.0,36.0,12.0,13.0,13.0,9.0
 Peter Crouch,7.0,0.26,3.0,3.0,0.0,0.0,0.0,37.0,16.0,0.43,0.0,5.0,2.0,496.0,18.37,5.0,0.0,3.0,0.0,26.0,7.0,4.0,5.0,3.0,26.0,21.0
 Vincent Janssen,2.0,0.07,0.0,1.0,1.0,1.0,0.0,30.0,14.0,0.47,1.0,5.0,2.0,225.0,8.33,2.0,10.0,0.0,0.0,31.0,8.0,15.0,5.0,2.0,2.0,2.0
 Sadio Mané,13.0,0.48,1.0,9.0,3.0,0.0,0.0,57.0,24.0,0.42,2.0,3.0,5.0,1020.0,37.78,4.0,41.0,4.0,0.0,32.0,13.0,23.0,19.0,8.0,10.0,5.0
 Adama Traoré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.18,0.0,1.0,1.0,369.0,13.67,1.0,79.0,1.0,0.0,20.0,1.0,30.0,3.0,6.0,5.0,1.0
 Leroy Sané,5.0,0.19,0.0,0.0,5.0,0.0,0.0,33.0,14.0,0.42,2.0,6.0,3.0,691.0,26.58,7.0,52.0,4.0,0.0,14.0,12.0,35.0,5.0,17.0,5.0,3.0
 André Ayew,6.0,0.24,2.0,1.0,3.0,0.0,0.0,34.0,13.0,0.38,2.0,5.0,3.0,431.0,17.24,3.0,7.0,1.0,0.0,14.0,5.0,17.0,7.0,10.0,10.0,6.0
 Anthony Martial,4.0,0.16,0.0,3.0,1.0,0.0,0.0,42.0,18.0,0.43,2.0,1.0,6.0,608.0,24.32,7.0,56.0,2.0,0.0,26.0,6.0,17.0,10.0,9.0,9.0,5.0
 Wayne Rooney,5.0,0.2,1.0,3.0,1.0,1.0,1.0,52.0,19.0,0.37,1.0,6.0,5.0,779.0,31.16,5.0,97.0,8.0,0.0,23.0,7.0,21.0,10.0,17.0,10.0,6.0
 Fabio Borini,2.0,0.08,0.0,2.0,0.0,0.0,0.0,33.0,14.0,0.42,0.0,2.0,0.0,503.0,20.96,0.0,37.0,5.0,0.0,27.0,0.0,20.0,10.0,23.0,27.0,11.0
 Abel Hernández,4.0,0.17,1.0,1.0,2.0,0.0,0.0,39.0,18.0,0.46,0.0,2.0,3.0,252.0,10.5,1.0,1.0,0.0,0.0,19.0,11.0,8.0,6.0,3.0,3.0,1.0
 Jay Rodriguez,5.0,0.21,0.0,4.0,1.0,0.0,0.0,33.0,15.0,0.45,0.0,4.0,2.0,234.0,9.75,0.0,8.0,0.0,0.0,15.0,9.0,6.0,8.0,2.0,15.0,13.0
 Enner Valencia,3.0,0.13,0.0,2.0,1.0,0.0,0.0,31.0,12.0,0.39,0.0,3.0,1.0,228.0,9.5,1.0,23.0,1.0,0.0,26.0,6.0,16.0,11.0,11.0,12.0,6.0
 Islam Slimani,7.0,0.3,5.0,2.0,0.0,1.0,0.0,35.0,13.0,0.37,2.0,7.0,4.0,423.0,18.39,2.0,3.0,1.0,0.0,27.0,11.0,12.0,5.0,3.0,3.0,2.0
 Cristhian Stuani,4.0,0.17,1.0,1.0,2.0,0.0,0.0,21.0,10.0,0.48,1.0,2.0,0.0,383.0,16.65,1.0,25.0,4.0,0.0,21.0,4.0,35.0,4.0,10.0,15.0,7.0
 Jonathan Walters,4.0,0.17,2.0,2.0,0.0,1.0,0.0,25.0,12.0,0.48,1.0,4.0,2.0,331.0,14.39,1.0,36.0,1.0,0.0,13.0,12.0,8.0,4.0,4.0,27.0,16.0
 Adama Diomande,2.0,0.09,0.0,2.0,0.0,0.0,0.0,23.0,6.0,0.26,0.0,2.0,0.0,320.0,14.55,0.0,4.0,1.0,0.0,19.0,10.0,24.0,3.0,7.0,7.0,5.0
 Ahmed Musa,2.0,0.1,0.0,1.0,1.0,0.0,0.0,17.0,6.0,0.35,0.0,1.0,0.0,214.0,10.19,2.0,26.0,1.0,0.0,13.0,1.0,13.0,4.0,10.0,2.0,2.0
 Xherdan Shaqiri,4.0,0.19,0.0,0.0,4.0,0.0,2.0,48.0,10.0,0.21,1.0,1.0,2.0,609.0,29.0,5.0,131.0,2.0,0.0,16.0,4.0,11.0,18.0,9.0,2.0,1.0
 Michy Batshuayi,5.0,0.25,0.0,2.0,3.0,0.0,0.0,17.0,8.0,0.47,1.0,2.0,1.0,80.0,4.0,0.0,2.0,0.0,0.0,9.0,4.0,2.0,6.0,2.0,1.0,1.0
 Kelechi Iheanacho,4.0,0.2,0.0,0.0,4.0,0.0,0.0,22.0,7.0,0.32,0.0,3.0,3.0,192.0,9.6,3.0,4.0,0.0,0.0,8.0,6.0,6.0,11.0,0.0,2.0,1.0
 Daniel Sturridge,3.0,0.15,1.0,1.0,1.0,0.0,0.0,40.0,21.0,0.53,4.0,3.0,1.0,278.0,13.9,2.0,7.0,1.0,0.0,5.0,7.0,1.0,4.0,2.0,0.0,0.0
 Callum Wilson,6.0,0.3,2.0,4.0,0.0,3.0,0.0,31.0,12.0,0.39,2.0,2.0,0.0,191.0,9.55,0.0,9.0,0.0,0.0,30.0,18.0,6.0,7.0,5.0,1.0,1.0
 Nolito,4.0,0.21,1.0,2.0,1.0,0.0,0.0,32.0,12.0,0.38,0.0,3.0,2.0,391.0,20.58,2.0,16.0,3.0,1.0,18.0,4.0,14.0,10.0,7.0,4.0,2.0
 Stefano Okaka,4.0,0.21,1.0,3.0,0.0,0.0,0.0,27.0,12.0,0.44,1.0,1.0,0.0,230.0,12.11,2.0,5.0,5.0,0.0,30.0,11.0,12.0,6.0,1.0,10.0,5.0
 Isaac Success,1.0,0.05,1.0,0.0,0.0,0.0,0.0,14.0,7.0,0.5,0.0,3.0,1.0,131.0,6.89,0.0,13.0,2.0,0.0,12.0,1.0,16.0,4.0,7.0,9.0,5.0
 Victor Anichebe,3.0,0.17,0.0,1.0,2.0,0.0,0.0,30.0,9.0,0.3,1.0,1.0,0.0,366.0,20.33,0.0,37.0,2.0,0.0,27.0,6.0,9.0,13.0,8.0,30.0,23.0
 Modou Barrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.2,0.0,1.0,2.0,299.0,16.61,3.0,59.0,1.0,0.0,15.0,10.0,22.0,2.0,6.0,7.0,1.0
 Andy Carroll,7.0,0.39,2.0,1.0,4.0,0.0,0.0,39.0,14.0,0.36,0.0,1.0,1.0,435.0,24.17,3.0,10.0,3.0,0.0,24.0,4.0,5.0,10.0,6.0,38.0,34.0
 Borja Bastón,1.0,0.06,0.0,1.0,0.0,0.0,0.0,15.0,3.0,0.2,1.0,3.0,0.0,180.0,10.0,0.0,6.0,0.0,0.0,3.0,4.0,5.0,5.0,3.0,6.0,3.0
 Odion Ighalo,1.0,0.06,0.0,1.0,0.0,0.0,0.0,37.0,10.0,0.27,0.0,4.0,1.0,296.0,16.44,0.0,5.0,1.0,0.0,17.0,9.0,10.0,11.0,3.0,3.0,1.0
 Saido Berahino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,0.47,0.0,4.0,0.0,168.0,9.88,2.0,1.0,1.0,0.0,20.0,8.0,9.0,4.0,1.0,2.0,1.0
 Oumar Niasse,4.0,0.24,0.0,4.0,0.0,0.0,0.0,26.0,8.0,0.31,0.0,2.0,1.0,235.0,13.82,1.0,13.0,3.0,1.0,17.0,11.0,10.0,6.0,1.0,13.0,11.0
 Jonathan Calleri,1.0,0.06,0.0,1.0,0.0,0.0,0.0,16.0,3.0,0.19,0.0,4.0,0.0,119.0,7.44,0.0,15.0,0.0,0.0,10.0,9.0,5.0,7.0,4.0,3.0,2.0
 Ashley Fletcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.56,0.0,1.0,0.0,91.0,5.69,0.0,6.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,3.0,3.0
 Rudy Gestede,1.0,0.06,0.0,1.0,0.0,0.0,0.0,16.0,5.0,0.31,1.0,1.0,0.0,218.0,13.63,1.0,2.0,3.0,0.0,8.0,3.0,6.0,2.0,2.0,9.0,7.0
 M'Baye Niang,2.0,0.13,1.0,1.0,0.0,0.0,0.0,32.0,13.0,0.41,0.0,0.0,2.0,405.0,25.31,4.0,37.0,2.0,0.0,24.0,5.0,11.0,9.0,11.0,9.0,4.0
 Leonardo Ulloa,1.0,0.06,1.0,0.0,0.0,0.0,0.0,11.0,5.0,0.45,0.0,2.0,0.0,233.0,14.56,0.0,1.0,0.0,0.0,20.0,4.0,11.0,2.0,3.0,8.0,5.0
 Danny Welbeck,2.0,0.13,1.0,0.0,1.0,0.0,0.0,19.0,8.0,0.42,1.0,5.0,2.0,192.0,12.0,2.0,1.0,0.0,0.0,7.0,2.0,8.0,3.0,6.0,10.0,7.0
 Charlie Austin,6.0,0.4,1.0,4.0,1.0,2.0,0.0,37.0,17.0,0.46,2.0,3.0,1.0,255.0,17.0,2.0,9.0,1.0,0.0,14.0,8.0,14.0,5.0,4.0,13.0,10.0
 Jordan Ayew,1.0,0.07,1.0,0.0,0.0,0.0,0.0,12.0,6.0,0.5,1.0,0.0,3.0,240.0,17.14,2.0,19.0,1.0,0.0,18.0,6.0,14.0,2.0,7.0,5.0,2.0
 Patrick Bamford,1.0,0.07,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.43,0.0,1.0,0.0,81.0,5.79,0.0,4.0,1.0,0.0,12.0,2.0,9.0,3.0,4.0,3.0,1.0
 Yannick Bolasie,1.0,0.07,0.0,1.0,0.0,0.0,0.0,27.0,6.0,0.22,0.0,1.0,4.0,291.0,20.79,8.0,84.0,3.0,0.0,24.0,3.0,18.0,7.0,3.0,8.0,7.0
 Duncan Watmore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.25,0.0,0.0,2.0,192.0,13.71,2.0,22.0,1.0,0.0,10.0,4.0,13.0,6.0,8.0,6.0,2.0
 Viktor Fischer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.17,1.0,0.0,3.0,146.0,11.23,3.0,16.0,0.0,0.0,1.0,3.0,3.0,7.0,0.0,1.0,0.0
 Fraizer Campbell,1.0,0.08,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,0.0,0.0,0.0,46.0,3.83,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0
 Dieudonne Mbokani Bezua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.29,1.0,2.0,1.0,172.0,14.33,0.0,3.0,0.0,0.0,14.0,12.0,3.0,3.0,1.0,5.0,4.0
 Dominic Calvert-Lewin,1.0,0.09,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.14,1.0,1.0,0.0,87.0,7.91,0.0,0.0,1.0,0.0,4.0,1.0,7.0,1.0,5.0,7.0,5.0
 Gerard Deulofeu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.43,1.0,1.0,0.0,164.0,14.91,0.0,37.0,1.0,0.0,2.0,10.0,6.0,2.0,4.0,0.0,0.0
 Manolo Gabbiadini,4.0,0.36,0.0,1.0,2.0,0.0,0.0,29.0,11.0,0.38,0.0,3.0,0.0,117.0,10.64,0.0,3.0,1.0,0.0,8.0,10.0,2.0,9.0,3.0,10.0,8.0
 Lynden Gooch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,99.0,9.0,0.0,13.0,3.0,0.0,9.0,0.0,12.0,3.0,5.0,2.0,1.0
 Max Gradel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.4,0.0,0.0,0.0,54.0,4.91,0.0,8.0,3.0,0.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0
 Lys Mousset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.3,0.0,2.0,0.0,63.0,5.73,0.0,3.0,0.0,0.0,6.0,1.0,4.0,3.0,0.0,5.0,4.0
 Lucas Pérez,1.0,0.09,0.0,0.0,1.0,0.0,0.0,9.0,4.0,0.44,1.0,1.0,0.0,116.0,10.55,0.0,9.0,0.0,0.0,2.0,0.0,3.0,4.0,2.0,1.0,0.0
 Wilfried Bony,2.0,0.2,1.0,1.0,0.0,0.0,0.0,21.0,5.0,0.24,0.0,1.0,0.0,212.0,21.2,1.0,1.0,1.0,0.0,11.0,2.0,5.0,7.0,3.0,10.0,8.0
 Gabriel Jesus,7.0,0.7,1.0,4.0,2.0,1.0,0.0,24.0,13.0,0.54,0.0,3.0,4.0,242.0,24.2,3.0,2.0,2.0,0.0,11.0,9.0,5.0,3.0,2.0,1.0,0.0
 Bojan,3.0,0.33,0.0,3.0,0.0,2.0,0.0,10.0,4.0,0.4,1.0,1.0,0.0,188.0,20.89,0.0,25.0,1.0,0.0,4.0,0.0,8.0,1.0,3.0,5.0,2.0
 Jonathan Leko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.78,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
 Ademola Lookman,1.0,0.13,0.0,1.0,0.0,0.0,0.0,16.0,6.0,0.38,0.0,1.0,0.0,94.0,11.75,0.0,1.0,0.0,0.0,4.0,2.0,5.0,3.0,2.0,3.0,1.0
 Connor Wickham,2.0,0.25,0.0,1.0,1.0,0.0,0.0,10.0,5.0,0.5,0.0,1.0,0.0,98.0,12.25,0.0,6.0,1.0,0.0,12.0,1.0,4.0,0.0,2.0,10.0,5.0
 Simone Zaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.13,0.0,0.0,0.0,105.0,13.13,0.0,4.0,2.0,0.0,11.0,5.0,5.0,7.0,3.0,2.0,1.0
 Jarrod Bowen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,70.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0
 Arouna Koné,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.67,0.0,0.0,0.0,32.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Jordan Rhodes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.67,0.0,1.0,0.0,42.0,7.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0
 Will Keane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,76.0,15.2,0.0,3.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
 Oliver McBurnie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,33.0,6.6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
 Julien Ngoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.2,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
 Loïc Remy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.5,0.0,0.0,0.0,45.0,9.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
 Jerome Sinclair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,4.8,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
 Ben Woodburn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,6.4,0.0,5.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0
 Memphis Depay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.5,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
 David Nugent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.5,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
 Diafra Sakho,1.0,0.25,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.33,0.0,0.0,0.0,32.0,8.0,0.0,2.0,0.0,0.0,3.0,6.0,1.0,1.0,0.0,4.0,4.0
 Daniel Agyei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
 Lewis Grabban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,19.0,6.33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
 Mauro Zárate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.38,0.0,0.0,0.0,67.0,22.33,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
 Lukas Jutkiewicz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Joel Asoro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Jonathan Benteke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
 Michael Folivi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Rickie Lambert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
 Matej Vydra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
