,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
12,Simon Mignolet,Liverpool,80,GK,52,52,52,21,14,11,16,41,45,16,30,11,16,12,34,37,43,25,34,52,26,76,66,16,16,21,13,14,16,54,34,69,31,72,36.0,1.0,8.0,14.0,6.0,12.0,102.0,101.0,7.0,24.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,498.0,26.21,82.0
13,Jordan Pickford,Everton,80,GK,45,50,41,21,18,19,13,41,31,20,45,17,18,16,54,53,68,30,50,50,38,79,51,18,15,24,14,20,12,47,25,66,44,56,121.0,1.0,22.0,17.0,11.0,16.0,162.0,340.0,10.0,58.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1162.0,30.58,336.0
14,Claudio Bravo,Manchester City,80,GK,56,58,54,16,16,13,17,23,22,11,47,12,25,38,54,56,69,36,63,62,41,75,60,17,18,23,11,18,19,57,40,81,41,69,4.0,0.0,0.0,2.0,2.0,2.0,16.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,18.33,10.0
15,Orestis Karnezis,Watford,80,GK,39,44,34,17,10,16,18,21,22,14,27,19,11,11,36,22,47,25,45,49,23,76,22,18,24,23,13,15,24,48,18,64,33,66,34.0,0.0,4.0,7.0,0.0,5.0,31.0,81.0,4.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,24.87,131.0
16,Willy Caballero,Chelsea,79,GK,45,43,46,14,7,11,14,16,23,13,32,12,23,11,48,33,47,25,39,55,30,76,56,15,22,19,15,11,12,53,30,70,37,69,7.0,0.0,2.0,1.0,0.0,1.0,12.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,29.33,17.0
17,Mathew Ryan,Brighton and Hove Albion,78,GK,52,53,52,18,10,11,18,25,35,15,41,23,23,12,45,40,68,25,53,50,24,73,56,19,14,23,16,20,17,54,36,78,34,68,124.0,2.0,13.0,35.0,8.0,5.0,122.0,352.0,10.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,27.71,364.0
18,David Ospina,Arsenal,78,GK,34,34,34,17,16,10,12,26,35,12,29,11,10,13,32,36,40,26,44,50,32,70,29,15,15,25,10,13,12,34,20,75,29,38,9.0,0.0,4.0,5.0,1.0,1.0,27.0,28.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,23.4,22.0
19,Adrian,West Ham United,78,GK,45,46,44,23,12,16,20,44,40,12,22,12,12,17,32,21,32,26,53,48,23,71,36,18,15,25,14,19,14,50,38,69,38,59,69.0,0.0,6.0,9.0,2.0,15.0,47.0,184.0,6.0,29.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,520.0,27.37,174.0
20,Nick Pope,Burnley,78,GK,48,50,47,15,13,14,15,22,17,14,29,11,13,12,35,32,43,24,36,45,24,66,37,16,11,21,15,15,14,57,36,72,37,73,114.0,1.0,18.0,52.0,12.0,26.0,118.0,297.0,11.0,35.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1099.0,31.4,362.0
21,Michel Vorm,Tottenham Hotspur,78,GK,55,54,56,18,10,14,19,41,23,12,29,13,12,14,35,39,32,32,63,53,35,80,65,17,17,28,15,11,14,50,23,73,38,65,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,2.0
22,Ben Foster,West Bromwich Albion,78,GK,49,50,48,20,14,18,14,41,27,14,30,15,15,17,32,36,42,25,45,50,25,71,67,16,14,23,15,15,14,43,15,75,32,57,100.0,0.0,5.0,34.0,11.0,16.0,70.0,338.0,10.0,55.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1079.0,29.16,367.0
23,Joe Hart,West Ham United,78,GK,58,56,60,21,14,14,19,30,40,19,29,14,17,13,35,32,42,28,50,32,20,72,68,16,10,25,14,14,13,47,31,69,28,61,53.0,1.0,13.0,3.0,5.0,7.0,52.0,155.0,4.0,39.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,544.0,28.63,185.0
24,Fraser Forster,Southampton,76,GK,34,32,35,18,13,13,12,22,36,19,26,19,10,19,19,27,44,29,32,42,33,70,34,15,13,22,13,13,12,59,43,59,29,80,68.0,1.0,2.0,8.0,6.0,3.0,62.0,146.0,4.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,22.2,105.0
25,Alex McCarthy,Southampton,76,GK,57,58,56,18,16,17,14,41,20,12,31,11,15,18,35,33,50,23,35,43,17,69,63,15,16,22,13,13,12,51,35,68,35,63,42.0,0.0,11.0,18.0,2.0,2.0,56.0,158.0,4.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,406.0,22.56,106.0
26,Jonas Lossl,Huddersfield Town,75,GK,32,29,34,14,10,12,15,12,22,11,33,14,14,13,39,35,53,22,32,30,19,72,30,15,17,20,12,13,15,46,17,51,25,67,103.0,2.0,24.0,26.0,5.0,25.0,103.0,304.0,10.0,58.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1284.0,33.79,420.0
27,Martin Dubravka,Newcastle United,75,GK,43,45,41,14,10,10,17,20,22,11,37,12,15,13,43,47,52,26,40,60,28,67,36,16,12,21,16,15,14,49,26,68,40,60,26.0,1.0,6.0,12.0,1.0,7.0,32.0,93.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,26.33,72.0
28,Lee Grant,Stoke City,74,GK,49,52,46,19,14,17,19,20,24,15,37,19,17,19,40,43,50,28,56,56,34,69,59,16,14,26,12,13,19,57,42,73,39,71,8.0,0.0,0.0,1.0,2.0,1.0,14.0,23.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,26.0,27.0
29,Wayne Hennessey,Crystal Palace,73,GK,41,40,41,16,14,12,10,17,34,10,21,11,12,11,13,12,58,18,48,51,12,58,48,17,14,22,15,18,13,48,21,41,29,68,91.0,0.0,10.0,26.0,5.0,17.0,92.0,227.0,7.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,689.0,25.52,229.0
30,Boaz Myhill,West Bromwich Albion,73,GK,44,41,46,16,13,11,12,42,27,11,30,11,13,12,32,39,40,29,51,48,35,66,46,15,13,25,13,11,16,47,21,72,29,63,2.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.0,19.0,8.0
31,Karl Darlow,Newcastle United,72,GK,55,59,52,14,18,14,11,19,13,15,27,12,19,16,28,32,36,27,63,64,27,65,24,15,12,25,15,11,12,46,13,67,44,58,35.0,0.0,3.0,9.0,3.0,1.0,37.0,87.0,2.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,297.0,29.7,82.0
32,Julian Speroni,Crystal Palace,72,GK,43,42,43,14,8,13,12,22,20,12,23,13,15,12,23,24,34,21,48,55,14,70,35,13,11,17,12,12,15,38,21,74,33,43,31.0,0.0,1.0,6.0,3.0,2.0,18.0,89.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,26.73,87.0
33,Eldin Jakupovic,Leicester City,72,GK,47,46,47,15,11,12,11,22,25,22,33,11,11,14,34,39,52,21,38,45,22,59,67,15,12,24,13,12,11,51,45,66,31,62,8.0,0.0,1.0,0.0,2.0,3.0,12.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,21.5,17.0
34,Rob Elliot,Newcastle United,72,GK,48,47,48,13,12,11,12,43,11,13,26,16,16,12,31,28,35,25,54,42,22,67,38,15,13,22,15,12,15,49,12,52,32,71,44.0,1.0,9.0,13.0,4.0,10.0,46.0,159.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,30.69,167.0
35,Paulo Gazzaniga,Tottenham Hotspur,70,GK,64,63,65,22,13,12,19,41,49,8,36,21,33,21,49,32,52,28,64,49,20,59,49,17,14,16,18,20,11,54,32,66,45,67,3.0,0.0,1.0,2.0,0.0,2.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,7.0
36,Ben Hamer,Leicester City,68,GK,45,45,45,20,13,20,18,22,23,14,24,11,13,12,30,25,38,27,50,56,23,63,56,14,11,23,12,12,12,50,34,54,35,64,6.0,0.0,2.0,0.0,0.0,2.0,15.0,20.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,17.75,19.0
