name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions,clearances,headed clearance
 Xherdan Shaqiri,8.0,0.22,1.0,1.0,6.0,0.0,1.0,69.0,32.0,0.46,2.0,3.0,7.0,1055.0,29.31,14.0,201.0,5.0,0.0,28.0,15.0,25.0,17.0,16.0,4.0,2.0
 Dusan Tadic,6.0,0.17,0.0,0.0,6.0,1.0,0.0,40.0,16.0,0.4,0.0,4.0,3.0,1111.0,30.86,8.0,121.0,4.0,0.0,46.0,10.0,46.0,10.0,19.0,18.0,5.0
 Dwight Gayle,6.0,0.17,1.0,3.0,2.0,0.0,0.0,57.0,21.0,0.37,1.0,9.0,3.0,433.0,12.37,3.0,5.0,3.0,0.0,23.0,22.0,12.0,14.0,6.0,17.0,10.0
 Glenn Murray,12.0,0.34,3.0,7.0,2.0,4.0,0.0,53.0,25.0,0.47,0.0,9.0,0.0,664.0,18.97,2.0,9.0,9.0,0.0,60.0,35.0,18.0,7.0,5.0,27.0,19.0
 Marcus Rashford,7.0,0.2,2.0,5.0,0.0,0.0,0.0,61.0,21.0,0.34,2.0,3.0,5.0,576.0,16.46,7.0,81.0,3.0,0.0,21.0,9.0,14.0,23.0,8.0,14.0,8.0
 Eden Hazard,12.0,0.35,0.0,8.0,4.0,2.0,0.0,71.0,37.0,0.52,0.0,5.0,4.0,1369.0,40.26,9.0,51.0,2.0,0.0,13.0,16.0,6.0,18.0,3.0,0.0,0.0
 Romelu Lukaku,16.0,0.47,3.0,2.0,11.0,0.0,0.0,86.0,43.0,0.5,1.0,11.0,7.0,721.0,21.21,9.0,36.0,4.0,0.0,31.0,18.0,7.0,18.0,3.0,21.0,15.0
 Laurent Depoitre,6.0,0.18,2.0,3.0,1.0,0.0,0.0,25.0,12.0,0.48,1.0,3.0,1.0,482.0,14.61,1.0,3.0,1.0,0.0,28.0,6.0,14.0,6.0,11.0,35.0,24.0
 Joshua King,8.0,0.24,0.0,6.0,2.0,2.0,0.0,51.0,21.0,0.41,1.0,1.0,3.0,689.0,20.88,8.0,34.0,3.0,0.0,45.0,4.0,36.0,15.0,4.0,14.0,9.0
 Raheem Sterling,18.0,0.55,0.0,11.0,7.0,1.0,0.0,87.0,35.0,0.4,4.0,12.0,11.0,1170.0,35.45,11.0,39.0,3.0,1.0,39.0,19.0,19.0,19.0,9.0,7.0,5.0
 Dominic Calvert-Lewin,4.0,0.13,2.0,1.0,1.0,0.0,0.0,43.0,17.0,0.4,0.0,5.0,6.0,493.0,15.41,6.0,19.0,4.0,0.0,43.0,15.0,15.0,10.0,10.0,22.0,13.0
 José Izquierdo,5.0,0.16,0.0,5.0,0.0,0.0,0.0,52.0,16.0,0.31,0.0,3.0,3.0,523.0,16.34,4.0,23.0,2.0,0.0,20.0,14.0,23.0,14.0,16.0,25.0,9.0
 Alexandre Lacazette,14.0,0.44,2.0,10.0,2.0,2.0,0.0,68.0,35.0,0.51,2.0,13.0,4.0,722.0,22.56,5.0,16.0,1.0,0.0,28.0,23.0,24.0,17.0,7.0,4.0,1.0
 Leroy Sané,10.0,0.31,0.0,0.0,10.0,0.0,0.0,57.0,20.0,0.35,2.0,6.0,15.0,1091.0,34.09,13.0,93.0,4.0,0.0,24.0,7.0,27.0,18.0,13.0,6.0,1.0
 Tammy Abraham,5.0,0.16,0.0,4.0,0.0,0.0,0.0,42.0,15.0,0.36,0.0,4.0,1.0,300.0,9.68,3.0,13.0,0.0,0.0,15.0,9.0,10.0,11.0,1.0,11.0,8.0
 Marko Arnautovic,11.0,0.35,0.0,6.0,5.0,0.0,0.0,71.0,33.0,0.46,5.0,8.0,6.0,684.0,22.06,8.0,61.0,5.0,1.0,35.0,43.0,21.0,17.0,13.0,32.0,19.0
 Christian Benteke,3.0,0.1,2.0,1.0,0.0,1.0,0.0,60.0,21.0,0.35,0.0,20.0,5.0,672.0,21.68,3.0,3.0,6.0,0.0,48.0,12.0,11.0,11.0,3.0,43.0,31.0
 Peter Crouch,5.0,0.16,3.0,1.0,1.0,0.0,0.0,23.0,9.0,0.39,2.0,3.0,2.0,634.0,20.45,5.0,3.0,4.0,0.0,40.0,14.0,2.0,1.0,1.0,31.0,28.0
 Andre Gray,5.0,0.16,2.0,3.0,0.0,0.0,0.0,34.0,13.0,0.38,0.0,7.0,2.0,299.0,9.65,3.0,9.0,1.0,0.0,11.0,12.0,2.0,9.0,4.0,3.0,2.0
 Álvaro Morata,11.0,0.35,7.0,3.0,1.0,0.0,0.0,79.0,34.0,0.43,1.0,17.0,6.0,576.0,18.58,4.0,19.0,7.0,0.0,41.0,29.0,13.0,16.0,6.0,20.0,13.0
 Pedro,4.0,0.13,0.0,4.0,0.0,0.0,0.0,56.0,20.0,0.36,1.0,2.0,2.0,654.0,21.1,0.0,46.0,1.0,0.0,9.0,15.0,20.0,12.0,13.0,6.0,1.0
 Wayne Rooney,10.0,0.32,2.0,7.0,1.0,3.0,0.0,45.0,17.0,0.38,1.0,5.0,2.0,1162.0,37.48,3.0,62.0,5.0,0.0,35.0,8.0,28.0,8.0,16.0,36.0,16.0
 Alexis Sánchez,9.0,0.29,1.0,7.0,1.0,1.0,0.0,88.0,35.0,0.4,4.0,9.0,6.0,1455.0,46.94,10.0,97.0,5.0,0.0,31.0,26.0,41.0,30.0,23.0,0.0,0.0
 André Ayew,3.0,0.1,0.0,1.0,2.0,0.0,0.0,26.0,12.0,0.46,1.0,5.0,4.0,582.0,19.4,4.0,16.0,5.0,0.0,24.0,6.0,34.0,4.0,9.0,11.0,8.0
 Shane Long,2.0,0.07,0.0,1.0,1.0,0.0,0.0,33.0,13.0,0.39,0.0,5.0,1.0,395.0,13.17,2.0,21.0,6.0,0.0,34.0,14.0,25.0,6.0,12.0,29.0,26.0
 Anthony Martial,9.0,0.3,1.0,7.0,1.0,1.0,0.0,49.0,16.0,0.33,0.0,5.0,5.0,731.0,24.37,9.0,48.0,1.0,0.0,17.0,8.0,15.0,18.0,3.0,6.0,4.0
 Joselu,4.0,0.13,0.0,3.0,1.0,0.0,0.0,47.0,17.0,0.36,1.0,8.0,1.0,593.0,19.77,1.0,6.0,2.0,0.0,30.0,3.0,22.0,8.0,11.0,35.0,24.0
 Sam Vokes,4.0,0.13,2.0,2.0,0.0,0.0,0.0,33.0,8.0,0.24,1.0,3.0,1.0,265.0,8.83,2.0,1.0,3.0,0.0,20.0,12.0,3.0,5.0,3.0,14.0,13.0
 Gabriel Jesus,13.0,0.45,3.0,7.0,3.0,0.0,0.0,56.0,33.0,0.59,3.0,13.0,3.0,591.0,20.38,4.0,2.0,6.0,0.0,28.0,15.0,23.0,9.0,8.0,6.0,4.0
 Troy Deeney,5.0,0.17,0.0,5.0,0.0,3.0,0.0,36.0,15.0,0.42,0.0,5.0,2.0,542.0,18.69,4.0,7.0,1.0,1.0,24.0,16.0,15.0,9.0,5.0,20.0,14.0
 Olivier Giroud,7.0,0.24,4.0,0.0,3.0,0.0,0.0,48.0,15.0,0.31,3.0,9.0,1.0,375.0,12.93,5.0,3.0,0.0,0.0,13.0,5.0,9.0,12.0,2.0,9.0,7.0
 Sadio Mané,10.0,0.34,0.0,7.0,3.0,0.0,0.0,70.0,26.0,0.37,3.0,12.0,7.0,962.0,33.17,9.0,32.0,3.0,1.0,24.0,12.0,28.0,13.0,9.0,7.0,6.0
 Wilfried Zaha,9.0,0.31,1.0,7.0,1.0,0.0,0.0,64.0,26.0,0.41,0.0,9.0,3.0,623.0,21.48,8.0,76.0,5.0,0.0,45.0,19.0,30.0,19.0,7.0,1.0,0.0
 André Carrillo,1.0,0.04,1.0,0.0,0.0,0.0,0.0,24.0,3.0,0.13,0.0,1.0,2.0,709.0,25.32,4.0,54.0,2.0,0.0,13.0,4.0,31.0,8.0,15.0,11.0,5.0
 Manolo Gabbiadini,5.0,0.18,0.0,0.0,5.0,1.0,0.0,22.0,10.0,0.45,2.0,0.0,0.0,223.0,7.96,0.0,5.0,2.0,0.0,14.0,10.0,3.0,3.0,4.0,6.0,3.0
 Chicharito,8.0,0.29,2.0,5.0,1.0,0.0,0.0,29.0,16.0,0.55,2.0,3.0,0.0,373.0,13.32,1.0,18.0,3.0,0.0,15.0,14.0,11.0,1.0,6.0,1.0,0.0
 Steve Mounie,7.0,0.25,3.0,2.0,1.0,0.0,0.0,49.0,21.0,0.43,2.0,2.0,1.0,523.0,18.68,2.0,9.0,2.0,0.0,28.0,23.0,11.0,5.0,7.0,29.0,22.0
 Danny Welbeck,5.0,0.18,2.0,2.0,1.0,0.0,0.0,32.0,13.0,0.41,1.0,7.0,2.0,392.0,14.0,2.0,2.0,1.0,0.0,13.0,4.0,20.0,8.0,11.0,12.0,8.0
 Callum Wilson,8.0,0.29,1.0,4.0,2.0,0.0,0.0,53.0,19.0,0.36,0.0,8.0,2.0,393.0,14.04,2.0,15.0,0.0,0.0,37.0,20.0,9.0,13.0,3.0,15.0,7.0
 Shinji Okazaki,6.0,0.22,1.0,5.0,0.0,0.0,0.0,28.0,16.0,0.57,0.0,5.0,2.0,386.0,14.3,2.0,6.0,2.0,0.0,20.0,9.0,25.0,5.0,8.0,5.0,4.0
 Collin Quaner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.25,0.0,1.0,4.0,422.0,16.23,3.0,22.0,4.0,0.0,14.0,3.0,22.0,4.0,11.0,13.0,2.0
 Sergio Agüero,21.0,0.84,5.0,15.0,1.0,4.0,0.0,94.0,42.0,0.45,3.0,13.0,6.0,628.0,25.12,10.0,16.0,2.0,0.0,10.0,16.0,9.0,20.0,6.0,3.0,1.0
 Charlie Austin,7.0,0.29,3.0,4.0,0.0,1.0,0.0,48.0,25.0,0.52,2.0,9.0,0.0,244.0,10.17,1.0,2.0,2.0,0.0,16.0,14.0,7.0,8.0,1.0,10.0,4.0
 Jermain Defoe,4.0,0.17,0.0,4.0,0.0,0.0,0.0,27.0,15.0,0.56,3.0,3.0,1.0,131.0,5.46,1.0,5.0,1.0,0.0,12.0,9.0,12.0,4.0,4.0,0.0,0.0
 Chris Wood,10.0,0.42,3.0,5.0,2.0,0.0,0.0,39.0,24.0,0.62,1.0,4.0,1.0,415.0,17.29,0.0,5.0,1.0,0.0,18.0,27.0,7.0,5.0,0.0,16.0,13.0
 Lys Mousset,2.0,0.09,1.0,1.0,0.0,0.0,0.0,22.0,5.0,0.23,0.0,0.0,0.0,161.0,7.0,2.0,9.0,1.0,0.0,11.0,0.0,9.0,6.0,3.0,8.0,4.0
 Oumar Niasse,8.0,0.36,1.0,4.0,2.0,0.0,0.0,37.0,18.0,0.49,3.0,7.0,2.0,250.0,11.36,3.0,7.0,2.0,0.0,31.0,20.0,10.0,7.0,2.0,6.0,4.0
 Kelechi Iheanacho,3.0,0.14,1.0,0.0,2.0,0.0,0.0,29.0,11.0,0.38,2.0,5.0,3.0,246.0,11.71,4.0,5.0,2.0,0.0,17.0,4.0,9.0,9.0,3.0,4.0,3.0
 Hal Robson-Kanu,2.0,0.1,1.0,1.0,0.0,0.0,0.0,19.0,8.0,0.42,1.0,1.0,0.0,184.0,8.76,0.0,19.0,2.0,1.0,20.0,6.0,5.0,4.0,4.0,9.0,4.0
 Dominic Solanke,1.0,0.05,0.0,1.0,0.0,0.0,0.0,22.0,8.0,0.36,1.0,5.0,1.0,197.0,9.38,4.0,3.0,0.0,0.0,13.0,1.0,7.0,4.0,2.0,7.0,4.0
 Theo Walcott,3.0,0.15,0.0,3.0,0.0,0.0,0.0,19.0,9.0,0.47,0.0,3.0,3.0,326.0,16.3,5.0,48.0,2.0,0.0,7.0,12.0,28.0,6.0,9.0,11.0,5.0
 Elias Kachunga,1.0,0.05,0.0,1.0,0.0,0.0,0.0,12.0,5.0,0.42,0.0,1.0,1.0,339.0,17.84,0.0,24.0,1.0,0.0,20.0,5.0,30.0,3.0,2.0,7.0,3.0
 Benik Afobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.38,0.0,2.0,0.0,152.0,8.94,0.0,2.0,0.0,0.0,9.0,4.0,4.0,4.0,0.0,6.0,5.0
 Yannick Bolasie,1.0,0.06,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.37,0.0,2.0,0.0,210.0,13.13,1.0,53.0,0.0,0.0,12.0,4.0,8.0,3.0,4.0,7.0,3.0
 Andy Carroll,3.0,0.19,1.0,1.0,1.0,0.0,0.0,28.0,8.0,0.29,1.0,0.0,0.0,248.0,15.5,1.0,10.0,5.0,1.0,28.0,6.0,3.0,9.0,2.0,15.0,14.0
 Tomer Hemed,2.0,0.13,1.0,1.0,0.0,0.0,0.0,17.0,7.0,0.41,1.0,2.0,2.0,234.0,14.63,0.0,1.0,0.0,0.0,10.0,7.0,7.0,4.0,2.0,12.0,8.0
 Fernando Llorente,1.0,0.06,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.33,0.0,1.0,0.0,88.0,5.5,0.0,0.0,1.0,0.0,4.0,2.0,6.0,2.0,0.0,6.0,5.0
 Islam Slimani,1.0,0.06,0.0,1.0,0.0,0.0,0.0,7.0,4.0,0.57,0.0,2.0,1.0,157.0,9.81,0.0,7.0,1.0,0.0,3.0,4.0,2.0,0.0,1.0,3.0,2.0
 Saido Berahino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.4,0.0,3.0,1.0,95.0,6.33,1.0,4.0,0.0,0.0,6.0,4.0,2.0,2.0,1.0,2.0,0.0
 Wilfried Bony,2.0,0.13,0.0,2.0,0.0,0.0,0.0,20.0,7.0,0.35,0.0,2.0,0.0,208.0,13.87,0.0,0.0,2.0,0.0,7.0,2.0,5.0,5.0,2.0,15.0,10.0
 Stefano Okaka,1.0,0.07,1.0,0.0,0.0,0.0,0.0,10.0,3.0,0.3,1.0,2.0,1.0,154.0,10.27,0.0,1.0,2.0,0.0,21.0,4.0,6.0,2.0,0.0,0.0,0.0
 Daniel Sturridge,2.0,0.13,1.0,0.0,1.0,0.0,0.0,24.0,8.0,0.33,0.0,1.0,1.0,158.0,10.53,1.0,4.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,1.0,1.0
 Diafra Sakho,2.0,0.14,0.0,2.0,0.0,0.0,0.0,9.0,3.0,0.33,1.0,2.0,0.0,64.0,4.57,0.0,3.0,2.0,0.0,4.0,5.0,5.0,0.0,1.0,2.0,2.0
 Cenk Tosun,5.0,0.36,2.0,2.0,1.0,0.0,0.0,19.0,8.0,0.42,0.0,2.0,0.0,263.0,18.79,2.0,7.0,0.0,0.0,25.0,9.0,6.0,3.0,1.0,11.0,8.0
 Leonardo Ulloa,1.0,0.07,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.67,0.0,0.0,0.0,134.0,9.57,2.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,4.0,3.0
 Pierre-Emerick Aubameyang,10.0,0.77,0.0,7.0,3.0,1.0,0.0,31.0,19.0,0.61,0.0,6.0,4.0,317.0,24.38,1.0,16.0,0.0,0.0,1.0,10.0,5.0,7.0,3.0,7.0,2.0
 Jesé,1.0,0.08,0.0,0.0,1.0,0.0,0.0,13.0,5.0,0.38,0.0,1.0,1.0,146.0,11.23,0.0,13.0,0.0,0.0,5.0,1.0,10.0,4.0,0.0,3.0,2.0
 Michy Batshuayi,2.0,0.17,1.0,1.0,0.0,0.0,0.0,13.0,5.0,0.38,0.0,0.0,1.0,96.0,8.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,3.0,1.0,3.0,2.0
 Nikola Vlasic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.0,0.0,0.0,203.0,16.92,2.0,8.0,0.0,0.0,7.0,1.0,9.0,2.0,9.0,9.0,4.0
 Oliver McBurnie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.6,0.0,0.0,1.0,99.0,9.0,1.0,3.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,3.0,3.0
 Nahki Wells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.33,0.0,1.0,0.0,16.0,1.78,0.0,2.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0
 Danny Ings,1.0,0.13,0.0,0.0,1.0,0.0,0.0,8.0,5.0,0.63,0.0,1.0,0.0,76.0,9.5,0.0,3.0,0.0,0.0,6.0,3.0,5.0,1.0,2.0,1.0,1.0
 Sandro Ramírez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.11,0.0,0.0,0.0,82.0,10.25,0.0,6.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0
 Guido Carrillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.36,0.0,0.0,1.0,123.0,17.57,0.0,0.0,0.0,0.0,7.0,1.0,5.0,4.0,0.0,5.0,5.0
 Gerard Deulofeu,1.0,0.14,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.5,0.0,0.0,0.0,142.0,20.29,0.0,15.0,0.0,0.0,3.0,1.0,5.0,1.0,4.0,2.0,1.0
 Ademola Lookman,1.0,0.05,0.0,1.0,0.0,0.0,0.0,20.0,6.0,0.3,0.0,1.0,2.0,188.0,8.95,2.0,5.0,0.0,0.0,10.0,2.0,9.0,5.0,5.0,7.0,2.0
 Jürgen Locadia,1.0,0.07,0.0,0.0,1.0,0.0,0.0,11.0,4.0,0.36,0.0,1.0,1.0,101.0,7.21,1.0,3.0,1.0,0.0,9.0,7.0,1.0,2.0,1.0,0.0,0.0
 Joe Lolley,1.0,0.17,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,65.0,10.83,0.0,8.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,0.0
 Aleksandar Mitrovic,15.0,0.29,7.0,6.0,2.0,2.0,0.0,126.0,46.0,0.37,5.0,11.0,5.0,1088.0,20.92,2.0,10.0,8.0,2.0,69.0,30.0,31.0,29.0,11.0,56.0,45.0
 Phil Foden,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.33,0.0,1.0,1.0,112.0,10.18,2.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
 Zlatan Ibrahimovic,17.0,0.52,4.0,11.0,2.0,2.0,0.0,119.0,47.0,0.39,1.0,18.0,5.0,1117.0,33.85,8.0,20.0,7.0,0.0,55.0,39.0,12.0,34.0,10.0,23.0,18.0
 Kevin Mirallas,29.0,0.19,2.0,23.0,4.0,0.0,3.0,310.0,112.0,0.36,8.0,16.0,20.0,2877.0,19.05,22.0,545.0,15.0,2.0,118.0,59.0,114.0,105.0,49.0,35.0,14.0
 Rolando Aarons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,41.0,10.25,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0
 Tyrese Campbell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,17.0,4.25,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
 Jerome Sinclair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
 Alexander Sørloth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.43,1.0,1.0,0.0,107.0,26.75,0.0,7.0,0.0,0.0,6.0,3.0,6.0,1.0,2.0,5.0,5.0
 Nordin Amrabat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,22.0,0.0,9.0,0.0,0.0,6.0,2.0,6.0,0.0,0.0,2.0,1.0
 Jordan Hugill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
 Reiss Nelson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,79.0,26.33,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
 Eddie Nketiah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,2.33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
 Jonathan Walters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 Sam Baldock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Callum Hudson-Odoi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,16.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 Lukas Nmecha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Vincent Janssen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Bojan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
 Freddie Ladapo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Levi Lumeka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
 Dwight McNeil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Julien Ngoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
 Michael Obafemi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Divock Origi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ben Woodburn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
