,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions_y,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
10,Marcos Rojo,Manchester United,83,CB,74.0,74,74,61.0,59,52,63,64,79,49,67.0,76,67,57,73,72,57,69,71,62,71,79,0,82.0,85,80,79,83,83,84.75,89,86,81,83,8.0,13.0,29.0,0.76,0.0,3.0,33.0,143.0,83.0,0.0,98.0,94.0,65.0,10.0,46.0,28.0,0.0,0.0,0.0,951.0,45.29,0.0,10.0,0.2,0.0,67.0,5.0,0.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0
11,Gary Cahill,Chelsea,83,CB,67.5,69,66,55.0,45,56,66,53,63,47,47.5,28,48,27,61,65,56,58,62,51,63,84,0,84.2,86,83,83,85,84,76.5,78,82,68,78,15.0,29.0,53.0,0.75,0.0,4.0,46.0,167.0,107.0,2.0,136.0,168.0,103.0,4.0,91.0,56.0,1.0,2.0,0.0,1849.0,49.97,0.0,1.0,0.0,1.0,112.0,5.0,0.0,34.0,2.0,6.0,3.0,3.0,0.0,0.0
12,Joel Matip,Liverpool,83,CB,72.0,67,77,48.83333333,51,36,48,42,66,50,60.83333333,54,63,22,77,77,72,68,58,50,71,81,0,83.8,88,84,85,84,78,75.0,81,65,75,79,9.0,25.0,47.0,0.74,0.0,8.0,47.0,153.0,79.0,0.0,150.0,131.0,67.0,10.0,63.0,40.0,0.0,1.0,0.0,1699.0,58.59,0.0,5.0,0.0,1.0,94.0,3.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,3.0
13,Jose Fonte,Southampton,83,CB,54.5,55,54,35.83333333,40,40,29,43,29,34,45.5,36,33,32,54,63,55,59,62,56,64,85,0,82.6,77,85,84,85,82,77.25,84,73,69,83,11.0,42.0,47.0,0.68,0.0,4.0,70.0,187.0,94.0,1.0,154.0,144.0,86.0,5.0,79.0,45.0,0.0,1.0,0.0,1604.0,48.61,0.0,5.0,0.2,0.0,106.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Azpilicueta,Chelsea,83,CB,79.0,79,79,59.66666667,64,46,60,66,68,54,70.83333333,79,66,58,74,80,68,70,75,73,77,88,0,83.6,71,85,87,88,87,78.0,76,75,88,73,16.0,33.0,84.0,0.75,0.0,2.0,71.0,119.0,79.0,0.0,206.0,199.0,142.0,12.0,81.0,69.0,0.0,0.0,4.0,2459.0,64.71,1.0,41.0,0.17,10.0,116.0,4.0,0.0,27.0,2.0,1.0,0.0,1.0,0.0,0.0
15,Shkodran Mustafi, Arsenal,83,CB,70.0,67,73,55.16666667,50,58,52,54,66,51,58.5,51,55,47,69,77,52,51,66,69,70,81,0,83.0,80,85,82,83,85,79.5,79,85,73,81,8.0,30.0,54.0,0.78,1.0,8.0,62.0,129.0,83.0,1.0,139.0,184.0,126.0,14.0,103.0,61.0,0.0,0.0,2.0,1564.0,60.15,1.0,20.0,0.2,4.0,54.0,11.0,0.0,35.0,1.0,2.0,2.0,0.0,0.0,2.0
16,Virgil van Dijk,Southampton,82,CB,75.0,74,76,58.0,41,55,64,62,81,45,65.33333333,53,60,70,76,74,59,69,57,51,71,74,0,81.4,76,83,82,85,81,80.25,76,81,72,92,7.0,23.0,39.0,0.77,0.0,5.0,54.0,142.0,85.0,1.0,109.0,159.0,58.0,8.0,98.0,32.0,0.0,0.0,0.0,980.0,46.67,1.0,0.0,0.0,1.0,97.0,3.0,1.0,18.0,0.0,1.0,1.0,0.0,0.0,2.0
17,Per Mertesacker,Arsenal,82,CB,27.0,26,28,41.16666667,43,36,25,42,71,30,50.83333333,38,39,45,58,67,58,39,29,28,65,83,0,86.2,86,88,86,87,84,62.25,69,32,61,87,0.0,1.0,2.0,0.5,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Pablo Zabaleta,Manchester City,82,RB,67.5,67,68,60.0,71,49,57,64,66,53,68.5,75,68,66,64,72,66,73,71,66,76,86,0,83.4,76,86,86,85,84,84.0,88,84,85,79,2.0,18.0,41.0,0.63,0.0,3.0,24.0,42.0,29.0,0.0,54.0,88.0,51.0,8.0,24.0,16.0,0.0,0.0,1.0,573.0,28.65,0.0,15.0,0.13,0.0,16.0,2.0,0.0,14.0,5.0,1.0,0.0,1.0,0.0,0.0
19,Dejan Lovren,Liverpool,82,CB,59.5,61,58,40.83333333,21,33,34,52,63,42,48.83333333,59,26,18,66,68,56,64,54,41,67,75,0,82.0,77,82,80,85,86,81.0,87,82,70,85,11.0,31.0,41.0,0.76,1.0,3.0,45.0,182.0,107.0,0.0,130.0,164.0,102.0,1.0,103.0,57.0,0.0,1.0,1.0,2001.0,69.0,0.0,7.0,0.14,1.0,140.0,6.0,0.0,25.0,1.0,2.0,1.0,1.0,0.0,1.0
20,Phil Jagielka,Everton,82,CB,67.0,66,68,52.66666667,51,30,54,68,69,44,52.83333333,55,55,31,66,71,39,49,51,64,62,74,0,82.8,79,85,82,85,83,81.75,79,87,78,83,6.0,32.0,43.0,0.74,2.0,2.0,41.0,208.0,123.0,2.0,110.0,161.0,78.0,2.0,90.0,54.0,0.0,0.0,2.0,1216.0,45.04,1.0,1.0,1.0,0.0,146.0,4.0,1.0,13.0,0.0,3.0,2.0,1.0,0.0,0.0
21,Bacary Sagna,Manchester City,82,RB,75.0,75,75,58.66666667,66,40,62,59,69,56,63.66666667,80,66,47,64,66,59,74,68,76,75,80,0,82.0,79,79,84,84,84,80.5,75,84,84,79,6.0,14.0,23.0,0.61,0.0,1.0,20.0,48.0,27.0,1.0,60.0,73.0,42.0,3.0,39.0,29.0,0.0,0.0,1.0,832.0,48.94,1.0,26.0,0.12,0.0,22.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
22,Antonio Valencia,Manchester United,82,RB,85.5,87,84,67.83333333,78,58,62,55,85,69,71.83333333,85,69,66,69,75,67,82,74,87,80,84,0,76.0,64,80,77,82,77,81.0,84,68,87,85,12.0,20.0,67.0,0.63,1.0,4.0,43.0,58.0,26.0,0.0,180.0,143.0,100.0,37.0,22.0,25.0,0.0,0.0,3.0,1370.0,48.93,3.0,142.0,0.29,0.0,49.0,5.0,0.0,33.0,7.0,1.0,0.0,1.0,0.0,0.0
23,Seamus Coleman,Everton,82,RB,79.0,79,79,68.0,76,65,68,60,75,64,62.5,81,42,35,70,77,70,78,77,74,77,81,0,79.0,67,77,83,84,84,78.25,78,72,90,73,10.0,28.0,53.0,0.79,1.0,2.0,29.0,68.0,40.0,1.0,135.0,130.0,116.0,31.0,20.0,22.0,0.0,0.0,3.0,920.0,35.38,7.0,92.0,0.18,1.0,51.0,3.0,0.0,18.0,4.0,4.0,2.0,1.0,2.0,2.0
24,Mamadou Sakho,Liverpool,82,CB,61.5,55,68,34.0,32,23,38,40,51,20,55.0,60,50,30,66,75,49,50,61,55,61,72,0,79.8,71,82,79,84,83,82.25,85,82,72,90,4.0,6.0,3.0,0.67,1.0,0.0,15.0,47.0,33.0,1.0,59.0,28.0,26.0,3.0,19.0,17.0,0.0,0.0,0.0,225.0,28.13,0.0,1.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Kyle Walker,Tottenham Hotspur,82,RB,90.0,87,93,65.16666667,66,51,68,63,86,57,72.66666667,79,76,71,67,74,69,75,70,73,75,77,0,78.6,74,75,79,81,84,82.0,78,83,90,77,14.0,21.0,72.0,0.71,0.0,5.0,38.0,94.0,45.0,1.0,159.0,197.0,138.0,35.0,60.0,28.0,0.0,0.0,5.0,1464.0,44.36,4.0,96.0,0.14,1.0,111.0,8.0,0.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0
26,Daley Blind,Manchester United,81,CB,61.5,65,58,60.33333333,66,46,64,56,68,62,74.0,70,76,55,81,83,79,73,73,75,80,85,0,80.0,71,86,82,84,77,75.25,71,71,86,73,8.0,17.0,45.0,0.73,0.0,5.0,44.0,108.0,49.0,0.0,120.0,90.0,58.0,7.0,25.0,22.0,0.0,0.0,2.0,1040.0,45.22,3.0,87.0,0.28,1.0,66.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0
27,Nathaniel Clyne,Liverpool,81,RB,86.0,86,86,60.0,72,54,69,46,74,45,65.0,80,64,39,67,76,64,78,84,76,76,75,0,78.2,66,76,80,83,86,75.25,76,67,87,71,12.0,41.0,80.0,0.76,0.0,8.0,43.0,54.0,17.0,0.0,174.0,134.0,116.0,21.0,13.0,43.0,0.0,1.0,2.0,1795.0,48.51,5.0,97.0,0.19,1.0,44.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0
28,Nacho Monreal,Arsenal,81,LB,76.5,77,76,58.16666667,61,39,61,61,71,56,69.66666667,81,74,59,61,77,66,74,74,72,77,79,0,78.4,67,82,80,82,81,74.75,74,75,85,65,11.0,43.0,90.0,0.68,0.0,4.0,88.0,99.0,45.0,0.0,190.0,194.0,166.0,13.0,57.0,61.0,0.0,0.0,2.0,1753.0,48.69,3.0,63.0,0.1,1.0,38.0,5.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,1.0
29,Luke Shaw,Manchester United,81,LB,85.5,83,88,56.33333333,73,44,48,53,62,58,67.16666667,78,63,58,64,75,65,79,80,75,76,79,0,77.8,67,79,81,82,80,76.25,74,68,83,80,3.0,6.0,12.0,0.5,1.0,4.0,13.0,27.0,11.0,0.0,43.0,38.0,28.0,9.0,11.0,6.0,0.0,0.0,1.0,382.0,34.73,1.0,21.0,0.33,0.0,9.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Danny Rose,Tottenham Hotspur,81,LB,82.5,81,84,63.83333333,64,57,69,57,72,64,68.83333333,79,64,57,66,75,72,79,73,76,76,79,0,77.2,60,79,80,83,84,77.75,85,71,83,72,7.0,11.0,50.0,0.68,1.0,8.0,22.0,52.0,24.0,0.0,81.0,148.0,97.0,25.0,27.0,16.0,0.0,0.0,2.0,783.0,43.5,1.0,65.0,0.22,0.0,57.0,8.0,0.0,26.0,1.0,2.0,0.0,0.0,2.0,0.0
31,Ryan Shawcross,Stoke City,81,CB,54.0,54,54,39.83333333,31,53,28,48,44,35,45.5,33,34,24,69,63,50,42,62,57,54,73,0,82.2,84,82,82,83,80,81.0,85,72,79,88,9.0,53.0,46.0,0.74,0.0,5.0,58.0,227.0,132.0,1.0,119.0,199.0,124.0,10.0,129.0,73.0,2.0,2.0,1.0,996.0,28.46,0.0,1.0,1.0,0.0,94.0,6.0,0.0,34.0,2.0,1.0,0.0,0.0,1.0,1.0
32,Phil Jones,Manchester United,80,CB,61.5,55,68,55.66666667,42,50,59,55,68,60,56.33333333,64,38,35,67,75,59,60,43,62,69,78,0,79.8,75,79,81,82,82,82.0,85,83,80,80,5.0,49.0,55.0,0.71,0.0,3.0,46.0,94.0,64.0,0.0,83.0,172.0,140.0,10.0,95.0,64.0,0.0,0.0,0.0,701.0,25.96,2.0,42.0,0.24,0.0,33.0,8.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0
33,Phil Jones,Manchester United,80,CB,61.5,55,68,55.66666667,42,50,59,55,68,60,56.33333333,64,38,35,67,75,59,60,43,62,69,78,0,79.8,75,79,81,82,82,82.0,85,83,80,80,5.0,14.0,34.0,0.71,1.0,2.0,27.0,138.0,88.0,1.0,99.0,92.0,40.0,5.0,46.0,21.0,0.0,0.0,0.0,791.0,43.94,1.0,1.0,0.0,0.0,44.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Branislav Ivanovic,Chelsea,80,RB,64.5,63,66,59.83333333,61,57,62,58,73,48,61.83333333,72,70,48,56,68,57,58,57,47,66,83,0,84.6,87,82,87,84,83,84.0,90,83,78,85,1.0,9.0,11.0,1.0,0.0,2.0,11.0,24.0,14.0,0.0,31.0,44.0,26.0,6.0,19.0,12.0,0.0,0.0,0.0,329.0,25.31,0.0,23.0,0.13,1.0,27.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
35,Gael Clichy,Manchester City,80,LB,82.5,80,85,49.83333333,66,34,43,45,52,59,62.16666667,79,64,38,69,64,59,71,77,75,76,72,0,78.6,70,77,80,81,85,68.25,55,70,82,66,8.0,24.0,44.0,0.73,0.0,0.0,53.0,86.0,43.0,0.0,132.0,91.0,85.0,9.0,30.0,40.0,0.0,0.0,0.0,1454.0,58.16,1.0,26.0,0.27,3.0,44.0,2.0,0.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0
36,Angelo Ogbonna,West Ham United,80,CB,71.5,70,73,40.16666667,30,25,46,39,71,30,53.83333333,51,51,36,67,68,50,61,60,54,59,64,0,82.0,78,84,81,84,83,74.5,70,74,70,84,4.0,31.0,27.0,0.81,0.0,2.0,37.0,96.0,55.0,0.0,91.0,79.0,39.0,4.0,44.0,18.0,0.0,1.0,0.0,805.0,40.25,0.0,4.0,0.25,0.0,51.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Hector Bellerin,Arsenal,80,RB,95.0,96,94,52.83333333,67,52,43,62,52,41,63.83333333,74,63,50,59,74,63,76,84,77,76,76,0,73.8,60,76,76,77,80,70.5,72,65,84,61,10.0,34.0,24.0,0.79,1.0,6.0,36.0,46.0,24.0,0.0,146.0,113.0,133.0,45.0,31.0,43.0,0.0,0.0,4.0,1392.0,42.18,3.0,69.0,0.16,8.0,21.0,4.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0
38,Matteo Darmian,Manchester United,80,RB,80.0,80,80,58.0,64,55,56,45,69,59,63.5,73,69,35,66,75,63,74,80,78,75,78,0,79.2,70,79,81,84,82,75.5,78,72,87,65,8.0,8.0,42.0,0.64,0.0,0.0,39.0,71.0,26.0,0.0,71.0,86.0,71.0,3.0,25.0,14.0,0.0,0.0,0.0,595.0,33.06,1.0,19.0,0.21,0.0,20.0,3.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
39,Winston Reid,West Ham United,80,CB,72.5,71,74,49.66666667,42,46,53,55,72,30,44.5,28,33,38,62,62,44,43,57,43,57,79,0,81.4,83,80,81,81,82,78.75,84,74,76,81,9.0,48.0,32.0,0.84,0.0,2.0,82.0,244.0,140.0,1.0,164.0,132.0,84.0,10.0,55.0,38.0,0.0,0.0,2.0,983.0,32.77,1.0,3.0,0.33,1.0,106.0,8.0,1.0,31.0,1.0,2.0,1.0,0.0,1.0,0.0
40,Kurt Zouma,Chelsea,80,CB,73.0,69,77,52.16666667,53,47,49,61,56,47,58.0,54,59,60,56,62,57,48,48,52,67,75,0,79.6,77,78,80,83,80,80.75,82,84,72,85,0.0,8.0,8.0,0.63,0.0,0.0,5.0,11.0,7.0,0.0,15.0,20.0,5.0,5.0,5.0,2.0,0.0,1.0,1.0,128.0,14.22,1.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Ragnar Klavan,Liverpool,79,CB,64.0,63,65,46.16666667,38,38,56,44,67,34,56.5,52,48,34,73,72,60,56,61,56,70,75,0,78.4,78,75,80,82,77,77.5,77,78,75,80,3.0,19.0,25.0,0.72,0.0,1.0,14.0,92.0,47.0,0.0,86.0,76.0,57.0,6.0,38.0,33.0,0.0,1.0,0.0,938.0,46.9,0.0,1.0,1.0,1.0,50.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ryan Bertrand,Southampton,79,LB,80.0,81,79,50.83333333,62,35,54,52,59,43,69.83333333,79,74,69,70,76,51,74,76,71,76,76,0,77.6,69,77,79,81,82,73.5,73,71,79,71,12.0,36.0,37.0,0.62,0.0,6.0,45.0,46.0,30.0,0.0,140.0,126.0,119.0,14.0,42.0,44.0,0.0,0.0,4.0,1307.0,46.68,3.0,99.0,0.15,2.0,35.0,3.0,0.0,24.0,2.0,2.0,1.0,0.0,1.0,0.0
43,Gabriel,Arsenal,79,CB,70.0,68,72,53.16666667,51,51,57,51,61,48,61.16666667,67,55,46,69,69,61,60,69,71,65,78,0,79.8,77,79,80,83,80,76.0,78,75,74,77,5.0,18.0,25.0,0.64,0.0,1.0,30.0,85.0,48.0,0.0,104.0,90.0,78.0,9.0,49.0,39.0,0.0,0.0,0.0,872.0,45.89,0.0,8.0,0.25,0.0,24.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Scott Dann,Crystal Palace,79,CB,51.5,49,54,36.5,36,40,32,30,52,29,45.33333333,30,30,29,65,63,55,38,50,56,66,77,0,80.6,85,80,80,80,78,75.25,73,72,74,82,2.0,36.0,17.0,0.59,0.0,3.0,32.0,102.0,62.0,1.0,93.0,99.0,76.0,2.0,68.0,52.0,0.0,0.0,1.0,608.0,26.43,1.0,3.0,0.33,0.0,63.0,2.0,0.0,14.0,0.0,3.0,2.0,1.0,0.0,0.0
45,Aleksandar Kolarov,Manchester City,79,LB,67.5,69,66,72.16666667,69,55,80,74,91,64,79.83333333,90,85,81,77,70,76,78,64,58,74,79,0,79.0,75,80,75,83,82,79.25,84,78,77,78,8.0,27.0,47.0,0.7,0.0,7.0,46.0,155.0,101.0,0.0,166.0,188.0,102.0,22.0,84.0,41.0,1.0,0.0,1.0,1859.0,64.1,1.0,27.0,0.44,6.0,121.0,6.0,0.0,34.0,0.0,1.0,0.0,0.0,1.0,0.0
46,Mathieu Debuchy,Arsenal,79,RB,74.0,76,72,65.5,64,59,68,66,74,62,71.0,79,74,61,73,75,64,72,77,74,74,72,0,76.8,74,75,78,79,78,79.0,80,81,84,71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Kieran Gibbs,Arsenal,79,LB,81.0,79,83,59.83333333,65,47,65,63,72,47,66.66666667,76,64,52,65,74,69,74,73,74,75,81,0,76.8,68,79,78,79,80,72.0,72,70,77,69,3.0,3.0,12.0,0.58,0.0,1.0,10.0,34.0,25.0,0.0,43.0,47.0,59.0,14.0,20.0,25.0,0.0,0.0,1.0,372.0,33.82,0.0,31.0,0.26,0.0,8.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0
48,Marcos Alonso,Chelsea,79,LWB,79.0,76,82,65.66666667,70,60,74,64,76,50,70.5,78,63,71,72,74,65,78,69,58,78,82,0,73.4,70,70,74,77,76,76.5,70,68,90,78,15.0,19.0,56.0,0.68,0.0,10.0,44.0,76.0,39.0,0.0,146.0,170.0,132.0,21.0,73.0,41.0,0.0,0.0,3.0,1250.0,40.32,4.0,102.0,0.17,2.0,52.0,2.0,0.0,25.0,3.0,6.0,1.0,1.0,4.0,4.0
49,Federico Fernandez,Swansea City,79,CB,53.5,54,53,30.16666667,36,26,29,42,27,21,47.33333333,23,49,42,56,70,44,39,48,48,66,72,0,80.2,80,82,82,79,78,75.25,78,76,68,79,6.0,41.0,44.0,0.73,0.0,3.0,50.0,187.0,117.0,0.0,112.0,132.0,91.0,3.0,69.0,36.0,0.0,1.0,2.0,1133.0,41.96,1.0,5.0,0.2,0.0,99.0,7.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Jonny Evans,West Bromwich Albion,79,CB,68.0,69,67,35.5,28,28,25,44,42,46,48.0,52,32,25,62,72,45,39,50,57,68,78,0,80.6,81,81,78,81,82,75.0,78,80,69,73,4.0,39.0,42.0,0.6,0.0,2.0,74.0,151.0,89.0,0.0,201.0,136.0,87.0,23.0,45.0,29.0,0.0,1.0,1.0,942.0,30.39,0.0,9.0,0.22,0.0,79.0,8.0,0.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0
51,John Stones,Manchester City,78,CB,75.0,75,75,37.5,48,29,38,37,46,27,54.0,62,26,29,68,80,59,68,64,57,79,76,0,78.0,74,76,79,80,81,74.0,70,72,76,78,4.0,29.0,26.0,0.81,0.0,2.0,39.0,115.0,59.0,1.0,114.0,105.0,46.0,21.0,49.0,27.0,0.0,3.0,0.0,1464.0,54.22,0.0,0.0,0.0,0.0,60.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Robert Huth,Leicester City,78,CB,40.5,32,49,53.16666667,34,46,54,54,75,56,46.66666667,31,30,59,67,61,32,31,26,42,53,75,0,78.2,83,76,78,77,77,77.75,91,51,76,93,9.0,49.0,28.0,0.79,1.0,10.0,45.0,220.0,112.0,0.0,138.0,135.0,124.0,0.0,94.0,80.0,2.0,0.0,2.0,701.0,21.24,3.0,0.0,0.0,0.0,33.0,9.0,0.0,45.0,0.0,2.0,2.0,0.0,0.0,1.0
53,Bruno Martins Indi,Stoke City,78,CB,60.5,58,63,41.66666667,42,40,40,38,56,34,52.0,71,30,38,69,69,35,53,53,64,64,70,0,77.4,73,76,78,82,78,75.5,86,58,73,85,10.0,50.0,61.0,0.72,1.0,5.0,58.0,210.0,104.0,0.0,173.0,135.0,105.0,7.0,58.0,64.0,0.0,0.0,0.0,1115.0,31.86,0.0,3.0,0.0,0.0,69.0,5.0,0.0,25.0,2.0,1.0,0.0,0.0,1.0,1.0
