name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
 Fernandinho,1.0,0.08,0.0,1.0,0.0,0.0,0.0,16.0,5.0,0.31,0.0,1.0,2.0,848.0,70.67,1.0,1.0,0.0,2.0,26.0,2.0,0.0,20.0,0.0,19.0,0.79,3.0,19.0,30.0,21.0,71.0,66.0,65.0,9.0,29.0,29.0,0.0
 Solly March,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,3.0,249.0,20.75,4.0,37.0,0.27,0.0,8.0,0.0,0.0,11.0,3.0,15.0,0.47,6.0,8.0,10.0,3.0,51.0,35.0,54.0,5.0,6.0,16.0,0.0
 James McArthur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.22,1.0,1.0,1.0,454.0,37.83,1.0,2.0,0.5,2.0,27.0,2.0,0.0,22.0,1.0,25.0,0.76,2.0,10.0,6.0,0.0,60.0,51.0,67.0,4.0,14.0,9.0,0.0
 Luka Milivojevic,2.0,0.17,0.0,2.0,0.0,2.0,0.0,17.0,9.0,0.53,1.0,1.0,0.0,652.0,54.33,2.0,58.0,0.28,2.0,48.0,2.0,0.0,23.0,0.0,36.0,0.78,5.0,24.0,19.0,10.0,72.0,66.0,60.0,5.0,14.0,11.0,0.0
 James Milner,2.0,0.17,0.0,2.0,0.0,1.0,0.0,7.0,3.0,0.43,0.0,0.0,2.0,622.0,51.83,3.0,45.0,0.31,4.0,33.0,2.0,0.0,13.0,0.0,22.0,0.64,4.0,14.0,11.0,7.0,63.0,49.0,40.0,3.0,13.0,9.0,0.0
 Wilfred Ndidi,1.0,0.08,0.0,1.0,0.0,0.0,0.0,23.0,5.0,0.22,1.0,2.0,0.0,684.0,57.0,2.0,2.0,0.0,2.0,41.0,2.0,0.0,18.0,0.0,36.0,0.75,5.0,22.0,30.0,20.0,88.0,100.0,84.0,8.0,48.0,38.0,0.0
 Felipe Anderson,4.0,0.33,0.0,2.0,2.0,0.0,0.0,17.0,9.0,0.53,1.0,1.0,1.0,526.0,43.83,2.0,47.0,0.32,7.0,23.0,3.0,0.0,11.0,2.0,33.0,0.45,4.0,14.0,4.0,1.0,77.0,80.0,80.0,20.0,6.0,14.0,0.0
 Roberto Pereyra,5.0,0.42,0.0,4.0,1.0,0.0,0.0,22.0,9.0,0.41,1.0,1.0,0.0,394.0,32.83,3.0,16.0,0.19,2.0,17.0,1.0,0.0,8.0,3.0,4.0,0.5,4.0,9.0,2.0,2.0,76.0,40.0,63.0,17.0,0.0,6.0,1.0
 Aaron Ramsey,1.0,0.08,0.0,0.0,1.0,0.0,0.0,10.0,8.0,0.8,0.0,0.0,4.0,309.0,25.75,1.0,7.0,0.43,3.0,9.0,0.0,0.0,9.0,3.0,10.0,0.6,1.0,4.0,1.0,0.0,31.0,28.0,46.0,7.0,6.0,12.0,0.0
 Nathan Redmond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.16,1.0,0.0,0.0,386.0,32.17,2.0,43.0,0.19,2.0,21.0,0.0,0.0,5.0,3.0,12.0,0.5,13.0,5.0,10.0,3.0,57.0,62.0,68.0,29.0,11.0,12.0,0.0
 Lucas Moura,4.0,0.33,1.0,2.0,1.0,0.0,0.0,17.0,7.0,0.41,1.0,6.0,0.0,340.0,28.33,0.0,9.0,0.11,3.0,5.0,2.0,0.0,17.0,7.0,20.0,0.45,3.0,12.0,15.0,13.0,41.0,74.0,103.0,19.0,16.0,30.0,0.0
 João Moutinho,1.0,0.08,0.0,0.0,1.0,0.0,0.0,11.0,2.0,0.18,1.0,0.0,1.0,662.0,55.17,3.0,78.0,0.28,1.0,49.0,1.0,0.0,20.0,0.0,40.0,0.43,2.0,14.0,14.0,3.0,84.0,59.0,78.0,4.0,6.0,15.0,0.0
 André Schürrle,4.0,0.33,0.0,4.0,0.0,0.0,0.0,37.0,13.0,0.35,1.0,0.0,0.0,309.0,25.75,3.0,18.0,0.17,2.0,11.0,2.0,0.0,11.0,8.0,15.0,0.67,12.0,3.0,5.0,3.0,46.0,45.0,64.0,9.0,7.0,8.0,0.0
 Jean Michael Seri,1.0,0.08,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.4,0.0,0.0,2.0,712.0,59.33,3.0,38.0,0.37,1.0,40.0,0.0,0.0,9.0,1.0,20.0,0.8,2.0,13.0,6.0,3.0,66.0,43.0,43.0,5.0,6.0,8.0,1.0
 Ryan Sessegnon,1.0,0.08,0.0,0.0,1.0,0.0,0.0,11.0,6.0,0.55,1.0,5.0,1.0,314.0,26.17,2.0,23.0,0.13,2.0,7.0,0.0,0.0,5.0,5.0,12.0,0.58,1.0,7.0,20.0,6.0,54.0,42.0,47.0,13.0,7.0,13.0,0.0
 Gylfi Sigurdsson,5.0,0.42,1.0,3.0,1.0,1.0,0.0,29.0,10.0,0.34,1.0,3.0,2.0,276.0,23.0,5.0,77.0,0.3,7.0,8.0,1.0,0.0,12.0,2.0,18.0,0.61,11.0,14.0,4.0,2.0,52.0,52.0,53.0,11.0,4.0,12.0,0.0
 Robert Snodgrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.2,0.0,1.0,0.0,273.0,22.75,1.0,45.0,0.27,2.0,6.0,5.0,0.0,12.0,2.0,13.0,0.38,5.0,5.0,10.0,5.0,38.0,46.0,57.0,10.0,6.0,15.0,0.0
 Hélder Costa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,0.28,0.0,2.0,0.0,295.0,24.58,1.0,29.0,0.03,2.0,7.0,1.0,0.0,13.0,5.0,11.0,0.82,6.0,6.0,3.0,2.0,47.0,54.0,90.0,19.0,8.0,18.0,0.0
 Lucas Torreira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.33,0.0,0.0,1.0,628.0,52.33,0.0,5.0,0.2,0.0,26.0,2.0,0.0,14.0,0.0,22.0,0.55,1.0,20.0,12.0,3.0,79.0,60.0,31.0,5.0,6.0,6.0,0.0
 Andros Townsend,1.0,0.08,0.0,1.0,0.0,0.0,0.0,20.0,8.0,0.4,1.0,1.0,0.0,360.0,30.0,1.0,59.0,0.25,0.0,8.0,1.0,0.0,4.0,4.0,21.0,0.52,5.0,14.0,6.0,2.0,65.0,54.0,63.0,15.0,1.0,9.0,0.0
 Bernardo Silva,3.0,0.25,1.0,0.0,2.0,0.0,0.0,20.0,6.0,0.3,0.0,2.0,3.0,570.0,47.5,5.0,21.0,0.24,6.0,29.0,2.0,0.0,10.0,0.0,16.0,0.81,9.0,3.0,11.0,2.0,49.0,48.0,47.0,18.0,1.0,6.0,0.0
 Georginio Wijnaldum,1.0,0.08,1.0,0.0,0.0,0.0,0.0,12.0,3.0,0.25,0.0,1.0,0.0,653.0,54.42,0.0,2.0,0.0,1.0,32.0,1.0,0.0,10.0,1.0,11.0,0.55,4.0,6.0,7.0,4.0,66.0,34.0,42.0,4.0,8.0,11.0,0.0
 Granit Xhaka,2.0,0.17,0.0,0.0,2.0,0.0,2.0,13.0,6.0,0.46,0.0,0.0,1.0,966.0,80.5,0.0,47.0,0.19,3.0,70.0,4.0,0.0,20.0,0.0,23.0,0.57,2.0,14.0,19.0,8.0,80.0,69.0,68.0,3.0,23.0,17.0,1.0
 Marc Albrighton,1.0,0.09,1.0,0.0,0.0,0.0,0.0,12.0,4.0,0.33,0.0,0.0,1.0,200.0,18.18,3.0,59.0,0.19,0.0,18.0,1.0,0.0,4.0,0.0,8.0,0.38,5.0,3.0,3.0,3.0,35.0,25.0,25.0,7.0,6.0,7.0,0.0
 Michail Antonio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.33,0.0,1.0,1.0,90.0,8.18,2.0,10.0,0.2,2.0,3.0,1.0,0.0,6.0,1.0,5.0,0.8,5.0,1.0,3.0,1.0,16.0,46.0,51.0,11.0,20.0,26.0,0.0
 Ross Barkley,3.0,0.27,0.0,2.0,1.0,0.0,0.0,15.0,5.0,0.33,0.0,0.0,3.0,399.0,36.27,2.0,4.0,0.0,1.0,17.0,0.0,0.0,8.0,0.0,6.0,0.5,5.0,2.0,3.0,0.0,31.0,25.0,29.0,4.0,5.0,0.0,0.0
 Johann Gudmundsson,2.0,0.18,1.0,0.0,1.0,0.0,0.0,16.0,5.0,0.31,1.0,0.0,4.0,221.0,20.09,1.0,60.0,0.28,0.0,11.0,2.0,0.0,5.0,0.0,8.0,0.5,5.0,20.0,18.0,7.0,57.0,40.0,64.0,6.0,16.0,20.0,0.0
 Yves Bissouma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,172.0,15.64,0.0,4.0,0.25,0.0,9.0,2.0,0.0,12.0,1.0,13.0,0.46,1.0,12.0,6.0,3.0,26.0,34.0,49.0,10.0,4.0,11.0,1.0
 David Brooks,3.0,0.27,0.0,0.0,3.0,0.0,0.0,22.0,9.0,0.41,0.0,3.0,0.0,297.0,27.0,2.0,14.0,0.14,8.0,3.0,1.0,0.0,9.0,0.0,13.0,0.85,6.0,4.0,7.0,0.0,40.0,45.0,56.0,6.0,5.0,17.0,0.0
 Víctor Camarasa,1.0,0.09,0.0,1.0,0.0,0.0,0.0,16.0,3.0,0.19,1.0,0.0,1.0,302.0,27.45,2.0,45.0,0.38,3.0,18.0,2.0,0.0,11.0,1.0,13.0,0.38,7.0,13.0,8.0,2.0,55.0,45.0,55.0,10.0,12.0,10.0,0.0
 Etienne Capoue,1.0,0.09,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.22,0.0,0.0,2.0,549.0,49.91,1.0,2.0,0.0,0.0,48.0,5.0,0.0,17.0,0.0,33.0,0.64,2.0,33.0,22.0,12.0,94.0,77.0,66.0,7.0,23.0,26.0,0.0
 Jack Cork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,414.0,37.64,0.0,7.0,0.0,0.0,24.0,3.0,0.0,11.0,2.0,9.0,0.67,2.0,5.0,25.0,10.0,57.0,38.0,49.0,6.0,12.0,23.0,0.0
 Dan Gosling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.14,0.0,1.0,0.0,335.0,30.45,1.0,5.0,0.2,3.0,18.0,3.0,0.0,10.0,1.0,17.0,0.47,1.0,6.0,21.0,11.0,42.0,45.0,37.0,5.0,15.0,12.0,0.0
 Idrissa Gueye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,1.0,0.0,0.0,586.0,53.27,0.0,1.0,0.0,1.0,35.0,3.0,0.0,19.0,0.0,57.0,0.61,1.0,28.0,16.0,6.0,84.0,90.0,46.0,7.0,10.0,8.0,0.0
 Anthony Knockaert,1.0,0.09,0.0,0.0,1.0,0.0,0.0,15.0,6.0,0.4,0.0,1.0,3.0,258.0,23.45,3.0,29.0,0.41,0.0,15.0,3.0,0.0,8.0,0.0,19.0,0.58,5.0,14.0,4.0,1.0,61.0,55.0,47.0,19.0,7.0,2.0,0.0
 Aaron Lennon,1.0,0.09,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.5,0.0,1.0,1.0,199.0,18.09,0.0,17.0,0.12,1.0,4.0,1.0,0.0,9.0,0.0,18.0,0.5,1.0,8.0,11.0,2.0,32.0,38.0,41.0,6.0,1.0,10.0,0.0
 James Maddison,3.0,0.27,0.0,3.0,0.0,1.0,1.0,23.0,8.0,0.35,1.0,1.0,2.0,469.0,42.64,6.0,58.0,0.31,4.0,27.0,0.0,0.0,7.0,2.0,13.0,0.54,9.0,5.0,3.0,2.0,43.0,60.0,42.0,13.0,5.0,13.0,0.0
 Riyad Mahrez,4.0,0.36,0.0,0.0,4.0,0.0,0.0,24.0,11.0,0.46,1.0,1.0,1.0,366.0,33.27,3.0,32.0,0.19,5.0,21.0,0.0,0.0,6.0,5.0,7.0,0.43,5.0,5.0,1.0,0.0,42.0,32.0,31.0,12.0,6.0,6.0,0.0
 Aaron Mooy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,0.26,1.0,0.0,0.0,544.0,49.45,1.0,59.0,0.27,2.0,30.0,1.0,0.0,9.0,0.0,26.0,0.85,5.0,8.0,6.0,3.0,90.0,46.0,51.0,6.0,10.0,8.0,0.0
 Kenedy,1.0,0.09,0.0,0.0,1.0,0.0,0.0,21.0,5.0,0.24,1.0,3.0,1.0,267.0,24.27,1.0,13.0,0.31,0.0,9.0,0.0,0.0,13.0,3.0,21.0,0.76,9.0,24.0,7.0,1.0,63.0,62.0,70.0,21.0,5.0,9.0,0.0
 Paul Pogba,3.0,0.27,0.0,3.0,0.0,2.0,0.0,36.0,20.0,0.56,0.0,4.0,3.0,700.0,63.64,2.0,15.0,0.13,3.0,76.0,1.0,0.0,21.0,1.0,11.0,0.55,8.0,2.0,17.0,12.0,67.0,75.0,86.0,21.0,19.0,14.0,0.0
 Bobby Reid,1.0,0.09,0.0,1.0,0.0,0.0,0.0,12.0,4.0,0.33,0.0,0.0,1.0,135.0,12.27,0.0,5.0,0.4,0.0,2.0,0.0,0.0,3.0,4.0,4.0,0.75,3.0,1.0,4.0,1.0,26.0,33.0,40.0,9.0,6.0,13.0,0.0
 Matt Ritchie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.21,0.0,0.0,1.0,274.0,24.91,2.0,63.0,0.19,3.0,16.0,3.0,0.0,20.0,1.0,21.0,0.62,4.0,13.0,12.0,6.0,57.0,53.0,60.0,4.0,12.0,22.0,0.0
 Diogo Jota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.25,0.0,1.0,0.0,251.0,22.82,3.0,9.0,0.33,1.0,6.0,3.0,0.0,16.0,0.0,8.0,0.88,4.0,4.0,6.0,6.0,51.0,50.0,87.0,13.0,13.0,22.0,0.0
 Aaron Wan-Bissaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,380.0,34.55,2.0,20.0,0.2,1.0,7.0,1.0,1.0,5.0,1.0,45.0,0.69,1.0,31.0,37.0,18.0,59.0,97.0,43.0,26.0,18.0,10.0,0.0
 Ashley Westwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,379.0,34.45,1.0,6.0,1.0,2.0,29.0,2.0,0.0,6.0,0.0,18.0,0.5,5.0,14.0,15.0,6.0,56.0,30.0,29.0,2.0,4.0,9.0,0.0
 Lewis Cook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,316.0,31.6,0.0,9.0,0.0,0.0,16.0,1.0,0.0,7.0,0.0,8.0,0.63,3.0,5.0,6.0,1.0,49.0,27.0,33.0,9.0,5.0,6.0,0.0
 Mousa Dembélé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,308.0,30.8,0.0,0.0,0.0,0.0,4.0,1.0,0.0,12.0,0.0,13.0,0.69,0.0,7.0,5.0,3.0,44.0,29.0,29.0,7.0,6.0,7.0,0.0
 Jordan Henderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,43.9,0.0,4.0,0.25,1.0,26.0,0.0,0.0,5.0,0.0,13.0,0.92,0.0,4.0,6.0,4.0,44.0,18.0,14.0,2.0,2.0,4.0,0.0
 Cheikhou Kouyaté,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.75,1.0,1.0,0.0,210.0,21.0,0.0,3.0,0.0,1.0,9.0,2.0,0.0,14.0,1.0,16.0,0.44,0.0,5.0,10.0,8.0,27.0,51.0,40.0,4.0,24.0,8.0,0.0
 Mateo Kovacic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.2,0.0,1.0,1.0,568.0,56.8,0.0,2.0,0.0,4.0,7.0,1.0,0.0,7.0,0.0,15.0,0.67,9.0,2.0,7.0,4.0,42.0,44.0,33.0,11.0,4.0,1.0,0.0
 Nampalys Mendy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,538.0,53.8,0.0,2.0,0.5,1.0,18.0,1.0,0.0,9.0,0.0,16.0,0.56,1.0,10.0,9.0,2.0,54.0,40.0,27.0,3.0,4.0,6.0,0.0
 Josh Murphy,2.0,0.2,0.0,2.0,0.0,0.0,0.0,23.0,6.0,0.26,1.0,2.0,0.0,122.0,12.2,1.0,29.0,0.14,1.0,3.0,0.0,0.0,6.0,3.0,6.0,0.67,4.0,5.0,1.0,0.0,30.0,50.0,60.0,14.0,7.0,16.0,0.0
 Mesut Özil,3.0,0.3,0.0,0.0,3.0,0.0,0.0,5.0,3.0,0.6,0.0,0.0,1.0,477.0,47.7,2.0,9.0,0.67,6.0,13.0,1.0,0.0,4.0,4.0,8.0,0.25,1.0,1.0,2.0,1.0,36.0,33.0,29.0,10.0,3.0,5.0,0.0
 David Silva,4.0,0.4,0.0,2.0,2.0,0.0,1.0,23.0,10.0,0.43,0.0,2.0,2.0,693.0,69.3,7.0,30.0,0.37,2.0,9.0,1.0,0.0,9.0,1.0,8.0,0.63,10.0,9.0,3.0,0.0,45.0,37.0,29.0,14.0,4.0,3.0,0.0
 Dale Stephens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,369.0,36.9,0.0,0.0,0.0,0.0,28.0,3.0,1.0,17.0,0.0,27.0,0.74,0.0,13.0,11.0,9.0,61.0,46.0,47.0,3.0,11.0,11.0,0.0
 Harry Winks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,347.0,34.7,0.0,2.0,0.5,1.0,16.0,3.0,0.0,9.0,1.0,3.0,1.0,0.0,1.0,5.0,1.0,33.0,18.0,31.0,7.0,1.0,4.0,0.0
 André-Frank Zambo Anguissa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.25,0.0,0.0,0.0,327.0,32.7,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,1.0,18.0,0.56,3.0,12.0,11.0,6.0,33.0,46.0,46.0,11.0,11.0,10.0,0.0
 Daniel Amartey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,0.0,1.0,0.0,371.0,41.22,0.0,3.0,0.0,0.0,20.0,2.0,0.0,6.0,1.0,18.0,0.67,0.0,16.0,25.0,17.0,58.0,35.0,25.0,2.0,14.0,9.0,0.0
 Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,168.0,18.67,2.0,8.0,0.25,0.0,2.0,2.0,0.0,7.0,0.0,9.0,0.56,0.0,7.0,2.0,0.0,38.0,31.0,29.0,11.0,0.0,2.0,0.0
 Harry Arter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.33,0.0,0.0,0.0,261.0,29.0,0.0,4.0,0.0,0.0,19.0,5.0,0.0,9.0,1.0,23.0,0.65,1.0,9.0,7.0,2.0,48.0,35.0,22.0,3.0,4.0,3.0,0.0
 Eric Dier,1.0,0.11,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,508.0,56.44,2.0,5.0,0.2,3.0,24.0,1.0,0.0,13.0,0.0,17.0,0.59,1.0,10.0,19.0,11.0,36.0,36.0,53.0,1.0,13.0,19.0,0.0
 Christian Eriksen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.33,0.0,0.0,2.0,371.0,41.22,0.0,24.0,0.25,3.0,16.0,0.0,0.0,4.0,1.0,9.0,0.89,3.0,6.0,2.0,0.0,36.0,18.0,38.0,1.0,3.0,8.0,0.0
 Marouane Fellaini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.75,0.0,1.0,1.0,331.0,36.78,0.0,6.0,0.17,0.0,2.0,0.0,0.0,8.0,1.0,13.0,0.69,1.0,4.0,28.0,17.0,42.0,56.0,40.0,0.0,38.0,20.0,0.0
 Rachid Ghezzal,1.0,0.11,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.14,1.0,1.0,0.0,210.0,23.33,3.0,28.0,0.32,4.0,9.0,2.0,0.0,8.0,0.0,5.0,0.2,4.0,1.0,2.0,2.0,23.0,25.0,31.0,10.0,6.0,1.0,0.0
 Demarai Gray,2.0,0.22,0.0,1.0,1.0,0.0,0.0,14.0,6.0,0.43,0.0,1.0,1.0,233.0,25.89,0.0,12.0,0.0,1.0,4.0,1.0,0.0,6.0,1.0,10.0,0.4,2.0,3.0,7.0,0.0,32.0,38.0,40.0,17.0,4.0,11.0,0.0
 Matteo Guendouzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.33,0.0,0.0,0.0,405.0,45.0,0.0,3.0,0.0,2.0,32.0,2.0,0.0,6.0,0.0,21.0,0.57,1.0,13.0,3.0,2.0,41.0,45.0,22.0,4.0,5.0,4.0,0.0
 Jeff Hendrick,1.0,0.11,0.0,0.0,1.0,0.0,0.0,8.0,3.0,0.38,0.0,1.0,0.0,234.0,26.0,0.0,10.0,0.1,1.0,6.0,2.0,0.0,3.0,4.0,1.0,0.0,4.0,3.0,7.0,3.0,24.0,13.0,31.0,6.0,4.0,10.0,0.0
 Pierre-Emile Højbjerg,2.0,0.22,0.0,1.0,1.0,0.0,0.0,13.0,5.0,0.38,0.0,0.0,0.0,613.0,68.11,2.0,7.0,0.29,0.0,44.0,2.0,1.0,16.0,0.0,24.0,0.71,4.0,21.0,9.0,4.0,86.0,62.0,45.0,3.0,14.0,5.0,1.0
 Alex Iwobi,1.0,0.11,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.29,0.0,1.0,2.0,216.0,24.0,3.0,9.0,0.33,1.0,5.0,0.0,0.0,3.0,1.0,9.0,0.56,3.0,4.0,7.0,3.0,24.0,28.0,44.0,15.0,2.0,4.0,0.0
 Stefan Johansen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,193.0,21.44,0.0,6.0,0.17,0.0,9.0,2.0,0.0,4.0,0.0,9.0,0.33,0.0,3.0,4.0,2.0,27.0,13.0,12.0,2.0,1.0,4.0,0.0
 Naby Keita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.5,0.0,2.0,0.0,302.0,33.56,1.0,2.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,13.0,0.38,0.0,4.0,2.0,2.0,35.0,26.0,23.0,5.0,4.0,4.0,0.0
 Jefferson Lerma,1.0,0.11,1.0,0.0,0.0,0.0,0.0,11.0,3.0,0.27,0.0,0.0,0.0,446.0,49.56,0.0,2.0,0.5,1.0,18.0,4.0,0.0,15.0,1.0,13.0,0.54,2.0,15.0,27.0,16.0,71.0,64.0,53.0,5.0,28.0,23.0,0.0
 Juan Mata,1.0,0.11,0.0,0.0,1.0,0.0,1.0,8.0,3.0,0.38,0.0,0.0,1.0,243.0,27.0,1.0,29.0,0.17,2.0,12.0,1.0,0.0,3.0,5.0,3.0,0.33,2.0,4.0,1.0,0.0,33.0,8.0,18.0,3.0,1.0,1.0,0.0
 Nemanja Matic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.0,1.0,0.0,555.0,61.67,0.0,3.0,0.33,0.0,28.0,2.0,1.0,6.0,1.0,13.0,0.69,2.0,8.0,19.0,11.0,69.0,38.0,32.0,6.0,15.0,7.0,0.0
 Kevin McDonald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,428.0,47.56,0.0,1.0,0.0,2.0,19.0,2.0,1.0,7.0,0.0,9.0,0.67,1.0,5.0,12.0,4.0,31.0,29.0,18.0,0.0,16.0,3.0,0.0
