,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions_y,clearances,headed clearance
10,Loic Remy,Chelsea,80,ST,89.0,89,89,78.0,81,83,77,78,78,71,64.0,61,66,51,60,75,71,73,77,65,76,77,0,39.4,81,48,23,24,21,74.25,57,90,75,75,1.0,0.08,1.0,0.0,0.0,0.0,0.0,13.0,5.0,0.38,0.0,1.0,0.0,101.0,7.77,0.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,4.0,4.0
11,Wilfried Bony,Manchester City,80,ST,72.0,69,75,80.66666667,83,83,80,77,85,76,57.83333333,45,66,58,45,68,65,74,67,72,76,81,0,43.4,84,38,25,42,28,82.0,70,86,78,94,4.0,0.15,2.0,0.0,2.0,0.0,0.0,60.0,17.0,0.28,1.0,4.0,3.0,408.0,15.69,3.0,1.0,1.0,0.0,17.0,7.0,9.0,20.0,2.0,8.0,4.0
12,Christian Benteke,Liverpool,80,ST,77.0,75,79,78.16666667,76,81,76,77,85,74,63.0,58,60,67,48,72,73,75,74,48,81,71,0,37.4,85,29,25,30,18,81.75,76,82,77,92,9.0,0.31,3.0,6.0,0.0,1.0,0.0,61.0,20.0,0.33,1.0,9.0,3.0,516.0,17.79,3.0,1.0,2.0,0.0,29.0,17.0,8.0,16.0,0.0,13.0,10.0
13,Danny Welbeck,Arsenal,79,ST,86.0,87,85,75.66666667,82,77,72,70,77,76,67.66666667,69,61,62,64,78,72,81,85,64,79,78,0,38.6,77,22,23,38,33,79.75,77,80,84,78,4.0,0.36,2.0,2.0,0.0,0.0,0.0,20.0,11.0,0.55,1.0,3.0,2.0,148.0,13.45,1.0,2.0,1.0,0.0,6.0,0.0,11.0,4.0,2.0,6.0,6.0
14,Seydou Doumbia,Newcastle United,79,ST,91.0,90,92,78.33333333,78,80,76,79,79,78,68.5,46,79,71,65,76,74,81,70,70,78,80,0,42.4,73,29,34,39,37,74.5,65,83,84,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Salomon Rondon,West Bromwich Albion,79,ST,76.5,76,77,75.33333333,82,80,70,62,85,73,52.5,48,53,52,40,69,53,75,72,48,76,73,0,36.0,86,33,25,23,13,74.5,72,67,68,91,9.0,0.26,4.0,3.0,1.0,0.0,0.0,71.0,21.0,0.3,1.0,7.0,2.0,630.0,18.53,2.0,32.0,1.0,1.0,35.0,26.0,9.0,17.0,14.0,45.0,27.0
16,Jamie Vardy,Leicester City,79,ST,92.0,91,93,78.0,83,82,68,76,84,75,57.66666667,63,52,48,48,66,69,76,76,79,75,82,0,56.6,64,51,54,58,56,80.0,91,70,90,69,24.0,0.67,2.0,18.0,4.0,5.0,0.0,115.0,53.0,0.46,6.0,22.0,6.0,625.0,17.36,11.0,49.0,5.0,1.0,42.0,26.0,35.0,22.0,18.0,7.0,4.0
17,Sadio Mane,Southampton,78,CF,92.0,93,91,71.5,77,76,66,71,73,66,69.16666667,68,74,64,67,73,69,84,88,85,77,75,0,37.2,53,29,33,33,38,62.5,61,58,65,66,11.0,0.3,1.0,6.0,4.0,0.0,0.0,86.0,34.0,0.4,1.0,12.0,6.0,964.0,26.05,9.0,68.0,4.0,2.0,44.0,27.0,54.0,21.0,35.0,14.0,6.0
18,Emmanuel Adebayor,Crystal Palace,78,ST,71.5,68,75,77.66666667,76,78,71,79,82,80,63.16666667,58,69,44,55,78,75,77,65,52,76,75,0,35.6,80,31,23,25,19,75.0,70,76,70,84,1.0,0.08,1.0,0.0,0.0,0.0,0.0,12.0,4.0,0.33,1.0,2.0,1.0,230.0,19.17,0.0,6.0,1.0,0.0,10.0,11.0,2.0,2.0,1.0,7.0,4.0
19,Papiss Demba Cisse,Newcastle United,78,ST,74.0,76,72,80.16666667,83,80,78,80,80,80,66.66666667,66,76,59,60,74,65,73,79,72,75,79,0,31.2,75,30,13,19,19,67.25,51,80,66,72,3.0,0.14,2.0,0.0,0.0,0.0,0.0,23.0,9.0,0.39,0.0,1.0,0.0,405.0,19.29,0.0,8.0,1.0,0.0,13.0,19.0,10.0,2.0,3.0,10.0,7.0
20,Nordin Amrabat,Watford,78,ST,86.0,87,85,76.0,77,76,72,77,81,73,75.33333333,78,76,68,67,81,82,86,88,75,83,76,0,40.2,68,34,29,41,29,67.75,67,56,73,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.43,0.0,1.0,0.0,156.0,13.0,1.0,38.0,2.0,1.0,15.0,2.0,5.0,3.0,4.0,1.0,1.0
21,Arouna Kone,Everton,77,ST,79.5,76,83,74.16666667,77,76,70,67,84,71,59.33333333,61,57,56,49,67,66,78,75,61,76,75,0,38.4,73,28,22,43,26,70.5,47,78,73,84,5.0,0.2,1.0,2.0,2.0,0.0,0.0,36.0,14.0,0.39,0.0,6.0,4.0,580.0,23.2,5.0,9.0,1.0,0.0,15.0,4.0,25.0,9.0,9.0,7.0,4.0
22,Bafetimbi Gomis,Swansea City,77,ST,68.0,67,69,80.0,79,80,75,83,84,79,61.66666667,61,61,62,46,71,69,69,59,58,76,76,0,45.0,81,38,39,32,35,70.0,52,73,70,85,6.0,0.18,0.0,5.0,1.0,1.0,0.0,59.0,17.0,0.29,2.0,6.0,0.0,509.0,15.42,4.0,3.0,0.0,0.0,17.0,38.0,7.0,15.0,6.0,19.0,12.0
23,Graziano Pelle,Southampton,77,ST,54.5,54,55,77.66666667,82,79,69,76,81,79,56.33333333,44,56,40,64,65,69,64,64,34,76,83,0,40.2,91,25,19,33,33,78.0,73,72,76,91,11.0,0.37,5.0,5.0,1.0,0.0,0.0,81.0,25.0,0.31,2.0,4.0,6.0,872.0,29.07,6.0,19.0,6.0,0.0,40.0,16.0,13.0,16.0,10.0,30.0,18.0
24,Alberto Paloschi,Swansea City,77,ST,77.0,78,76,73.16666667,86,83,41,79,73,77,55.0,52,71,47,35,66,59,69,82,71,77,77,0,28.4,77,21,12,16,16,82.25,83,90,78,78,2.0,0.2,0.0,2.0,0.0,0.0,0.0,15.0,7.0,0.47,1.0,3.0,0.0,199.0,19.9,1.0,5.0,2.0,0.0,17.0,6.0,7.0,5.0,7.0,4.0,3.0
25,Oumar Niasse,Everton,77,ST,83.5,91,76,74.33333333,75,79,71,67,80,74,53.33333333,56,63,39,35,64,63,78,72,68,78,72,0,35.4,75,35,20,23,24,71.25,56,70,78,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,1.0,0.0,43.0,8.6,1.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0
26,Andy Carroll,West Ham United,77,ST,70.5,69,72,76.83333333,75,76,78,73,85,74,57.5,64,53,42,56,65,65,67,62,50,74,77,0,53.4,91,45,42,46,43,84.0,85,84,75,92,9.0,0.33,5.0,0.0,4.0,1.0,0.0,56.0,25.0,0.45,1.0,5.0,2.0,435.0,16.11,4.0,8.0,2.0,0.0,38.0,7.0,9.0,12.0,7.0,28.0,17.0
27,Charlie Austin,Southampton,77,ST,72.5,71,74,78.0,83,82,71,77,83,72,54.0,56,59,43,46,59,61,66,65,55,74,78,0,43.6,81,47,31,37,22,76.0,67,82,74,81,1.0,0.14,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.25,0.0,1.0,0.0,50.0,7.14,0.0,3.0,0.0,0.0,3.0,2.0,5.0,3.0,0.0,7.0,2.0
28,Odion Ighalo,Watford,77,ST,80.5,80,81,71.83333333,84,79,62,63,73,70,55.66666667,49,64,53,47,61,60,80,75,69,76,78,0,44.2,74,30,31,45,41,74.25,66,80,70,81,15.0,0.41,1.0,11.0,3.0,0.0,0.0,109.0,48.0,0.44,2.0,17.0,3.0,722.0,19.51,1.0,15.0,4.0,0.0,47.0,27.0,27.0,24.0,15.0,27.0,15.0
29,Saido Berahino,West Bromwich Albion,76,ST,83.0,85,81,76.5,79,82,68,81,81,68,57.66666667,51,63,61,55,62,54,76,74,71,77,71,0,32.2,67,33,20,18,23,58.75,47,62,64,62,4.0,0.13,0.0,3.0,1.0,0.0,0.0,35.0,11.0,0.31,1.0,7.0,0.0,457.0,14.74,1.0,22.0,0.0,0.0,18.0,10.0,18.0,11.0,7.0,1.0,1.0
30,Divock Origi,Liverpool,76,ST,85.5,86,85,70.66666667,77,76,69,55,77,70,61.33333333,69,54,40,59,75,71,78,77,62,76,76,0,34.0,70,28,30,24,18,68.25,52,70,72,79,5.0,0.31,2.0,3.0,0.0,0.0,0.0,24.0,12.0,0.5,1.0,3.0,1.0,164.0,10.25,0.0,14.0,0.0,0.0,11.0,10.0,5.0,7.0,0.0,1.0,0.0
31,Aleksandar Mitrovic,Newcastle United,76,ST,63.5,59,68,76.33333333,81,82,68,64,80,83,49.66666667,29,39,52,43,68,67,68,61,48,71,73,0,29.8,84,14,14,24,13,72.5,63,76,67,84,9.0,0.26,4.0,4.0,1.0,2.0,0.0,79.0,30.0,0.38,2.0,8.0,4.0,721.0,21.21,1.0,7.0,4.0,2.0,50.0,16.0,24.0,18.0,7.0,32.0,25.0
32,Enner Valencia,West Ham United,76,ST,85.5,86,85,72.66666667,73,75,74,70,84,60,66.5,70,71,65,63,68,62,75,76,74,73,72,0,50.0,80,42,37,49,42,73.75,50,90,85,70,4.0,0.21,0.0,4.0,0.0,0.0,1.0,34.0,12.0,0.35,1.0,4.0,2.0,248.0,13.05,2.0,24.0,1.0,0.0,11.0,9.0,19.0,9.0,10.0,16.0,15.0
33,Danny Ings,Liverpool,76,ST,86.0,89,83,72.0,79,79,67,68,73,66,56.83333333,62,45,36,61,69,68,78,79,82,77,74,0,38.8,71,39,33,24,27,71.0,52,81,79,72,2.0,0.33,1.0,0.0,1.0,0.0,0.0,10.0,5.0,0.5,0.0,1.0,0.0,80.0,13.33,0.0,3.0,1.0,0.0,7.0,2.0,1.0,3.0,1.0,2.0,1.0
34,Shinji Okazaki,Leicester City,76,ST,76.0,79,73,75.0,79,76,68,75,77,75,60.5,66,53,50,59,71,64,75,85,75,76,84,0,46.8,79,45,33,44,33,79.0,80,90,84,62,5.0,0.14,1.0,3.0,1.0,0.0,0.0,46.0,12.0,0.26,2.0,7.0,0.0,542.0,15.06,2.0,9.0,1.0,0.0,31.0,8.0,37.0,12.0,15.0,6.0,3.0
35,Troy Deeney,Watford,76,ST,71.5,69,74,77.0,77,77,78,78,86,66,56.0,49,68,36,49,69,65,65,65,70,74,70,0,35.2,75,22,25,29,25,79.75,80,72,75,92,13.0,0.34,3.0,10.0,0.0,6.0,0.0,94.0,32.0,0.34,1.0,3.0,7.0,1289.0,33.92,12.0,27.0,6.0,0.0,50.0,18.0,49.0,34.0,17.0,48.0,34.0
36,Peter Crouch,Stoke City,75,ST,52.5,52,53,76.16666667,80,77,71,74,75,80,63.66666667,59,57,50,63,79,74,64,56,29,78,78,0,36.6,83,23,31,26,20,60.75,70,34,70,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.43,0.0,0.0,1.0,152.0,13.82,1.0,1.0,0.0,0.0,13.0,9.0,3.0,3.0,4.0,9.0,6.0
37,Rickie Lambert,West Bromwich Albion,75,ST,47.0,48,46,81.16666667,79,81,74,96,85,72,73.83333333,67,77,84,72,66,77,65,57,59,75,76,0,38.2,84,32,30,26,19,74.25,76,71,65,85,1.0,0.05,0.0,1.0,0.0,1.0,0.0,14.0,4.0,0.29,0.0,0.0,1.0,272.0,14.32,1.0,4.0,2.0,0.0,6.0,2.0,0.0,3.0,0.0,6.0,5.0
38,Shane Long,Southampton,75,ST,84.0,84,84,73.83333333,77,75,67,78,76,70,55.83333333,70,54,37,49,62,63,72,74,75,75,77,0,40.8,75,42,36,27,24,83.75,79,93,84,79,10.0,0.36,5.0,4.0,1.0,0.0,0.0,63.0,22.0,0.35,3.0,12.0,4.0,595.0,21.25,3.0,51.0,2.0,0.0,43.0,25.0,15.0,9.0,20.0,21.0,11.0
39,Diafra Sakho,West Ham United,75,ST,78.0,78,78,73.0,80,79,64,73,72,70,57.16666667,58,53,62,52,62,56,72,73,62,75,74,0,36.6,77,37,24,23,22,74.0,67,80,70,79,5.0,0.24,1.0,2.0,2.0,0.0,0.0,48.0,18.0,0.38,1.0,8.0,1.0,344.0,16.38,3.0,24.0,3.0,0.0,19.0,12.0,15.0,10.0,9.0,19.0,14.0
40,Joselu,Stoke City,75,ST,66.0,65,67,73.5,78,77,72,61,78,75,63.33333333,58,73,71,44,66,68,74,69,53,76,74,0,31.2,81,19,17,24,15,65.5,57,61,68,76,4.0,0.18,1.0,3.0,0.0,0.0,0.0,29.0,16.0,0.55,0.0,6.0,1.0,379.0,17.23,1.0,14.0,0.0,0.0,19.0,8.0,14.0,4.0,6.0,11.0,3.0
41,Callum Wilson,Bournemouth,75,ST,91.5,93,90,71.5,77,79,64,75,69,65,60.0,52,62,45,60,70,71,73,81,79,75,70,0,37.2,62,40,20,39,25,74.25,73,66,77,81,5.0,0.38,0.0,5.0,0.0,1.0,0.0,17.0,8.0,0.47,1.0,0.0,0.0,131.0,10.08,2.0,5.0,0.0,0.0,12.0,4.0,5.0,6.0,1.0,1.0,1.0
42,Bertrand Traore,Chelsea,74,ST,84.5,86,83,73.33333333,70,74,76,66,78,76,70.83333333,69,75,65,69,73,74,77,82,74,80,75,0,34.6,55,39,30,26,23,70.25,69,68,73,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,30.0,3.0,0.0,21.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
43,Bertrand Traore,Chelsea,74,ST,84.5,86,83,73.33333333,70,74,76,66,78,76,70.83333333,69,75,65,69,73,74,77,82,74,80,75,0,34.6,55,39,30,26,23,70.25,69,68,73,71,2.0,0.2,0.0,0.0,2.0,0.0,0.0,17.0,6.0,0.35,0.0,0.0,1.0,136.0,13.6,1.0,3.0,0.0,0.0,3.0,5.0,9.0,7.0,2.0,3.0,1.0
44,Jonathan Walters,Stoke City,74,ST,67.5,67,68,71.83333333,75,75,69,72,73,67,66.16666667,75,64,56,61,72,69,72,76,68,73,74,0,59.2,74,61,61,56,44,83.0,81,76,91,84,5.0,0.19,1.0,4.0,0.0,0.0,0.0,32.0,13.0,0.41,0.0,4.0,3.0,492.0,18.22,4.0,36.0,1.0,0.0,14.0,25.0,8.0,4.0,5.0,26.0,15.0
45,Ayoze Perez,Newcastle United,73,ST,78.0,79,77,72.5,81,78,62,73,63,78,63.5,43,79,71,51,72,65,82,84,79,78,71,0,26.4,65,13,19,23,12,66.25,69,72,70,54,6.0,0.18,0.0,5.0,1.0,0.0,0.0,50.0,16.0,0.32,0.0,3.0,2.0,588.0,17.29,4.0,73.0,4.0,0.0,35.0,5.0,56.0,13.0,28.0,13.0,6.0
46,Connor Wickham,Crystal Palace,73,ST,74.5,76,73,71.33333333,68,75,69,75,79,62,60.83333333,63,53,69,57,63,60,74,62,53,73,75,0,31.2,71,18,19,28,20,73.5,67,69,74,84,5.0,0.24,0.0,2.0,3.0,1.0,0.0,34.0,9.0,0.26,2.0,4.0,3.0,387.0,18.43,1.0,11.0,1.0,0.0,32.0,2.0,13.0,6.0,4.0,20.0,15.0
47,Benik Afobe,Bournemouth,73,ST,83.5,85,82,72.16666667,78,78,67,72,68,70,59.66666667,49,68,57,52,67,65,71,70,69,73,68,0,30.2,66,25,21,22,17,71.0,60,77,71,76,4.0,0.27,3.0,1.0,0.0,0.0,0.0,14.0,5.0,0.36,0.0,4.0,0.0,224.0,14.93,0.0,4.0,0.0,0.0,15.0,9.0,5.0,2.0,2.0,9.0,6.0
48,Leonardo Ulloa,Leicester City,73,ST,61.5,62,61,71.33333333,77,74,62,67,76,72,58.16666667,51,54,56,63,66,59,68,56,57,70,75,0,47.2,83,33,27,48,45,75.5,74,73,68,87,6.0,0.21,2.0,3.0,1.0,1.0,0.0,33.0,10.0,0.3,0.0,5.0,2.0,399.0,13.76,2.0,9.0,0.0,0.0,20.0,6.0,27.0,5.0,7.0,21.0,12.0
49,Kelechi Iheanacho,Manchester City,73,ST,87.0,89,85,71.33333333,75,76,65,74,73,65,59.33333333,48,67,53,57,66,65,73,79,70,73,69,0,24.8,58,17,15,22,12,63.25,56,58,65,74,8.0,0.31,1.0,1.0,5.0,0.0,0.0,28.0,12.0,0.43,0.0,1.0,1.0,346.0,13.31,2.0,10.0,1.0,0.0,17.0,3.0,14.0,7.0,3.0,6.0,2.0
50,Victor Anichebe,West Bromwich Albion,73,ST,71.0,66,76,71.5,73,72,71,65,77,71,54.16666667,69,31,34,54,69,68,75,56,44,69,75,0,48.4,72,43,44,42,41,70.25,71,56,69,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.31,2.0,1.0,0.0,108.0,10.8,1.0,2.0,0.0,0.0,2.0,4.0,2.0,6.0,2.0,8.0,6.0
51,Glenn Murray,Bournemouth,72,ST,57.0,55,59,72.83333333,78,77,68,75,74,65,54.66666667,48,57,33,55,67,68,63,59,74,70,69,0,40.0,79,45,24,29,23,74.0,74,74,69,79,3.0,0.14,2.0,1.0,0.0,0.0,0.0,25.0,14.0,0.56,0.0,4.0,0.0,203.0,9.67,2.0,6.0,2.0,0.0,26.0,13.0,7.0,2.0,3.0,9.0,4.0
52,Emmanuel Riviere,Newcastle United,71,ST,76.5,79,74,69.66666667,68,69,67,66,77,71,53.0,62,41,29,58,65,63,70,75,65,69,74,0,39.8,74,24,29,39,33,68.75,57,75,67,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,6.33,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0
53,Fraizer Campbell,Crystal Palace,71,ST,82.0,85,79,68.66666667,72,73,62,68,70,67,55.66666667,67,43,58,41,64,61,71,78,79,69,68,0,37.0,68,22,32,35,28,68.0,66,72,71,63,3.0,0.16,0.0,0.0,3.0,0.0,0.0,19.0,7.0,0.37,0.0,2.0,2.0,342.0,18.0,4.0,11.0,0.0,0.0,9.0,3.0,26.0,2.0,10.0,3.0,1.0
54,Fraizer Campbell,Crystal Palace,71,ST,82.0,85,79,68.66666667,72,73,62,68,70,67,55.66666667,67,43,58,41,64,61,71,78,79,69,68,0,37.0,68,22,32,35,28,68.0,66,72,71,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,0.0,2.0,0.0,76.0,6.91,0.0,3.0,1.0,0.0,8.0,6.0,3.0,0.0,4.0,2.0,2.0
55,Dwight Gayle,Crystal Palace,71,ST,84.5,86,83,71.16666667,72,74,69,72,72,68,54.66666667,59,50,75,52,58,34,69,84,80,68,68,0,29.6,67,35,12,21,13,59.5,41,71,66,60,3.0,0.19,0.0,3.0,0.0,0.0,1.0,22.0,9.0,0.41,1.0,5.0,0.0,144.0,9.0,1.0,9.0,1.0,1.0,20.0,2.0,11.0,4.0,3.0,3.0,1.0
56,Clinton N'Jie,Tottenham Hotspur,69,ST,92.5,91,94,66.66666667,76,69,61,56,73,65,61.5,65,62,46,61,67,68,77,92,88,65,56,0,32.8,51,32,24,30,27,66.0,66,60,77,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.33,0.0,0.0,1.0,72.0,9.0,1.0,4.0,0.0,0.0,4.0,2.0,7.0,2.0,0.0,0.0,0.0
57,Lewis Grabban,Bournemouth,69,ST,80.0,79,81,70.16666667,67,71,65,79,72,67,57.16666667,62,64,60,43,63,51,68,77,64,65,65,0,31.2,65,22,18,27,24,66.0,55,62,76,71,1.0,0.05,0.0,1.0,0.0,0.0,0.0,19.0,9.0,0.47,0.0,2.0,0.0,309.0,14.71,0.0,13.0,2.0,0.0,9.0,6.0,11.0,3.0,2.0,1.0,1.0
58,Marvin Emnes,Swansea City,68,ST,82.5,88,77,66.83333333,75,63,60,66,76,61,62.33333333,67,61,57,55,68,66,72,73,77,68,71,0,39.8,54,38,33,40,34,58.25,66,32,75,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
59,Obbi Oulare,Watford,68,ST,73.0,68,78,62.5,64,69,50,61,74,57,48.83333333,54,40,29,40,66,64,64,53,31,63,65,0,31.6,72,22,23,21,20,66.25,59,81,34,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,James Wilson,Brighton & Hove Albion,67,ST,79.0,79,79,63.83333333,69,69,59,67,65,54,50.66666667,45,48,42,52,59,58,67,62,69,68,66,0,29.0,60,22,16,23,24,57.25,32,63,69,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,Tokelo Rantie,Bournemouth,66,ST,90.0,88,92,61.33333333,65,65,57,57,64,60,52.66666667,47,58,32,53,63,63,72,94,88,68,66,0,28.2,55,22,22,19,23,67.0,62,71,74,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.67,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0
62,Will Keane,Manchester United,65,ST,78.0,79,77,63.83333333,63,65,57,67,72,59,49.5,38,44,47,51,68,49,67,74,63,69,53,0,35.0,61,39,32,28,15,55.5,40,59,63,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Abraham,Chelsea,63,ST,75.0,76,74,62.83333333,62,65,61,76,69,44,45.83333333,37,47,42,41,57,51,57,63,52,58,53,0,30.2,73,22,19,22,15,56.25,41,68,54,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0
